app,http_methods,url_path,view_ref,view_kind,view_file,tables_touched,table_count
admin,POST,/admin/sponsored-video-search,SponsoredVideoSearchView,CBV,admin/views.py,brand,1
admin,PUT,/admin/sponsored-video-brands,SponsoredVideoBrandsView,CBV,admin/views.py,brand|brand_logo|foreign_channel_lists|foreign_video_lists,4
admin,POST,/admin/brand-search,BrandSearchView,CBV,admin/views.py,brand_logo,1
admin,PUT,/admin/update-brand,UpdateBrandView,CBV,admin/views.py,brand_logo,1
admin,POST,/admin/extract-channel,ExtractChannelDataView,CBV,admin/views.py,brand_logo|youtuber_info,2
admin,POST,/admin/create-or-update-brand,CreateOrUpdateBrandView,CBV,admin/views.py,brand_logo,1
admin,PUT,/admin/brand-logo-update,BrandLogoUpdateView,CBV,admin/views.py,brand_logo,1
admin,GET|PUT,/admin/brand-display-ad-url,BrandDisplayAdUrlView,CBV,admin/views.py,brand_logo|ugwanggi_display_ad,2
admin,PUT,/admin/skip-brand-display-ad-url,SkipBrandDisplayAdUrlView,CBV,admin/views.py,ugwanggi_display_ad,1
admin,POST|PUT,/admin/instagram-brand,InstagramBrandView,CBV,admin/views.py,brand_logo,1
admin,POST,/admin/send-appointment-confirmation,SendAppointmentConfirmationView,CBV,admin/views.py,,0
admin,POST,/admin/test-brand-detection,TestBrandDetectionView,CBV,admin/views.py,brand|brand_logo,2
admin,POST,/admin/test-video-topic-detection,TestDetectVideoTopicView,CBV,admin/views.py,Category_Master|YT_video_lists,2
admin,DELETE|GET|POST|PUT,/admin/datalab-message/<int:datalab_id>,AdminDatalabMessageView,CBV,admin/views.py,ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message|users_ugwanggi,4
admin,DELETE|GET|POST|PUT,/admin/datalab-message,AdminDatalabMessageView,CBV,admin/views.py,ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message|users_ugwanggi,4
admin,GET,/admin/partner-list,AdminPartnerListView,CBV,admin/views.py,ugwanggi_partners,1
admin,GET|PUT,/admin/datalab-memo,AdminDatalabMemoView,CBV,admin/views.py,ugwanggi_datalab_admin_memo,1
admin,GET,/admin/datalab-list,AdminDatalabListView,CBV,admin/views.py,ugwanggi_partner_datalab|youtuber_info,2
admin,GET,/admin/datalab-list/<str:partner_id>,AdminDatalabListView,CBV,admin/views.py,ugwanggi_partner_datalab|youtuber_info,2
admin,PUT,/admin/datalab-change-status,AdminDatalabChangeStatusView,CBV,admin/views.py,ugwanggi_partner_datalab,1
admin,POST,/admin/google-ads-keyword-test,GoogleAdsKeywordTestView,CBV,admin/views.py,,0
admin,POST,/admin/google-ads-keyword-ai-chat,GoogleAdsKeywordAIChatView,CBV,admin/views.py,,0
admin,GET|POST,/admin/create-partner,AdminPartnerView,CBV,admin/views.py,ugwanggi_partner_team_link|ugwanggi_partners|ugwanggi_subscription|users_ugwanggi,4
admin,GET,/admin/partner-team-list/<str:partner_id>,AdminPartnerTeamListView,CBV,admin/views.py,ugwanggi_partner_team,1
admin,GET|PUT,/admin/user-management/<int:user_id>,AdminUserManagementView,CBV,admin/views.py,ugwanggi_partners|users_ugwanggi,2
admin,POST,/admin/user-search,AdminUserSearchView,CBV,admin/views.py,users_ugwanggi,1
admin,POST,/admin/move-user-to-partner-team,MoveUserToPartnerTeamView,CBV,admin/views.py,ugwanggi_partner_team|ugwanggi_partner_team_link|ugwanggi_partners|users_ugwanggi,4
admin,POST,/admin/trend-ai,TrendAiView,CBV,admin/views.py,,0
admin,POST,/admin/inquiry,InquiryView,CBV,admin/views.py,,0
admin,GET,/admin/user-tracking/<str:report>,UserTrackingView,CBV,admin/views.py,ugwanggi_action_tracker,1
admin,POST,/admin/github/repository-update,GitHubRepositoryUpdateView,CBV,admin/views.py,github_repository,1
admin,POST,/admin/github/member-update,GitHubMemberUpdateView,CBV,admin/views.py,github_member,1
admin,POST,/admin/github/member-stats-update,GitHubMemberStatsUpdateView,CBV,admin/views.py,github_member_stat,1
admin,POST,/admin/github/summary-update,GitHubSummaryUpdateView,CBV,admin/views.py,github_summary,1
admin,GET,/admin/github/all-data,GitHubAllDataView,CBV,admin/views.py,github_member|github_member_stat|github_repository|github_summary,4
admin,GET,/admin/github/sync-jobs/pending,GithubSyncJobsPendingView,CBV,admin/views.py,github_sync_job,1
admin,POST,/admin/github/sync-jobs,GithubSyncJobsCreateView,CBV,admin/views.py,github_sync_job,1
admin,GET|PATCH,/admin/github/sync-jobs/<str:job_id>,GithubSyncJobsDetailView,CBV,admin/views.py,github_sync_job,1
ads,GET,/ads/bumper/<str:video_id>,BumperView,CBV,ads/views.py,YT_bumper_ad|YT_bumper_ad_analized|YT_bumper_scene|brand_logo,4
ads,POST,/ads/top-bumper-from-brand,TopBumperFromBrandView,CBV,ads/views.py,YT_bumper_ad,1
ads,POST,/ads/create-bumper-cost,CreateCPMCostView,CBV,ads/views.py,YT_bumper_ad|YT_bumper_cost_per_day|YT_bumper_cost_per_week|YT_bumper_cpm_by_industry|YT_bumper_on_off|YT_bumper_video_trend|brand_logo,7
ads,POST,/ads/crawl-waiting-list,CrawlWaitingListView,CBV,ads/views.py,YT_bumper_ad|YT_bumper_crawl_waiting_list,2
ads,POST,/ads/detect-on-off-bumper,DetectOnOffBumperView,CBV,ads/views.py,YT_bumper_ad|YT_bumper_crawl_video_list|YT_bumper_on_off|YT_bumper_video_trend,4
ads,POST,/ads/global-data,GlobalDataBumperView,CBV,ads/views.py,YT_bumper_ad|YT_bumper_cpm_by_industry|brand_logo,3
ads,POST,/ads/search-scene,BumperSceneSearchView,CBV,ads/views.py,YT_bumper_scene|brand_logo|users_ugwanggi,3
ads,GET,/ads/ads-views-evolution/<str:video_id>,AdsViewsEvolutionView,CBV,ads/views.py,YT_bumper_video_trend,1
ads,DELETE|GET|POST|PUT,/ads/display-ad-campaign/<int:campaign_id>,DisplayAdCampaignView,CBV,ads/views.py,ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,4
ads,DELETE|GET|POST|PUT,/ads/display-ad-campaign,DisplayAdCampaignView,CBV,ads/views.py,ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,4
ads,POST,/ads/display-ad-campaign-list,DisplayAdCampaignListView,CBV,ads/views.py,ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,4
ads,POST,/ads/display-ad-campaign-result-type-distribution,DisplayAdCampaignResultTypeDistributionView,CBV,ads/views.py,brand_logo|ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,5
ads,POST,/ads/display-ad-campaign-result-list,DisplayAdCampaignResultListView,CBV,ads/views.py,brand_logo|ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,5
ads,POST,/ads/search-display-ad-in-campaign-list,SearchDisplayAdInCampaignListView,CBV,ads/views.py,brand_logo|ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,5
ads,POST,/ads/brands-in-campaign-list,BrandsInCampaignListView,CBV,ads/views.py,ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_linked_user|users_ugwanggi,4
ads,POST,/ads/google-ads-test,GoogleADsTestView,CBV,ads/views.py,,0
ads,GET,/ads/user-demo-campaign-list,UserDemoCampaignListView,CBV,ads/views.py,users_ugwanggi,1
ads,GET,/ads/can-create-campaign,CanCreateCampaignView,CBV,ads/views.py,ugwanggi_display_ad_campaign|ugwanggi_linked_user|users_ugwanggi,3
ads,GET,/ads/get-display-ad-group/<str:unique_id>,GetDisplayAdGroupView,CBV,ads/views.py,brand_logo|ugwanggi_display_ad,2
ads,POST,/ads/group-display-ad,GroupDisplayAdView,CBV,ads/views.py,ugwanggi_display_ad,1
ads,POST,/ads/add-keyword-display-ad,AddKeywordDisplayAddView,CBV,ads/views.py,temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|ugwanggi_display_ad,3
ads,GET,/ads/display-ad/<str:unique_id>,DisplayAdView,CBV,ads/views.py,brand_logo|ugwanggi_display_ad,2
ads,POST,/ads/display-ad-keyword-request,DaKeywordRequestView,CBV,ads/views.py,users_ugwanggi,1
aichat,POST,/aichat/get-video-transcript,VideoTranscriptView,CBV,aichat/views.py,,0
aichat,POST,/aichat/generate-title,GenerateTitleView,CBV,aichat/views.py,,0
aichat,POST,/aichat/generate-description,GenerateDescriptionView,CBV,aichat/views.py,,0
aichat,POST,/aichat/generate-tags,GenerateTagsView,CBV,aichat/views.py,,0
aichat,POST,/aichat/creative,CreativeView,CBV,aichat/views.py,ugwanggi_related_keywords|ugwanggi_search_history|users_ugwanggi,3
aichat,POST,/aichat/first-videos-keyword,FirstVideosKeywordView,CBV,aichat/views.py,,0
aichat,POST|PUT,/aichat/blog-generation,BlogGenerationView,CBV,aichat/views.py,ugwanggi_ai_chat_history|ugwanggi_generated_blog|users_ugwanggi,3
aichat,POST,/aichat/anthropic-blog-generation,AnthropicBlogGenerationView,CBV,aichat/views.py,users_ugwanggi,1
aichat,PUT,/aichat/generated-blog-images,GeneratedBlogImagesView,CBV,aichat/views.py,ugwanggi_generated_blog|users_ugwanggi,2
aichat,POST,/aichat/topics-from-title,TopicsFromTitleView,CBV,aichat/views.py,,0
aichat,DELETE|GET,/aichat/chat-history,AIChatHistoryView,CBV,aichat/views.py,ugwanggi_ai_chat_history|ugwanggi_generated_blog|users_ugwanggi,3
aichat,GET,/aichat/previous-messages/<int:chat_history_id>,AIPreviousMessagesView,CBV,aichat/views.py,ugwanggi_ai_chat_history|users_ugwanggi,2
aichat,GET,/aichat/blog-videos/<int:chat_history_id>,AIBlogVideosView,CBV,aichat/views.py,ugwanggi_ai_blog_video|users_ugwanggi,2
aichat,GET|PUT,/aichat/memo,AIChatMemoView,CBV,aichat/views.py,ugwanggi_ai_chat_history|users_ugwanggi,2
aichat,GET|PUT,/aichat/memo/<int:chat_history_id>,AIChatMemoView,CBV,aichat/views.py,ugwanggi_ai_chat_history|users_ugwanggi,2
aichat,POST,/aichat/unsplash-search,UnsplashSearchView,CBV,aichat/views.py,,0
aichat,POST,/aichat/test-ai-image,TestAIImageView,CBV,aichat/views.py,,0
aichat,POST,/aichat/translate-to-english,TanslateToEnglishView,CBV,aichat/views.py,,0
aichat,POST,/aichat/youtube-screenshot,YTScreenshotView,CBV,aichat/views.py,,0
aichat,POST,/aichat/generate-image,AIGenerationImageView,CBV,aichat/views.py,users_ugwanggi,1
aichat,POST,/aichat/get-video-title,GetVideoTitleView,CBV,aichat/views.py,,0
aichat,POST,/aichat/generate-new-blog-part,GenerateNewBlogPartView,CBV,aichat/views.py,users_ugwanggi,1
aichat,POST,/aichat/solar-test,SolarTestView,CBV,aichat/views.py,,0
aichat,POST,/aichat/blog-generation-test,BlogGenerationTestView,CBV,aichat/views.py,ugwanggi_ai_chat_history|users_ugwanggi,2
aichat,POST,/aichat/test-langchain,TestLangChainView,CBV,aichat/views.py,brand,1
aichat,POST,/aichat/test-langchain-anthropic,TestLangChainAnthropicView,CBV,aichat/views.py,brand,1
aichat,POST,/aichat/test-langchain-anthropic-chat,TestLangChainAnthropicChatView,CBV,aichat/views.py,brand,1
aichat,POST,/aichat/test-langchain-anthropic-chat-v2,TestLangChainAnthropicChatV2View,CBV,aichat/views.py,,0
aichat,POST,/aichat/videos-to-excel,VideosToExcelView,CBV,aichat/views.py,,0
aichat,POST,/aichat/analyze-searched-transcript,AnalyzeSearchedTranscriptsView,CBV,aichat/views.py,YT_video_lists|test_kakao_video_monitoring|ugwanggi_kakao_analysis|ugwanggi_kakao_video_split,4
aichat,GET,/aichat/kakao-video-analysis/<str:video_id>,KakaoVideoAnalysisDetailView,CBV,aichat/views.py,ugwanggi_kakao_analysis|ugwanggi_kakao_video_split,2
aichat,POST,/aichat/kakao-video-analysis,KakaoVideoAnalysisView,CBV,aichat/views.py,test_kakao_video_topic|ugwanggi_kakao_analysis,2
aichat,GET,/aichat/kakao-video-topics,KakaoTopicListView,CBV,aichat/views.py,test_kakao_video_topic,1
aichat,POST,/aichat/kakao-video-count,KakaoVideoCountView,CBV,aichat/views.py,test_kakao_video_monitoring,1
aichat,POST,/aichat/kakao-stat-count,KakaoStatsCountView,CBV,aichat/views.py,test_kakao_video_monitoring,1
aichat,POST,/aichat/get-amazon-comments,GetAmazonCommentsView,CBV,aichat/views.py,,0
aichat,POST,/aichat/test-keyword-analysis-view,TestKeywordAnalysisView,CBV,aichat/views.py,,0
aichat,POST,/aichat/generate-dalle-ai-image,GenerateDalleAIImageView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,GET,/aichat/get-ai-image-info/<int:id>,GetImageInfoView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,GET,/aichat/get-ai-image-history,GetAIImageHistoryView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,GET,/aichat/ai-image-example,AIImageExampleView,CBV,aichat/views.py,ugwanggi_ai_image_history,1
aichat,POST,/aichat/replace-image-by-prompt,ReplaceImageByPromptView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,POST,/aichat/recolor-image-by-prompt,RecolorImageByPromptView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,POST,/aichat/remove-image-bg,RemoveBackgroundOfImageView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,POST,/aichat/replace-image-bg-relight,ReplaceBackgroundRelightView,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,GET,/aichat/get-generated-image-by-id/<str:id>,GetGeneratedImageById,CBV,aichat/views.py,ugwanggi_ai_image_history|users_ugwanggi,2
aichat,POST,/aichat/test-keyword-chat,TestKeywordChatView,CBV,aichat/views.py,,0
aitools,POST,/aitools/google-keywords,GoogleKeywordsView,CBV,aitools/views.py,,0
amore,GET,/amore/stats,AmoreBasicStatsView,CBV,amore/views.py,,0
amore,POST,/amore/stats/monthly,AmoreMonthlyStatsView,CBV,amore/views.py,oliveyoung_product_video,1
amore,GET,/amore/top-brands,AmoreTopBrandsView,CBV,amore/views.py,brand|brand_logo|oliveyoung_product_video,3
amore,GET,/amore/brands,AmoreBrandsView,CBV,amore/views.py,,0
amore,POST,/amore/brand-info,AmoreBrandInfoView,CBV,amore/views.py,YT_video_lists|brand|oliveyoung_product_info|oliveyoung_product_video|youtuber_category_class,5
amore,POST,/amore/brand-info/views-trend,AmoreBrandViewsTrendView,CBV,amore/views.py,brand|oliveyoung_product_video,2
amore,POST,/amore/brand-info/performance,AmoreBrandPerformanceView,CBV,amore/views.py,brand|brand_logo,2
amore,POST,/amore/brand-info/monthly-videos,AmoreBrandMonthlyVideosView,CBV,amore/views.py,brand|oliveyoung_product_video,2
amore,POST,/amore/brand-rank-videos,AmoreBrandRankVideosView,CBV,amore/views.py,YT_video_lists|brand|oliveyoung_product_info|oliveyoung_product_video|youtuber_stats,5
amore,POST,/amore/brand-products-info,AmoreBrandProductsInfoView,CBV,amore/views.py,brand|oliveyoung_product_info|oliveyoung_product_video|youtuber_category_class,4
amore,POST,/amore/brand-channels,AmoreBrandChannelsView,CBV,amore/views.py,brand|oliveyoung_product_video|youtuber_category_class|youtuber_stats,4
amore,POST,/amore/brand-channel-rank,AmoreBrandChannelRankView,CBV,amore/views.py,brand|oliveyoung_product_video|youtuber_category_class,3
amore,DELETE|GET|POST|PUT,/amore/keyword-campaigns,AmoreKeywordCampaignView,CBV,amore/views.py,ugwanggi_amore_campaign|users_ugwanggi,2
amore,GET,/amore/keywords,AmoreKeywordListView,CBV,amore/views.py,ugwanggi_amore_campaign|users_ugwanggi,2
amore,POST,/amore/marketing-performance,AmoreMarketingPerformanceView,CBV,amore/views.py,brand|oliveyoung_product_video|youtuber_category_class|youtuber_info,4
amore,POST,/amore/competitors,AmoreCompetitorsView,CBV,amore/views.py,brand|brand_logo,2
amore,POST,/amore/insights-video-rank,AmoreInsightsVideoRankView,CBV,amore/views.py,,0
amore,POST,/amore/insights-products-rank,AmoreInsightsProductRankView,CBV,amore/views.py,oliveyoung_product_video,1
amore,POST,/amore/insights-brands,AmoreInsightsBrandsView,CBV,amore/views.py,brand|brand_logo|oliveyoung_product_video,3
archive,DELETE|GET|POST,/archive/,ArchiveView,CBV,archive/views.py,YT_bumper_ad|YT_video_lists|brand|ugwanggi_archive|ugwanggi_archive_group|ugwanggi_archive_spreadsheet_sheet|users_ugwanggi|youtuber_info,8
archive,DELETE|GET|POST|PUT,/archive/group,ArchiveGroupView,CBV,archive/views.py,ugwanggi_archive_group|ugwanggi_archive_spreadsheet_sheet|users_ugwanggi,3
archive,GET,/archive/group-and-archive,GroupAndArchiveView,CBV,archive/views.py,YT_bumper_ad|YT_video_lists|brand|brand_logo|ugwanggi_archive|ugwanggi_archive_group|ugwanggi_archive_spreadsheet_sheet|users_ugwanggi|youtuber_info,9
archive,PUT,/archive/move-to-group,MoveToGroupView,CBV,archive/views.py,ugwanggi_archive|ugwanggi_archive_group|ugwanggi_archive_spreadsheet_sheet|users_ugwanggi,4
archive,DELETE|POST|PUT,/archive/google-drive,ArchiveGoogleDriveView,CBV,archive/views.py,ugwanggi_archive|ugwanggi_archive_group|users_ugwanggi,3
archive,GET,/archive/fill-email,FillEmaillView,CBV,archive/views.py,ugwanggi_archive|youtuber_info,2
archive,GET|POST,/archive/docs-history,ArchiveDocsHistoryView,CBV,archive/views.py,ugwanggi_docs_history|users_ugwanggi,2
archive,POST,/archive/paste-datas,PasteArchiveDatasView,CBV,archive/views.py,YT_video_lists|ugwanggi_archive|users_ugwanggi|youtuber_info,4
archive,DELETE|POST,/archive/group-to-sheet,GroupToSheetView,CBV,archive/views.py,ugwanggi_archive|ugwanggi_archive_group|ugwanggi_archive_spreadsheet_sheet|users_ugwanggi,4
archive,DELETE|GET|POST,/archive/spreadsheet-authorization/<str:spreadsheet_id>,SheetAuthorizationViews,CBV,archive/views.py,ugwanggi_archive_spreadsheet_auth|users_ugwanggi,2
archive,DELETE|GET|POST,/archive/spreadsheet-authorization,SheetAuthorizationViews,CBV,archive/views.py,ugwanggi_archive_spreadsheet_auth|users_ugwanggi,2
brand,GET,/brand/list-unique,BrandListUniqueView,CBV,brand/views.py,brand,1
brand,PUT,/brand/update,BrandView,CBV,brand/views.py,brand,1
brand,GET,/brand/not-done,BrandNotDoneView,CBV,brand/views.py,brand,1
brand,POST,/brand/logo,BrandLogoView,CBV,brand/views.py,,0
