shared_column,tables_sharing,fk_linked_pairs,total_possible_pairs,coverage_ratio,hotspot_level
access_id,5,0,10,0.0,SEVERE
score_key,5,0,10,0.0,SEVERE
phone_number,4,0,6,0.0,SEVERE
vt_no,3,0,3,0.0,SEVERE
comment_id,3,0,3,0.0,SEVERE
instagram_user_id,3,0,3,0.0,SEVERE
created_user_id,3,0,3,0.0,SEVERE
ad_video_id,3,0,3,0.0,SEVERE
folder_id,3,0,3,0.0,SEVERE
creator_listup_filter_id,2,0,1,0.0,SEVERE
creator_bookmark_id,2,0,1,0.0,SEVERE
spreadsheet_id,2,0,1,0.0,SEVERE
custom_channel_id,2,0,1,0.0,SEVERE
payment_number,2,0,1,0.0,SEVERE
requester_user_id,2,0,1,0.0,SEVERE
recipient_last_read_message_id,2,0,1,0.0,SEVERE
sender_user_id,2,0,1,0.0,SEVERE
keyword_id,2,0,1,0.0,SEVERE
user_id,90,68,4005,0.017,HIGH
channel_id,51,31,1275,0.0243,HIGH
video_id,48,20,1128,0.0177,HIGH
brand_logo_id,14,9,91,0.0989,HIGH
campaign_id,12,2,66,0.0303,HIGH
unique_id,6,1,15,0.0667,HIGH
product_id,14,12,91,0.1319,MEDIUM
partner_team_id,11,11,55,0.2,MEDIUM
post_id,10,7,45,0.1556,MEDIUM
adslot_id,8,3,28,0.1071,MEDIUM
studio_id,6,3,15,0.2,MEDIUM
country_code,5,1,10,0.1,MEDIUM
partner_id,8,17,28,0.6071,LOW
tracked_ad_folder_id,5,4,10,0.4,LOW
creator_bookmark_folder_id,4,2,6,0.3333,LOW
settings_id,3,1,3,0.3333,LOW
room_id,3,2,3,0.6667,LOW
request_id,3,1,3,0.3333,LOW
datalab_id,3,3,3,1.0,LOW
trending_keyword_id,2,1,1,1.0,LOW
category_id,2,1,1,1.0,LOW
chat_history_id,2,1,1,1.0,LOW
blog_id,2,1,1,1.0,LOW
subscription_id,2,1,1,1.0,LOW
creator_list_id,2,1,1,1.0,LOW
display_ad_id,2,1,1,1.0,LOW
entity_id,2,1,1,1.0,LOW
datalab_message_id,2,1,1,1.0,LOW
