app,http_methods,url_path,norm_path,view_ref,view_file,tables_touched,usage,match_type,confidence,frontend_hits,evidence_files
admin,POST,/admin/sponsored-video-search,/admin/sponsored-video-search,SponsoredVideoSearchView,admin/views.py,brand,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,PUT,/admin/sponsored-video-brands,/admin/sponsored-video-brands,SponsoredVideoBrandsView,admin/views.py,brand|brand_logo|foreign_channel_lists|foreign_video_lists,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/brand-search,/admin/brand-search,BrandSearchView,admin/views.py,brand_logo,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,PUT,/admin/update-brand,/admin/update-brand,UpdateBrandView,admin/views.py,brand_logo,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/extract-channel,/admin/extract-channel,ExtractChannelDataView,admin/views.py,brand_logo|youtuber_info,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/create-or-update-brand,/admin/create-or-update-brand,CreateOrUpdateBrandView,admin/views.py,brand_logo,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,PUT,/admin/brand-logo-update,/admin/brand-logo-update,BrandLogoUpdateView,admin/views.py,brand_logo,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET|PUT,/admin/brand-display-ad-url,/admin/brand-display-ad-url,BrandDisplayAdUrlView,admin/views.py,brand_logo|ugwanggi_display_ad,CALLED,exact,HIGH,4,src/service/admin-api.js | src/service/admin-api.js | src/service/admin-api.js
admin,PUT,/admin/skip-brand-display-ad-url,/admin/skip-brand-display-ad-url,SkipBrandDisplayAdUrlView,admin/views.py,ugwanggi_display_ad,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST|PUT,/admin/instagram-brand,/admin/instagram-brand,InstagramBrandView,admin/views.py,brand_logo,CALLED,exact,HIGH,4,src/service/admin-api.js | src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/send-appointment-confirmation,/admin/send-appointment-confirmation,SendAppointmentConfirmationView,admin/views.py,,UNCALLED,,HIGH,0,
admin,POST,/admin/test-brand-detection,/admin/test-brand-detection,TestBrandDetectionView,admin/views.py,brand|brand_logo,UNCALLED,,HIGH,0,
admin,POST,/admin/test-video-topic-detection,/admin/test-video-topic-detection,TestDetectVideoTopicView,admin/views.py,Category_Master|YT_video_lists,UNCALLED,,HIGH,0,
admin,DELETE|GET|POST|PUT,/admin/datalab-message/<int:datalab_id>,/admin/datalab-message/:PARAM,AdminDatalabMessageView,admin/views.py,ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,DELETE|GET|POST|PUT,/admin/datalab-message,/admin/datalab-message,AdminDatalabMessageView,admin/views.py,ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message|users_ugwanggi,CALLED,exact,HIGH,4,src/service/admin-api.js | src/service/admin-api.js | src/service/admin-api.js
admin,GET,/admin/partner-list,/admin/partner-list,AdminPartnerListView,admin/views.py,ugwanggi_partners,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET|PUT,/admin/datalab-memo,/admin/datalab-memo,AdminDatalabMemoView,admin/views.py,ugwanggi_datalab_admin_memo,CALLED,exact,HIGH,4,src/service/admin-api.js | src/service/admin-api.js | src/service/admin-api.js
admin,GET,/admin/datalab-list,/admin/datalab-list,AdminDatalabListView,admin/views.py,ugwanggi_partner_datalab|youtuber_info,CALLED,prefix,MED,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET,/admin/datalab-list/<str:partner_id>,/admin/datalab-list/:PARAM,AdminDatalabListView,admin/views.py,ugwanggi_partner_datalab|youtuber_info,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,PUT,/admin/datalab-change-status,/admin/datalab-change-status,AdminDatalabChangeStatusView,admin/views.py,ugwanggi_partner_datalab,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/google-ads-keyword-test,/admin/google-ads-keyword-test,GoogleAdsKeywordTestView,admin/views.py,,UNCALLED,,HIGH,0,
admin,POST,/admin/google-ads-keyword-ai-chat,/admin/google-ads-keyword-ai-chat,GoogleAdsKeywordAIChatView,admin/views.py,,CALLED,exact,HIGH,2,src/service/partner.js | src/service/partner.js
admin,GET|POST,/admin/create-partner,/admin/create-partner,AdminPartnerView,admin/views.py,ugwanggi_partner_team_link|ugwanggi_partners|ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET,/admin/partner-team-list/<str:partner_id>,/admin/partner-team-list/:PARAM,AdminPartnerTeamListView,admin/views.py,ugwanggi_partner_team,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET|PUT,/admin/user-management/<int:user_id>,/admin/user-management/:PARAM,AdminUserManagementView,admin/views.py,ugwanggi_partners|users_ugwanggi,UNCALLED,,HIGH,0,
admin,POST,/admin/user-search,/admin/user-search,AdminUserSearchView,admin/views.py,users_ugwanggi,UNCALLED,,HIGH,0,
admin,POST,/admin/move-user-to-partner-team,/admin/move-user-to-partner-team,MoveUserToPartnerTeamView,admin/views.py,ugwanggi_partner_team|ugwanggi_partner_team_link|ugwanggi_partners|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/trend-ai,/admin/trend-ai,TrendAiView,admin/views.py,,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/inquiry,/admin/inquiry,InquiryView,admin/views.py,,CALLED,exact,HIGH,2,src/service/home.js | src/service/home.js
admin,GET,/admin/user-tracking/<str:report>,/admin/user-tracking/:PARAM,UserTrackingView,admin/views.py,ugwanggi_action_tracker,UNCALLED,,HIGH,0,
admin,POST,/admin/github/repository-update,/admin/github/repository-update,GitHubRepositoryUpdateView,admin/views.py,github_repository,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/github/member-update,/admin/github/member-update,GitHubMemberUpdateView,admin/views.py,github_member,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/github/member-stats-update,/admin/github/member-stats-update,GitHubMemberStatsUpdateView,admin/views.py,github_member_stat,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,POST,/admin/github/summary-update,/admin/github/summary-update,GitHubSummaryUpdateView,admin/views.py,github_summary,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET,/admin/github/all-data,/admin/github/all-data,GitHubAllDataView,admin/views.py,github_member|github_member_stat|github_repository|github_summary,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
admin,GET,/admin/github/sync-jobs/pending,/admin/github/sync-jobs/pending,GithubSyncJobsPendingView,admin/views.py,github_sync_job,CALLED,exact,HIGH,1,src/service/github-sync-jobs.js
admin,POST,/admin/github/sync-jobs,/admin/github/sync-jobs,GithubSyncJobsCreateView,admin/views.py,github_sync_job,CALLED,prefix,MED,3,src/service/github-sync-jobs.js | src/service/github-sync-jobs.js | src/service/github-sync-jobs.js
