테이블명,"테이블 설명",컬럼명,"데이터 타입","Null 허용","Key (PK/FK)",기본값,"추가 속성","컬럼 설명"
Category_Master,,id,int,NO,PRI,NULL,auto_increment,
Category_Master,,channel_id,varchar(100),YES,MUL,NULL,,"채널 아이디"
Category_Master,,video_id,varchar(100),YES,MUL,NULL,,"비디오 아이디"
Category_Master,,Genre,varchar(100),YES,MUL,NULL,,
Category_Master,,G1_Main,varchar(100),YES,MUL,NULL,,
Category_Master,,G1_Sub1,varchar(100),YES,,NULL,,
Category_Master,,G1_Sub2,varchar(100),YES,,NULL,,
Category_Master,,G1_Confidence,double,YES,,NULL,,
Category_Master,,H1_Main_Eng,varchar(100),YES,,NULL,,
Category_Master,,H1_Main,varchar(100),YES,,NULL,,
Category_Master,,H1_Sub1,varchar(100),YES,,NULL,,
Category_Master,,H1_Sub2,varchar(100),YES,,NULL,,
Category_Master,,H1_Full,varchar(100),YES,MUL,NULL,,
Category_Master,,G2_Main,varchar(100),YES,,NULL,,
Category_Master,,G2_Sub1,varchar(100),YES,,NULL,,
Category_Master,,G2_Sub2,varchar(100),YES,,NULL,,
Category_Master,,G2_Confidence,double,YES,,NULL,,
Category_Master,,H2_Main_Eng,varchar(100),YES,,NULL,,
Category_Master,,H2_Main,varchar(100),YES,,NULL,,
Category_Master,,H2_Sub1,varchar(100),YES,,NULL,,
Category_Master,,H2_Sub2,varchar(100),YES,,NULL,,
Category_Master,,H2_Full,varchar(100),YES,MUL,NULL,,
Category_Master,,G3_Main,varchar(100),YES,,NULL,,
Category_Master,,G3_Sub1,varchar(100),YES,,NULL,,
Category_Master,,G3_Sub2,varchar(100),YES,,NULL,,
Category_Master,,G3_Confidence,double,YES,,NULL,,
Category_Master,,H3_Main_Eng,varchar(100),YES,,NULL,,
Category_Master,,H3_Main,varchar(100),YES,,NULL,,
Category_Master,,H3_Sub1,varchar(100),YES,,NULL,,
Category_Master,,H3_Sub2,varchar(100),YES,,NULL,,
Category_Master,,H3_Full,varchar(100),YES,MUL,NULL,,
