from_app,from_model,from_table,from_field,from_column,relation_type,to_model,to_table,to_column,on_delete,null,from_col_in_schema,to_col_in_schema,from_table_used,to_table_used,file
ads,BumperScene,YT_bumper_scene,video_id,video_id,ForeignKey,AnalizedBumperAd,YT_bumper_ad_analized,video_id,,False,True,True,True,True,ads/models.py
ads,DisplayAdCampaign,ugwanggi_display_ad_campaign,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,ads/models.py
ads,DisplayAdCampaignResult,ugwanggi_display_ad_campaign_result,display_ad_id,display_ad_id,ForeignKey,DisplayAD,ugwanggi_display_ad,display_ad_id,,False,True,True,True,True,ads/models.py
ads,DisplayAdCampaignResult,ugwanggi_display_ad_campaign_result,campaign_id,campaign_id,ForeignKey,DisplayAdCampaign,ugwanggi_display_ad_campaign,campaign_id,,False,True,True,True,True,ads/models.py
archive,Archive,ugwanggi_archive,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,archive/models.py
archive,Archive,ugwanggi_archive,group,group,ForeignKey,ArchiveGroup,ugwanggi_archive_group,archive_group_id,,True,True,True,True,True,archive/models.py
archive,ArchiveGroup,ugwanggi_archive_group,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,archive/models.py
archive,ArchiveDocsHistory,ugwanggi_docs_history,archive,archive,ForeignKey,Archive,ugwanggi_archive,archive_id,,False,True,True,True,True,archive/models.py
archive,ArchiveDocsHistory,ugwanggi_docs_history,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,archive/models.py
archive,ArchiveSpreadsheetSheet,ugwanggi_archive_spreadsheet_sheet,archive_group,archive_group,ForeignKey,ArchiveGroup,ugwanggi_archive_group,archive_group_id,,False,True,True,True,True,archive/models.py
express,ChatRoom,ugwanggi_express_chat_room,request_id,request_id,ForeignKey,UgwanggiExpressRequestStatus,ugwanggi_express_request_status,id,DO_NOTHING,True,True,True,True,True,express/models/realtime.py
express,ChatRoom,ugwanggi_express_chat_room,adslot_id,adslot_id,ForeignKey,UgwanggiExpressAdslots,ugwanggi_express_adslots,adslot_id,DO_NOTHING,True,True,True,True,True,express/models/realtime.py
express,ChatRoomMember,ugwanggi_express_chat_room_member,room_id,room_id,ForeignKey,ChatRoom,ugwanggi_express_chat_room,room_id,DO_NOTHING,False,True,True,True,True,express/models/realtime.py
