app,owned_tables,consumed_tables,endpoints_total,endpoints_uncalled,outbound_deps,inbound_deps
ugwanggiAPI,0,2,0,0,8,22
brand,7,2,26,10,7,18
user,7,0,36,10,5,20
youtube,28,1,45,9,7,17
partner,18,1,58,16,5,11
instagram,37,2,44,8,6,7
ads,18,2,23,11,4,7
search,16,5,47,23,6,4
subscribe,11,0,18,5,3,6
admin,10,1,38,7,7,1
express,32,3,90,10,4,3
aichat,8,1,47,40,6,0
amore,1,2,19,1,6,0
oliveyoung,15,1,38,9,4,2
partner_admin,0,1,7,7,6,0
creators_insights,0,1,6,0,5,0
monitoring,3,1,11,2,5,0
partner_instagram,2,0,3,0,4,1
preview,0,1,7,1,5,0
trends,11,1,12,1,4,1
archive,5,1,11,9,4,0
instagram_admin,5,7,13,1,3,0
kpi,0,0,15,1,3,0
youtube_shopping,4,0,13,0,2,1
survey,7,0,7,0,1,1
aitools,0,0,1,1,1,0
keywords,0,1,1,1,1,0
tiktok,4,0,0,0,0,0
