table,owner_app,owner_status,writer_apps,reader_apps,join_apps,consumer_apps,per_app_hits
Category_Master,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_brand_bumper_cost_per_day,brand,SINGLE,,,,,"{""brand"": 1}"
YT_brand_video_trend,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_ad,ads,SINGLE,,search,brand,brand|search,"{""ads"": 1, ""brand"": 1, ""search"": 1}"
YT_bumper_ad_analized,ads,SINGLE,,ads,,,"{""ads"": 2}"
YT_bumper_ad_global,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_cost_per_day,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_cost_per_week,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_cpm_by_industry,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_crawl_video_list,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_crawl_waiting_list,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_on_off,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_scene,ads,SINGLE,,,,,"{""ads"": 1}"
YT_bumper_video_trend,ads,SINGLE,,ads|brand,,brand,"{""ads"": 2, ""brand"": 1}"
YT_comment,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_comment_analysis,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_country_info,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_en_video_lists,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_product_info,youtube_shopping,SINGLE,,,,,"{""youtube_shopping"": 1}"
YT_product_video,youtube_shopping,SINGLE,,,,,"{""youtube_shopping"": 1}"
YT_shopping_top_product,youtube_shopping,SINGLE,,,,,"{""youtube_shopping"": 1}"
YT_shopping_top_product_video,youtube_shopping,SINGLE,,,,,"{""youtube_shopping"": 1}"
YT_sub_view_trend,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_tag_centrality,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_ugwanggi_rising_star,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_shorts_trending,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_insight_daily_action,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_insight_daily_category_and_format,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_insight_daily_chance,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_insight_daily_chance_and_risk_title,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_insight_daily_risk,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_insight_daily_summary,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_keyword,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_trending_keyword_video_ids,trends,SINGLE,,,,,"{""trends"": 1}"
YT_ugwanggi_video_trending,trends,SINGLE,,,,,"{""trends"": 1}"
YT_video_content_class_track,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_video_crawling_waiting,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_video_format,youtube,SINGLE,,,,,"{""youtube"": 1}"
YT_video_lists,youtube,SINGLE,,search|ugwanggiAPI|youtube,,search|ugwanggiAPI,"{""search"": 2, ""ugwanggiAPI"": 1, ""youtube"": 2}"
