table,usage,confidence,direct_hits,indirect_hits,mention_hits,sample_files
Category_Master,DIRECT,HIGH,1,0,1,youtube/models.py
SequelizeMeta,UNUSED,MED,0,0,0,
YT_ads_yn,UNUSED,MED,0,0,0,
YT_brand_bumper_cost_per_day,DIRECT,HIGH,1,0,1,brand/models.py
YT_brand_bumper_cost_per_day_old,UNUSED,HIGH,0,0,0,
YT_brand_video_trend,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_ad,DIRECT,HIGH,3,1,34,ads/models.py | brand/views.py | search/utils.py
YT_bumper_ad_analized,DIRECT,HIGH,3,0,7,ads/models.py | ads/views.py
YT_bumper_ad_global,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_cost_per_day,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_cost_per_week,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_cpm_by_industry,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_crawl_video_list,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_crawl_waiting_list,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_on_off,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_scene,DIRECT,HIGH,1,0,1,ads/models.py
YT_bumper_video_trend,DIRECT,HIGH,3,0,4,ads/models.py | ads/views.py | brand/views.py
YT_campaign_video,UNUSED,MED,0,0,0,
YT_campaign_video_result,UNUSED,MED,0,0,0,
YT_channel_cate,UNUSED,MED,0,0,0,
YT_channel_cate_game,UNUSED,MED,0,0,0,
YT_channel_cost,UNUSED,MED,0,0,0,
YT_channel_gender_ratio,UNUSED,MED,0,0,0,
YT_channel_language_count,UNUSED,MED,0,0,0,
YT_comment,DIRECT,HIGH,1,0,1,youtube/models.py
YT_comment_analysis,DIRECT,HIGH,1,0,1,youtube/models.py
YT_comment_scraped_test,UNUSED,HIGH,0,0,0,
YT_comment_task_log,UNUSED,MED,0,0,0,
YT_contact_management,UNUSED,MED,0,0,0,
YT_country_info,DIRECT,HIGH,1,0,1,youtube/models.py
YT_crawl_channel_list,UNUSED,MED,0,0,0,
YT_crawl_video_list,UNUSED,MED,0,0,0,
YT_en_video_lists,DIRECT,HIGH,1,0,1,youtube/models.py
YT_hifen_score,UNUSED,MED,0,0,0,
YT_missing_channel,UNUSED,MED,0,0,0,
YT_processed_channels,UNUSED,MED,0,0,0,
YT_processed_keywords,UNUSED,MED,0,0,0,
YT_product_info,DIRECT,HIGH,1,0,1,youtube_shopping/models.py
YT_product_video,DIRECT,HIGH,1,0,1,youtube_shopping/models.py
YT_product_video_temp,UNUSED,HIGH,0,0,0,
YT_searched_history,UNUSED,MED,0,0,0,
YT_shopping_top_product,DIRECT,HIGH,1,0,1,youtube_shopping/models.py
YT_shopping_top_product_video,DIRECT,HIGH,1,0,1,youtube_shopping/models.py
YT_shorts_view_trend,UNUSED,MED,0,0,0,
YT_sub_view_trend,DIRECT,HIGH,1,0,1,youtube/models.py
YT_sub_view_trend_latest,UNUSED,MED,0,0,0,
YT_subscribers_growth_trend,UNUSED,MED,0,0,0,
YT_tag_centrality,DIRECT,HIGH,1,0,1,youtube/models.py
YT_temporary_lists,UNUSED,MED,0,0,0,
YT_temporary_lists_detail,UNUSED,MED,0,0,0,
YT_topic_centrality,UNUSED,MED,0,0,0,
YT_topic_centrality_global,UNUSED,MED,0,0,0,
YT_topic_difficulty,UNUSED,MED,0,0,0,
YT_topic_global,UNUSED,MED,0,0,0,
YT_type_cate,UNUSED,MED,0,0,0,
YT_ugwanggi_rising_star,DIRECT,HIGH,1,0,1,trends/models.py
YT_ugwanggi_shorts_trending,DIRECT,HIGH,1,0,3,trends/models.py | trends/utils.py | trends/views.py
YT_ugwanggi_trending_insight_daily_action,DIRECT,HIGH,1,0,1,trends/models.py
YT_ugwanggi_trending_insight_daily_category_and_format,DIRECT,HIGH,1,0,1,trends/models.py
