cluster_id,sub_keyword,id,cluster_id,analysis_date,topic_total_post_count,topic_total_dm_count,cluster_name,topic,cluster_post_share,cluster_dm_share,dm_per_views,dm_per_likes,cluster_post_count,cluster_dm_send_count,cluster_views,cluster_likes,cluster_name_reason,top1_post_id,top2_post_id,top3_post_id,created_at,updated_at
육아/키즈_1,유아식,1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,이유식,1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,"이유식 스타터킷",1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,"이유식 식단",1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,"수제 이유식",1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,"이유식 만들기",1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,쌀미음,1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_1,아기간식,1120,육아/키즈_1,2026-05-18,924,229758,이유식,육아/키즈,0.10714285714285714,0.11391115869741206,0.01189700174827559,0.7388837130515795,99,26172,2199882,35421,"신생아·영아 부모 필수 관심사로 2026년 인스타에서 이유식 레시피·재료 공유가 활발한 핵심 트렌드",DYR15fzTDzr,DYRlTeMTkGF,DYYm5ASTsg5,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_2,신생아,1121,육아/키즈_2,2026-05-18,924,229758,유모차,육아/키즈,0.050865800865800864,0.05119299436798719,0.008116224444450579,0.7179831522402637,47,11762,1449196,16382,"2026 베이비페어에서 명품 유모차 브랜드가 강세를 보이며 경량·휴대성 중심으로 관심 급증",DYPeskkRuXE,DYONDXeJ6e-,DYPOZ9fJZg3,"2026-05-18 10:55:15","2026-05-18 10:55:15"
육아/키즈_2,"출산 준비물",1121,육아/키즈_2,2026-05-18,924,229758,유모차,육아/키즈,0.050865800865800864,0.05119299436798719,0.008116224444450579,0.7179831522402637,47,11762,1449196,16382,"2026 베이비페어에서 명품 유모차 브랜드가 강세를 보이며 경량·휴대성 중심으로 관심 급증",DYPeskkRuXE,DYONDXeJ6e-,DYPOZ9fJZg3,"2026-05-18 10:55:15","2026-05-18 10:55:15"
