레이어,라벨,샘플1,샘플2,샘플3,샘플4,샘플5
Layer 1 — 채널 타입,휴먼 인플루언서,,,,,
Layer 1 — 채널 타입,공식/브랜드 계정,,,,,
Layer 1 — 채널 타입,미디어/파워페이지,,,,,
Layer 1 — 채널 타입,커머스 셀러,,,,,
Layer 1 — 채널 타입,커뮤니티/테마 페이지,,,,,
Layer 2 — 콘텐츠 기능,리뷰,,,,,
Layer 2 — 콘텐츠 기능,꿀팁/하우투,,,,,
Layer 2 — 콘텐츠 기능,일상/공감,,,,,
Layer 2 — 콘텐츠 기능,엔터테인먼트,,,,,
Layer 2 — 콘텐츠 기능,루틴,,,,,
Layer 2 — 콘텐츠 기능,프로모션/광고,,,,,
Layer 2 — 콘텐츠 기능,큐레이션/에디토리얼,,,,,
Layer 3 — 분야/주제,뷰티,,,,,
Layer 3 — 분야/주제,패션,,,,,
Layer 3 — 분야/주제,푸드,,,,,
Layer 3 — 분야/주제,여행,,,,,
Layer 3 — 분야/주제,육아,,,,,
Layer 3 — 분야/주제,스포츠/피트니스,,,,,
Layer 3 — 분야/주제,반려동물,,,,,
Layer 3 — 분야/주제,인테리어/리빙,,,,,
Layer 3 — 분야/주제,관능/섹시,,,,,
Layer 3 — 분야/주제,아트/문화,,,,,
Layer 3 — 분야/주제,엔터테인먼트,,,,,
Layer 3 — 분야/주제,테크/디지털,,,,,
Layer 4 — 무드/톤,밝은,,,,,
Layer 4 — 무드/톤,자연스러운,,,,,
Layer 4 — 무드/톤,다크/무디,,,,,
Layer 4 — 무드/톤,럭셔리,,,,,
Layer 4 — 무드/톤,미니멀,,,,,
Layer 4 — 무드/톤,관능/섹시,,,,,
Layer 4 — 무드/톤,스트릿,,,,,
Layer 4 — 무드/톤,러블리/귀여운,,,,,
Layer 4 — 무드/톤,시크,,,,,
Layer 4 — 무드/톤,유머러스,,,,,
Layer 4 — 무드/톤,감성적,,,,,
Layer 5 — 출연 구조,얼굴 중심,,,,,
Layer 5 — 출연 구조,목소리/자막 중심,,,,,
Layer 5 — 출연 구조,제품 중심,,,,,
Layer 5 — 출연 구조,가족 중심,,,,,
Layer 5 — 출연 구조,반려동물 중심,,,,,
Layer 5 — 출연 구조,인물 미등장/편집형,,,,,
Layer 5 — 출연 구조,일러스트/웹툰,,,,,
