channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UCwtLb11h7aai6EVcdwdlVJA,Doydly,DwOICY1OpFg,https://www.youtube.com/watch?v=DwOICY1OpFg,0,26000,2200,9,1,본품 퍼주는 정샘물 무빙카 다녀왔어요!,2026-03-28,LG생활건강,메이크업,2026-04-28T00:00:00.000000
UCBoQ8_HIOVbOA_FuYtTapqA,유정 YUJEONG,AIpIfhNb6FM,https://www.youtube.com/watch?v=AIpIfhNb6FM,0,455000,49000,452,10,3️⃣4️⃣ 봄맞이 피부관리 체중관리..😓 #shorts #diet,2026-03-31,LG생활건강,,2026-04-28T00:00:00.000000
UCRiIf6rt91BVfZVtURRXlOw,지냐 Jinyaa,UO5EYbsc5sI,https://www.youtube.com/watch?v=UO5EYbsc5sI,0,357000,57566,1903,672,"🍑 그냥 복숭아 말고 ⊹노-릇하게 구워진 복숭아⊹ 우리가 원한 거잖아••🧡 | 매끈 보송 베이스부터 노릇 색조까지, 인간 복숭아가 되,,𓂃⋆ with. 구독자 이벤트🎁",2026-03-29,LG생활건강,,2026-04-28T00:00:00.000000
UCBlIcpkzSdcmp5G0XS7UsZA,담쓰 Dams Beauty,eVBN7gqqzbg,https://www.youtube.com/watch?v=eVBN7gqqzbg,0,211000,16000,113,10,이니스프리 핑크 노세범 못참지💕,2026-04-13,LG생활건강,,2026-04-28T00:00:00.000000
UCff7sQ_kjCEPZvr8h8US8ww,화니 HWAN'E,hxc86GyR0qg,https://www.youtube.com/watch?v=hxc86GyR0qg,0,170000,17000,38,4,무.조.건. 사야할 레티놀 인생템🔥 올리브영 모공 흔적 앰플 추천,2026-04-02,LG생활건강,,2026-04-28T00:00:00.000000
UCun4wV8czkKcdMn_NDX8MIQ,이지호이죠_JiHo,uPYRAC2uxUk,https://www.youtube.com/watch?v=uPYRAC2uxUk,0,166000,54000,800,21,학교 가기 전 아침🥚🥚,2026-04-04,LG생활건강,,2026-04-28T00:00:00.000000
UCfM7HC0wkS_cWVIcgpy2XPA,몌 myerry,bwuuFkuM0m4,https://www.youtube.com/watch?v=bwuuFkuM0m4,0,134000,2762,63,74,⭐️5년째 추천템⭐️ 이니스프리 레티놀 시카 흔적 앰플 ‘최저가’ 가져왔어요‼️ 피부 좋아지고 싶다면 놓치지 마세요🩵,2026-04-12,LG생활건강,,2026-04-28T00:00:00.000000
UCZ75Bt8hZt1AO2zRw36QJHw,여름밤 SummerNight,tdvyMm1bMIU,https://www.youtube.com/watch?v=tdvyMm1bMIU,0,61100,23000,85,9,이니스프리 블랙헤드 해결템,2026-03-23,LG생활건강,,2026-04-28T00:00:00.000000
UC26RKCp5GM9XxygDjikvtxw,타라재,RrHlOGcOc50,https://www.youtube.com/watch?v=RrHlOGcOc50,0,34600,5600,59,1,피부치트키 성분 3대장 한번에 섞어 바르면 생기는 일ㄷㄷ(레티놀+시카+나이아신아마이드),2026-03-27,LG생활건강,,2026-04-28T00:00:00.000000
UC26RKCp5GM9XxygDjikvtxw,타라재,ls-iLqHs-1A,https://www.youtube.com/watch?v=ls-iLqHs-1A,0,34600,7400,76,1,남자 외모 떡상하는 48초 블랙헤드 클렌징 노하우 #이니스프리,2026-03-24,LG생활건강,,2026-04-28T00:00:00.000000
UC4bNn3K-ivge2a_etU2jP9A,또맛추 • 맛집 리뷰 퀴즈 심리테스트,Uy2aRD6mgYE,https://www.youtube.com/watch?v=Uy2aRD6mgYE,0,18100,284,2,0,11번가 월간십일절 일자가 늘었다구요! 패션뷰티페스타 너무 좋다!,2026-04-03,LG생활건강,,2026-04-28T00:00:00.000000
