channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,에스트라,NULL,NULL,_QUjDyg2C3M,96474,1207,297,11436750,2022-03-30,118.547,"에스트라 흔적 진정 세럼과 함께 샤넬 7픈런 썰 푼다 : 아가씨 상품권 찾아?😊"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,메디힐,NULL,NULL,_TmDOVMbxnI,79000,237,9,26680000,2025-11-29,337.722,"올해 마지막 올영세일 뭐 살지 모르면 이거임"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,바닐라코,헤라,NULL,-aR-2oM7J3s,48002,506,34,26690000,2025-11-21,556.018,"올리브영 홀리데이 렉카 : 레전드 섀도우들, 하이라이터, 쿠션, 립, 바디 스크럽까지?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,토니모리,NULL,NULL,-e-4H6fPs0Y,63420,706,128,11436750,2024-08-01,180.333,"역대급 콜라보?!🤔토니모리와 YOUHEE가 만났다😮 엄청난 증정품 보고가셔요"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,차앤박(CNP),NULL,NULL,-luuGS_mLT8,32259,413,85,11436750,2023-02-10,354.529,"노 마스크 라니…! 😷 미백 홈케어 하는 법 배워왔습니다"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,체이싱래빗,NULL,NULL,-uGOdat-9OI,61191,1137,206,11436750,2022-11-13,186.902,"향기폭탄 퍼퓸크림🍓 : 향 맥시멈 plz 🙏 : 향수뿌리기도 귀찮으신분들🐰"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,무지개맨션,NULL,NULL,-xisyxadEBI,23258,199,41,26680000,2025-11-30,1147.13,"이거 유명하더라...! 무지개맨션 2025년 마지막 신상😆 4세대 립밤이라고 하던데...?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,더마토리,NULL,NULL,0ki-DnOMIsI,17000,94,6,26730000,2026-03-28,1572.35,"봄용 수분앰플 이거에요!"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,넘버즈인,NULL,NULL,0sG5y91F4UM,37412,273,24,11436750,2024-05-24,305.697,"힘을 순긴 찐 기초케어🫢 : 넘버즈인의 유명라인 1번의 신상크림"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,NULL,NULL,NULL,0uYPeF8w0E4,193950,2740,62,11436750,2024-04-08,58.9675,"아이돌들의 비밀 속광 블러셔?! : 어반디케이 하이드로매니악 글로우 블러쉬"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,코스알엑스,NULL,NULL,0vxQ5uw8e70,97213,525,55,12062050,2025-05-23,124.079,"해외유명템😮 대란 후다뷰티 우베파우더, 요새 핀터립, 마법의 비누????????"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,마몽드,NULL,NULL,198e2Lsr8kc,113787,719,145,11436750,2025-02-05,100.51,"이 집은 날 배신하지 않지! 🫢: 마몽드 톰과 제리 에디션, 프라다 쿠션, 톡톡하라 노글루 속눈썹, 클럭 두피 마사지기, 라부부 랜덤 언박싱까지"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,마몽드,NULL,NULL,1LQrxrzaGb4,120373,1439,168,11436750,2023-11-28,95.0109,"올리브영 신상렉카 : 화제의 재유 클렌징밤, 에스쁘아 파운데이션, 립세린 등"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,메디큐브,NULL,NULL,320YA2eRl4w,190770,2178,46,11436750,2024-04-25,59.9505,"해외에서도 품절대란? 국뽕차오르는 아이템"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,디어에이,NULL,NULL,3JO_083fRYk,207444,2407,153,11436750,2022-10-15,55.1317,"올영 1위만 취급하는 나 : 올영1위 제품들만 써보기😍"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,바이오힐보,NULL,NULL,3kNgRopMYOM,16370,181,25,11436750,2025-03-03,698.641,"올영표 공짜 모공탄력관리 받고옴🫢"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,발렌티노,NULL,NULL,3vYSk2wtXe0,2174829,24453,233,11436750,2023-08-04,5.25869,"#제품제공 발렌티노에서 온 선물?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,닥터지,NULL,NULL,4bz_-5KFwwA,120000,2768,36,11436750,2024-09-09,95.3063,"모공쟁이들 피부과 왜감?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,더랩바이블랑두,NULL,NULL,4Kayz7PDQ6A,112884,1451,169,11436750,2023-01-29,101.314,"연예인 브랜드들?! : 소유 레깅스, 한예슬 화장품, 유빈 그런지룩 옷들, 손담비 속옷 ?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,코스알엑스,NULL,NULL,5iim5zs0aFQ,160000,474,24,25900000,2025-06-16,161.875,"비주얼 갑😮 원조 해외대란템"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,웰라쥬,NULL,NULL,5XC4gTIT2js,96000,604,15,11436750,2024-10-02,119.133,"호불호 0에 수렴하는 올리브영 리얼 수분크림 추천"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,에뛰드,NULL,NULL,6BxxO7Nriag,82625,999,81,11436750,2024-06-30,138.418,"동년배들 모여보셔요🤣 라떼의 인기제품들 부활했습니다😁풀 발색 나갑니다"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,바이오던스,NULL,NULL,6eg59IY_N_0,39782,345,55,11436750,2024-04-09,287.486,"sns 라이스페이퍼 팩🫢"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,젠테스토어,NULL,NULL,8d4Pa5lwS2s,210224,2505,178,11436750,2022-12-08,54.4027,"젠테스토어 100만 원💸어치 주세요 : 최초로 4가지 아이템 가능?! : 자크뮈스 크로스백, 미우미우 지갑, 가니 액세서리 2개"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,프리메라,NULL,NULL,8mSZTLH_Rlg,35875,261,127,26740000,2026-02-07,745.366,"안사면 손해봄🫨 n년만에 마켓합니다"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,케이스티파이,NULL,NULL,9-YiaVjDBwU,88694,1110,174,26560000,2025-10-11,299.457,"인스타 vs 현실 : 인스타 믿어도 됨?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,페리페라,NULL,NULL,94rh2aygDJ8,132473,2014,183,11436750,2022-04-30,86.3327,"틱톡 유행 레시피 2탄 : 메로나에 고추장을 발라먹으면 뇸?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,컬리,NULL,NULL,9cH4_YuEw1U,316099,4662,43,11436750,2023-09-11,36.1809,"100만원어치 고오급 화장품 추천 #뷰티컬리"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,아이소이,NULL,NULL,9Z_wPB6N1Ck,119375,1373,206,12062050,2025-01-20,101.043,"구독자님들 인생템 손민수 : 밀크티집 부터 다이어트 간식 김치전칩까지?"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,웨이크메이크,NULL,NULL,aILilWserfg,100000,463,15,26580000,2025-08-28,265.8,"얼굴 넘 가까워요... 리뉴얼된 천재템 초근접 리뷰"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,휩드,NULL,NULL,anNhK_o0vpE,64686,691,263,11436750,2024-08-19,176.804,"성덕되었습니다 🫢 K-휘핑 클렌저! 휩드 집에서 만들어보기😮 팔 빠질 뻔..."
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,체이싱래빗,NULL,NULL,AtWPn9ZtmXk,35271,708,110,11436750,2022-11-06,324.254,"농활 vlog🍓 | 딸기농장 vlog | 체이싱래빗 x 유리아 퍼퓸크림 스포🤩"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,질레트코리아,NULL,NULL,B2bJtuzA550,102126,1296,203,11436750,2024-06-01,111.987,"신박한 여름강추템??? : 수치심을 잃은 자외선차단, 겨드랑이 패치 필수면도기 등"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,아임프롬,NULL,NULL,b3pmyhoZWA0,300409,3789,251,11436750,2022-09-05,38.0706,"최신 틱톡 유행템 ?: 인스턴트 훠궈, 혀 스펀지, 헤어보석, 동결건조 간식들 등"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,닥터지,NULL,NULL,Bau5bRSFoXw,22408,270,134,11436750,2024-09-09,510.387,"모공 시술 안 받았는데요? 5일만에 닥터지 바쿠치올 포어젯으로 모공 쪼인 후기"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,코리아나(앰플엔),NULL,NULL,bkTWpYa1KRA,29188,948,27,26680000,2025-11-25,914.074,"취향 완전 반대;;; 모쏠탈출 메이크업으로 유명한 쌤 파우치 털기"
UC00DJ04oplqj4IUUB5vSwZw,유리아YuRia,셀리맥스,NULL,NULL,c0_V9aBhybY,169696,1959,133,11436750,2022-10-28,67.3955,"유튜버템들🤔 : 품절대란 유명템들만😘 | 인스턴트펑크 니트들 | 먼지나방 섀도우 | 에끄멀 | 녹두팩 | 승우아빠 밀키트 등"
