channel_id,F13_17,F18_24,F25_34,F35_44,F45_54,F55_64,F65,M13_17,M18_24,M25_34,M35_44,M45_54,M55_64,M65
UC00DJ04oplqj4IUUB5vSwZw,6,33,22,10,4,2,1,1,6,9,4,2,1,1
UC0awE5h5rIOFh52li-lZObg,10,34,23,8,4,1,0,2,7,5,3,3,1,0
UC14xDOlecETvjL2by20FXrQ,3,17,19,15,12,6,3,1,6,6,5,4,2,1
UC26RKCp5GM9XxygDjikvtxw,2,10,13,8,6,3,2,2,13,17,10,8,4,2
UC2bN1vE7esxNXhBSYIHzQwg,5,26,24,14,9,4,3,1,4,4,3,2,1,0
UC4bNn3K-ivge2a_etU2jP9A,2,10,13,9,8,5,3,2,10,13,9,8,5,3
UC66diRcDsDtXqFffHD3zcVQ,4,21,20,14,11,5,2,1,6,6,4,3,2,1
UC6br5Obl00fe-p7vaNebPUQ,2,8,10,9,8,4,2,2,10,15,12,11,5,2
UC7R377JtSnWUAH3bIDX3mZw,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UC8-Waog35DgpfveQcw6U5cg,4,20,25,15,11,5,2,1,4,5,3,3,1,1
UC8D8Zn4iOnfng75AffMRuPg,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UC9A3neTclGQxmPI9kAqx9jw,4,20,22,15,11,5,3,1,5,5,4,3,1,1
UC9Z-KxdMBq8G1xypxuCS7oQ,5,27,25,13,9,4,2,1,4,4,3,2,1,0
UCA5CvI96Q7XtiRIxmajRzWw,3,20,25,12,9,4,2,1,7,8,4,3,1,1
UCAzbl-HcJdvFy6oVRmJJQ1A,8,30,22,12,7,3,1,2,6,4,3,2,0,0
UCbK636ZR5BdUIrEcu6YOCRw,3,12,12,9,8,4,2,2,13,12,9,8,4,2
UCBlIcpkzSdcmp5G0XS7UsZA,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCBoQ8_HIOVbOA_FuYtTapqA,5,34,24,10,7,2,1,1,7,5,2,2,0,0
UCBt2y4jx0JJ0Bt4dMssVM-w,4,24,26,12,9,4,2,1,6,6,3,2,1,0
UCCdCh7qLb-NR3kk8VTFyqig,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UCeMVG_xsUh7wJEHAic4G4AA,9,38,26,8,4,2,1,1,4,4,2,1,0,0
