brand,brand_score,brand_rank_score,brand_related_video_score,date
80,0.03,NULL,NULL,2026-04-27
79,13.50,NULL,NULL,2026-04-27
63,4.66,NULL,NULL,2026-04-27
119,0.00,NULL,NULL,2026-04-27
79,12.82,NULL,NULL,2026-04-26
80,0.04,NULL,NULL,2026-04-26
63,4.73,NULL,NULL,2026-04-26
119,0.00,NULL,NULL,2026-04-26
79,13.43,NULL,NULL,2026-04-25
119,0.00,NULL,NULL,2026-04-25
63,4.53,NULL,NULL,2026-04-25
80,0.03,NULL,NULL,2026-04-25
80,0.03,NULL,NULL,2026-04-24
119,0.00,NULL,NULL,2026-04-24
63,4.51,NULL,NULL,2026-04-24
79,13.86,NULL,NULL,2026-04-24
119,0.00,NULL,NULL,2026-04-23
80,0.03,NULL,NULL,2026-04-23
63,4.37,NULL,NULL,2026-04-23
79,14.13,NULL,NULL,2026-04-23
63,3.95,NULL,NULL,2026-04-22
79,15.17,NULL,NULL,2026-04-22
119,0.00,NULL,NULL,2026-04-22
80,0.04,NULL,NULL,2026-04-22
80,0.04,NULL,NULL,2026-04-21
119,0.00,NULL,NULL,2026-04-21
63,3.91,NULL,NULL,2026-04-21
79,15.30,NULL,NULL,2026-04-21
79,13.73,NULL,NULL,2026-04-20
63,3.68,NULL,NULL,2026-04-20
80,0.04,NULL,NULL,2026-04-20
119,0.00,NULL,NULL,2026-04-20
119,0.00,NULL,NULL,2026-04-19
80,0.03,NULL,NULL,2026-04-19
79,11.16,NULL,NULL,2026-04-19
63,3.54,NULL,NULL,2026-04-19
80,0.03,NULL,NULL,2026-04-18
79,11.46,NULL,NULL,2026-04-18
63,3.44,NULL,NULL,2026-04-18
119,0.00,NULL,NULL,2026-04-18
80,0.03,NULL,NULL,2026-04-17
63,2.34,NULL,NULL,2026-04-17
79,12.24,NULL,NULL,2026-04-17
119,0.00,NULL,NULL,2026-04-17
63,2.05,NULL,NULL,2026-04-16
79,10.11,NULL,NULL,2026-04-16
80,0.32,NULL,NULL,2026-04-16
119,0.00,NULL,NULL,2026-04-16
119,0.00,NULL,NULL,2026-04-15
79,11.01,NULL,NULL,2026-04-15
