product_id,brand,product,category,image
A000000003130,덴티스테,"덴티스테 내츄럴오랄린스 100ml",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000313005ko.jpg?l=ko
A000000004254,덴티스테,"덴티스테 트래블팩 (칫솔&치약)",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000425408ko.jpg?l=ko
A000000004556,덴티스테,"덴티스테 고급 이중 미세모 칫솔",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000455606ko.jpg?l=ko
A000000004557,덴티스테,"덴티스테 센서티브 칫솔",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000455706ko.jpg?l=ko
A000000004855,덴티스테,"덴티스테 디럭스 혀클리너",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000485506ko.jpg?l=ko
A000000008836,덴티스테,"덴티스테 치실 50m",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000883606ko.jpg?l=ko
A000000008837,덴티스테,"덴티스테 내츄럴오랄린스 450ml",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000883707ko.jpg?l=ko
A000000103540,덴티스테,"덴티스테 후레쉬 브레스 스프레이 15ml",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0010/A00000010354018ko.jpg?l=ko
A000000135670,덴티스테,"덴티스테 후레쉬 브레스스프레이 3개입",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A00000013567012ko.jpg?l=ko
A000000141135,덴티스테,"[6개입 세트] 덴티스테 후레쉬 브레스 스프레이 6개입",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0014/A00000014113509ko.jpg?l=ko
A000000144570,덴티스테,"덴티스테 내츄럴 오랄린스 700ml",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0014/A00000014457004ko.jpg?l=ko
A000000153464,덴티스테,"덴티스테 멀티 혀클리너",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/A00000015346403ko.jpg?l=ko
A000000153984,덴티스테,"[풍성거품] 덴티스테 뉴 마일드 치약 160g 4개입/12개입",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/A00000015398410ko.jpg?l=ko
A000000157016,덴티스테,"[4월 올영픽] 덴티스테 민트볼 20입",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/A00000015701626ko.jpg?l=ko
A000000176159,덴티스테,"덴티스테 작은모 칫솔",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017615901ko.jpg?l=ko
A000000191241,덴티스테,"[고불소] 덴티스테 안티캐비티 치약 100g",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019124102ko.jpg?l=ko
A000000191549,덴티스테,"덴티스테 뉴 플러스화이트 치약 60g",구강용품,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019154901ko.jpg?l=ko
