channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC00DJ04oplqj4IUUB5vSwZw,284764,162538,162941,622019,1.02,0.85,0,0,26.59,504,1,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC0awE5h5rIOFh52li-lZObg,13957,12330,11987,16029,0.94,0.73,1.21,800,48.74,636,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UC14xDOlecETvjL2by20FXrQ,434,477,315,513,2.97,0.33,-0.25,-10,60.3,335,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","교육 & 커리어","음식 & 음료"
UC26RKCp5GM9XxygDjikvtxw,51332,43508,21309,81714,0.73,1.33,22.65,6500,49.7,336,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC2bN1vE7esxNXhBSYIHzQwg,195846,132930,15556,212331,0.57,0.35,2.16,2000,91.62,752,1,"리뷰 & 언박싱","리뷰 & 언박싱","리빙 & 인테리어","뷰티 & 메이크업",NULL,"리빙 & 인테리어"
UC4bNn3K-ivge2a_etU2jP9A,1242,804,339,1950,1.43,0.9,-0.55,-100,56.03,398,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","리빙 & 인테리어","리빙 & 인테리어"
UC66diRcDsDtXqFffHD3zcVQ,536,534,545,521,4.95,1.31,0,0,36.82,497,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UC6br5Obl00fe-p7vaNebPUQ,1069,827,1001,1124,2.37,1.06,10.19,580,54.91,703,NULL,브이로그,"리뷰 & 언박싱","여행 & 캠핑","여행 & 캠핑",엔터테인먼트,"음식 & 음료"
UC7R377JtSnWUAH3bIDX3mZw,57931,20251,105076,46657,0.76,1.53,-1.68,-900,80.7,285,2,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC8-Waog35DgpfveQcw6U5cg,27404,54898,7046,30779,1.15,0.21,1.65,200,85.78,443,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료",NULL,"뷰티 & 메이크업"
UC8D8Zn4iOnfng75AffMRuPg,49322,30694,12521,59380,0.82,1.27,1.28,700,78.54,396,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","패션 & 의류"
UC9A3neTclGQxmPI9kAqx9jw,840,960,953,733,0.46,1.78,0,0,51.27,353,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","음식 & 음료","음식 & 음료","의료 & 건강"
UC9Z-KxdMBq8G1xypxuCS7oQ,2227,2326,1655,2998,5.2,2.88,138.77,5620,42.62,474,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","피트니스 & 다이어트","피트니스 & 다이어트"
UCA5CvI96Q7XtiRIxmajRzWw,5185,3683,6326,3706,0.47,0.01,0,0,43.55,62,NULL,브이로그,"리뷰 & 언박싱","여행 & 캠핑",육아,"일상 & 라이프스타일","뷰티 & 메이크업"
UCaN2hWDtZZ15Jt9HdntN2tw,63568,46519,66823,60378,1.01,1.25,21.6,5400,50.51,99,NULL,브이로그,브이로그,"일상 & 라이프스타일","연애 & 결혼","여행 & 캠핑","일상 & 라이프스타일"
UCAzbl-HcJdvFy6oVRmJJQ1A,48820,34620,14090,62245,0.73,0.73,-1.47,-900,72.12,434,1,브이로그,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCbK636ZR5BdUIrEcu6YOCRw,11102,826,36623,2443,0.55,0.41,-0.48,-200,74.67,225,NULL,토크,"리뷰 & 언박싱","연애 & 결혼",코미디,엔터테인먼트,"연애 & 결혼"
UCBlIcpkzSdcmp5G0XS7UsZA,54259,41405,53665,60019,0.93,1.88,3.43,7000,9.35,385,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","의료 & 건강"
UCBoQ8_HIOVbOA_FuYtTapqA,346319,283217,367716,289741,1.27,1.21,0.22,1000,27.44,594,7,브이로그,브이로그,"일상 & 라이프스타일","피트니스 & 다이어트","여행 & 캠핑","음식 & 음료"
UCBt2y4jx0JJ0Bt4dMssVM-w,46221,38505,46221,NULL,1.25,1.35,0.25,100,NULL,110,NULL,브이로그,NULL,"일상 & 라이프스타일",NULL,"여행 & 캠핑",NULL
UCC-l8WDpZtqymNu1kssjY3g,110284,89431,13962,116389,0.36,0.36,7.18,1500,94.04,151,NULL,토크쇼,브이로그,"교육 & 커리어","일상 & 라이프스타일",NULL,엔터테인먼트
