channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UCR5qOF4XUgHTghfOUvxSMug,Chany LineDance 차니라인댄스,1mVs6le61ys,https://www.youtube.com/watch?v=1mVs6le61ys,0,8720,807,35,40,Call Me Anytime linedance/ 추억의팝송 Blondie (콜 미 애니타임)/ Choreo: Chany Jung (KOR)/ Chany Linedance,2026-01-17,아누아,Anua,2026-04-15T10:49:27.015242
UCe5Vg8vMNxCgJLpSdYN8m8A,Angel&Sue,2i01eXbvG4s,https://www.youtube.com/watch?v=2i01eXbvG4s,0,263,1200,14,0,19 January 2026,2026-01-19,아누아,Anua,2026-04-15T10:49:27.015242
UCD9Ht6f2AZWzN4nGXME4w6A,Ethel에텔 라인댄스,CnUAx1XDR9E,https://www.youtube.com/watch?v=CnUAx1XDR9E,0,14800,4282,25,1,Jazz It Up 재즈 잇 업(Demo)Count: 32 Wall: 4 Level: Improver,2026-02-04,아누아,Anua,2026-04-15T10:49:27.015242
UCMqqfRdldvD2Qwd2xyy2NjA,AgriFuture AI,D4ZHzqT7e1E,https://www.youtube.com/watch?v=D4ZHzqT7e1E,0,92400,12000,17,0,rom Manual Labor to Smart Drones: The Evolution of Oil Palm Harvesting ,2026-01-03,아누아,Anua,2026-04-15T10:49:27.015242
UCsnF8VHFIEIDpFYfRJb27uQ,CAT GAMER,ERY21ZPteKQ,https://www.youtube.com/watch?v=ERY21ZPteKQ,0,392000,95841,111,7,"1% Luck, 99% Skill: Legendary Combo ",2026-04-05,아누아,Anua,2026-04-15T10:49:27.015242
UCW3TCP1GmoC-uE-9v1YFhGQ,올리비아 뷰욬 Olivia Viewyork,ElqpFtFFAUw,https://www.youtube.com/watch?v=ElqpFtFFAUw,0,88900,14107,565,26,"맘에 쏙 드는 블랙 코트 구입하고, 맛집 카페 베이커리 갔다가 5번가 갤러리 작품과 몬치치 보고, 샤브먹고 한인마트 장보는 뉴욕 일상브이로그",2026-01-09,아누아,Anua,2026-04-15T10:49:27.015242
UCUUi4BERYA-Dh57ME2KRHfQ,임복애 라인댄스 Bokae Im Line Dance Studio,J17xSrrYsTE,https://www.youtube.com/watch?v=J17xSrrYsTE,0,9610,10000,15,6,Nothing's Gonna Change Us Line Dance Demo #beginner #구미라인댄스 #인기작품,2026-01-07,아누아,Anua,2026-04-15T10:49:27.015242
UCDnavRl81IuyYrGRFzJJRcw,YOONGOON (융군),PW8f3KhuHQk,https://www.youtube.com/watch?v=PW8f3KhuHQk,0,13400,939,5,17,FPV로 모델하우스 구석구석 어디까지 비행이 가능할까?,2026-02-22,아누아,Anua,2026-04-15T10:49:27.015242
UC4gwe2c2yXljGqbH5KibpeQ,BlossomLineDance  ⚘️블라썸라인댄스⚘️,PxLMcsDiLFI,https://www.youtube.com/watch?v=PxLMcsDiLFI,0,16700,6957,35,16,Nothing's Gonna Change Us Line dance/Beginner/블라썸이은미강사,2026-01-08,아누아,Anua,2026-04-15T10:49:27.015242
UCepUWUpH45hRTi-QePdq1Bg,Mnet TV,RaP6Hh8rRGA,https://www.youtube.com/watch?v=RaP6Hh8rRGA,0,9450000,22354,311,43,[EN][SMTM12] 팬시차일드 피처링의 진실은...?! I PASS THE MIC 'TEAM ZICO X Crush',2026-01-13,아누아,Anua,2026-04-15T10:49:27.015242
