channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",블랑네이처,NULL,NULL,7IQC7zAYnZ8,33785,689,31,5500000,2026-04-09,172.945,"인생 클렌징밀크 찾았습니다..🫧🧴국내최초 버블제형으로 세상 순하게 메이크업 같이 지워요✨"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,OyRkwfVsxYE,20088,182,36,5200000,2026-03-20,258.861,"☀️ 모닝🌙나이트루틴으로 자리잡은 자기관리 꿀템 추천 | 홍조 피부 필수 시청 | 여자,남자 탈모 | 뿌리는 바디로션 |Y존 케어 |예쁜 가슴 모양 꿀팁|메이크업 치트키|윤곽 관리"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",아누아,NULL,NULL,6ZCgi-5cf94,61000,565,33,4950000,2026-03-02,81.1475,"피부 뒤집어진 날 루틴..🌱✨"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",한율,NULL,NULL,6v6lOK4g16w,70000,611,33,4430000,2026-02-02,63.2857,"블랙헤드랑 피지 관리는 요러케..⭐️"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,9vWcLZOEGGM,64000,301,9,3500000,2025-12-09,54.6875,"귀차니즘은 이거..추천드려욥.."
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,N1i8hRaP6mE,3065,63,35,3210000,2025-10-19,1047.31,"(이벤트있음♥️) 자기관리 브이로그 | +2키로 될 수밖에 없었던..이유.. | 쫌쫌따리 일상과 연휴... | Y존 케어 일기... | 붓기 | 여자 헬스장 운동"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,T_L5eBWFJa8,61321,136,97,3180000,2025-08-27,51.8583,"(이벤트 있음❤️) 50kg➡️42kg 식단 뭐 별거 없구요... | 올영 세일 인생 추천템 | 고체 애사비 | 다이어트 보조템 추천 | 유지어터 꿀팁 | 간헐적 단식 |매크로식단"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,n5WdNzO_Aio,5065,65,23,3170000,2025-08-24,625.864,"156/42kg 자기관리 vlog | 제가 왜 3시간밖에 못 자고 다니냐면여.... | 피부 주름 관리 꿀템 | 여자 헬스장 운동 | 디톡스 주스 | 20대 영양제 추천 | 러닝"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,L6rENR9YMkI,3750,38,22,3150000,2025-08-10,840,"156/42kg 자기관리vlog | 근데 이제 호르몬을 곁들인.. N잡러 일상 | 운동, 헬스장 브이로그 | 건강식 | 괄사 마사지"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",고혼진,NULL,NULL,EXj6y-I3bzw,3795,43,16,3090000,2025-07-20,814.229,"156/42kg 자기관리 브이로그 | 혼자 생일을 보내는 어른이 되었어요🎂 | 부산 시그니엘 혼여행 | 인생 스킨케어 추천 고혼진♥️| 헬스장 운동 오션뷰 수영장 내돈내산 후기"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",약손명가,NULL,NULL,l8lg__4zq5I,4062,73,29,3090000,2025-07-13,760.709,"156/42kg 자기관리 브이로그 | 얼굴형 부기 관리  다이어트 식단 | 자이로토닉 | 여자 헬스장 운동 루틴| 메이크업 꿀팁|책추천 |클리오 봄웜 블러셔 |약손명가 리프팅 밴드"
UC_3zuiuxex4cbO76QAUgDuQ,"예은 yerendipity",NULL,NULL,NULL,q1giMT50hN8,12000,86,10,2970000,2025-06-02,247.5,"156/42kg 식단 방법!!"
