brand,brand_score,brand_rank_score,brand_related_video_score,date
123,51.74,NULL,NULL,2025-11-17
81,64.89,NULL,NULL,2025-11-17
63,40.17,NULL,NULL,2025-11-17
117,24.68,NULL,NULL,2025-11-17
46,18.12,NULL,NULL,2025-11-17
84,25.21,NULL,NULL,2025-11-17
107,40.55,NULL,NULL,2025-11-17
81,18.22,NULL,NULL,2025-11-18
84,4.55,NULL,NULL,2025-11-18
63,41.53,NULL,NULL,2025-11-18
107,10.69,NULL,NULL,2025-11-18
117,2.74,NULL,NULL,2025-11-18
123,18.26,NULL,NULL,2025-11-18
46,19.74,NULL,NULL,2025-11-18
81,17.95,NULL,NULL,2025-11-19
84,5.29,NULL,NULL,2025-11-19
107,11.22,NULL,NULL,2025-11-19
63,43.42,NULL,NULL,2025-11-19
123,18.02,NULL,NULL,2025-11-19
117,2.64,NULL,NULL,2025-11-19
46,20.33,NULL,NULL,2025-11-19
107,10.79,NULL,NULL,2025-11-20
84,5.03,NULL,NULL,2025-11-20
81,16.34,NULL,NULL,2025-11-20
63,35.28,NULL,NULL,2025-11-20
123,16.38,NULL,NULL,2025-11-20
117,1.83,NULL,NULL,2025-11-20
46,19.25,NULL,NULL,2025-11-20
84,4.79,NULL,NULL,2025-11-21
63,30.15,NULL,NULL,2025-11-21
81,14.34,NULL,NULL,2025-11-21
123,14.90,NULL,NULL,2025-11-21
107,10.15,NULL,NULL,2025-11-21
117,1.72,NULL,NULL,2025-11-21
46,16.17,NULL,NULL,2025-11-21
107,9.82,NULL,NULL,2025-11-22
81,13.95,NULL,NULL,2025-11-22
123,15.26,NULL,NULL,2025-11-22
84,4.48,NULL,NULL,2025-11-22
117,1.76,NULL,NULL,2025-11-22
63,31.56,NULL,NULL,2025-11-22
46,17.35,NULL,NULL,2025-11-22
123,14.84,NULL,NULL,2025-11-23
46,16.65,NULL,NULL,2025-11-23
63,29.94,NULL,NULL,2025-11-23
107,8.75,NULL,NULL,2025-11-23
81,13.12,NULL,NULL,2025-11-23
84,4.38,NULL,NULL,2025-11-23
117,1.77,NULL,NULL,2025-11-23
81,13.75,NULL,NULL,2025-11-24
63,28.50,NULL,NULL,2025-11-24
123,15.61,NULL,NULL,2025-11-24
107,8.85,NULL,NULL,2025-11-24
46,16.06,NULL,NULL,2025-11-24
84,3.94,NULL,NULL,2025-11-24
117,2.09,NULL,NULL,2025-11-24
46,16.79,NULL,NULL,2025-11-25
107,9.60,NULL,NULL,2025-11-25
123,14.24,NULL,NULL,2025-11-25
81,14.48,NULL,NULL,2025-11-25
63,29.28,NULL,NULL,2025-11-25
117,2.10,NULL,NULL,2025-11-25
84,5.59,NULL,NULL,2025-11-25
81,14.64,NULL,NULL,2025-11-26
123,13.80,NULL,NULL,2025-11-26
107,10.05,NULL,NULL,2025-11-26
63,29.40,NULL,NULL,2025-11-26
117,2.05,NULL,NULL,2025-11-26
46,16.63,NULL,NULL,2025-11-26
84,5.79,NULL,NULL,2025-11-26
123,13.40,NULL,NULL,2025-11-27
84,5.83,NULL,NULL,2025-11-27
107,10.88,NULL,NULL,2025-11-27
81,14.56,NULL,NULL,2025-11-27
63,24.15,NULL,NULL,2025-11-27
117,2.09,NULL,NULL,2025-11-27
46,16.42,NULL,NULL,2025-11-27
107,10.59,NULL,NULL,2025-11-28
