channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC_230L3zru61U0lsGdTEbTQ,3405,NULL,2213,5037,1.01,1.84,1.57,110,42.22,630,NULL,튜토리얼,튜토리얼,"피트니스 & 다이어트",음악,음악,"피트니스 & 다이어트"
UC_3zuiuxex4cbO76QAUgDuQ,56131,14592,10016,110869,0.9,0.95,57.33,17200,45.72,269,NULL,브이로그,브이로그,"피트니스 & 다이어트","피트니스 & 다이어트","일상 & 라이프스타일","뷰티 & 메이크업"
UC_lPYQ5ddh506aZ9CcEUIig,46012,24600,57707,2157,2.38,2.43,0,0,21.05,323,1,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","여행 & 캠핑",NULL
UC_nfaNeurFfMUU3VzB7_HTg,19767,6694,13353,21497,1.66,1.47,-2.14,-170,78.76,193,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일","뷰티 & 메이크업","패션 & 의류",엔터테인먼트
UC_nWUZnn1cRWY0jrjfEteqA,17303,NULL,39500,17128,0.83,0.83,29.1,1100,99.22,256,NULL,꿀팁,하울,"패션 & 의류","패션 & 의류",NULL,"뷰티 & 메이크업"
UC_pwIXKXNm5KGhdEVzmY60A,100627,NULL,126901,24720,1.55,4.24,0,0,25.71,5608,31,음악,음악,음악,음악,NULL,NULL
UC_qR5dTURwq7AHFPuDYJx9Q,2013,NULL,2047,2012,0.59,1.22,35677.8,3211,28.2,305,NULL,튜토리얼,"예능형 콘텐츠","레저 & 스포츠","피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠"
UC_uyxB9i4J9O5atc_2fBKww,13684,12194,19485,2440,1.12,0.61,8.05,14000,34.03,382,NULL,인터뷰,토크,"주식 & 투자","경제 & 경영","일상 & 라이프스타일","주식 & 투자"
UC_xVzJW2DD6aIYxa_cGXCOA,138806,5538,56946,165908,0.41,0.26,20.38,6400,75.13,197,NULL,튜토리얼,꿀팁,"의료 & 건강","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강"
UC-74flATChsfPVo7WM4xpMQ,2980,NULL,3371,2629,4.79,5.31,-0.41,-100,52.7,74,NULL,강의,토크,"사회 & 이슈","사회 & 이슈","뉴스 & 정치",종교
UC-9tEUgXULUgnhlKxmH0HpA,134719,NULL,7994,167958,1.15,0.75,96.7,4100,79.22,77,NULL,브이로그,브이로그,"음식 & 음료","일상 & 라이프스타일","일상 & 라이프스타일","패션 & 의류"
UC-aY7cJOhIVf2XP5Ifwc7ZA,26800,NULL,NULL,26800,NULL,NULL,19.64,770,100,98,NULL,NULL,"리뷰 & 언박싱",NULL,"음식 & 음료",NULL,"여행 & 캠핑"
UC-G-e3hGQ0u9ZHlHO8wTBqw,15178,2608,10860,29201,0.36,1.62,0,0,24.26,408,NULL,자동차,자동차,자동차,자동차,게임,게임
UC-kb6tfft4ep1uublxTqjjw,52964,18501,8351,59458,1.17,1.07,16.03,4200,87.29,1511,NULL,NULL,음악,NULL,음악,NULL,NULL
UC-l8pWSJf-f68dpPPqrU25g,501925,258641,NULL,501925,NULL,NULL,79.85,21400,100,169,NULL,NULL,코미디,NULL,코미디,NULL,NULL
UC-lIJmry-TNv24qeDhpuJIA,155842,NULL,250901,60784,0.05,4.09,NULL,NULL,50,60,NULL,NULL,"리뷰 & 언박싱",NULL,"일상 & 라이프스타일",NULL,"패션 & 의류"
