channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,bz8GZNqna0s,https://www.youtube.com/watch?v=bz8GZNqna0s,0,40000,6199,208,103,🎁 메콥 너무 예쁘던ㄷㅔ요 ꔛ♡˒˒ 트와이스 사나 추구미 메이크업 속쌍무쌍 ver..ㅣ4만명 기념 구독자 애칭 정하기 !ㅣgrwmㅣ가을스런,2025. 11. 22,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCW67yGQxNNMnLqRHyaTjygA,Hong's MakeuPlay 홍이모,sHaXoT08nSE,https://www.youtube.com/watch?v=sHaXoT08nSE,0,375000,62000,523,18,🍒블랙 체리 메이크업 반쪽으로 알아보기‼️ #kbeauty #홍이모 #makeuptutorial,2025. 11. 23,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCGW59n1GYcL-Mc0zUoSzYpA,뽀용 은비쌤,XEZ0PJ1Z-Z4,https://www.youtube.com/watch?v=XEZ0PJ1Z-Z4,0,14400,3339,43,14,은비쌤이 추천하는 쿨톤 핑크 블러셔/치크 뽀용 핑크 메이크업 치트키🩷,2025. 11. 25,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCWTOQatW8G1HZtp1FfmlTdQ,Chaewon Kim 채원,D9XgALWx7W8,https://www.youtube.com/watch?v=D9XgALWx7W8,0,3020,907,8,0,cherry lips makeup for the upcoming holidays🍒💋✨,2025. 11. 25,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCn_fZLXut_Tj9-QihG_9l0g,안다 ANDA,8qgobP7Ff30,https://www.youtube.com/watch?v=8qgobP7Ff30,0,1520000,86550,2088,1452,한달동안 모은 시딩깡📦 신상템 뜯으면서 같이 겨울메이크업하기☃️❄️ | 시딩 랜덤박스 이벤트🎁,2025. 11. 25,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCGW59n1GYcL-Mc0zUoSzYpA,뽀용 은비쌤,nZDzAN5S2Bc,https://www.youtube.com/watch?v=nZDzAN5S2Bc,0,14400,3800,19,0,그레이스모키 메콥🖤,2025. 11. 25,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCrK-BInkhcGogiBoG682DEA,하나HANA,4c6jcKtzgSI,https://www.youtube.com/watch?v=4c6jcKtzgSI,0,166000,100018,1575,79,겨쿨이 제대로 말아주는🖤겨울쿨톤 메이크업 +눈밑지 후기,2025. 11. 26,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCjfKJKrYBEMEm7s0BHWXfbQ,라라린 lalalyn,OFPge24aUMs,https://www.youtube.com/watch?v=OFPge24aUMs,0,2330,7700,42,1,뉴트럴·웜톤 구운 블러셔 추천🍠♨️｜가을·겨울 립이랑 찰떡 조합 #shorts,2025. 11. 26,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,lM-uir8x2AQ,https://www.youtube.com/watch?v=lM-uir8x2AQ,0,40100,12634,182,36,겨울준비ꔛ❄️˒˒올리브영 세일에 꼭! 사야할 것📘(핑잘봄 블러셔♡하이라이터ㅣ트러블 커버 고민삭제템ㅣ요즘 쓰는 노글루 속눈썹ㅣ신상 색조템ㅣ올영 다이어트 푸드 추천) 가을스런,2025. 11. 29,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
UC3d_8LhMCYir5GUu5_B3J5Q,수앤유 Sooandyou,OkcsoGAedWI,https://www.youtube.com/watch?v=OkcsoGAedWI,1,94900,44536,592,199,🤩올해 마지막 올영세일 !!! 올영 VVIP 찐코덕의 추천템 말아옴🤍,2025. 11. 30,릴리바이레드,lilybyred,2026. 3. 10 오후 1:00:45
