channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UC_FeFXisROV48LEXS6RvhDA,박여름,빌리프,NULL,NULL,xrPwW-vOiLk,668,0,43,1460000,2026-02-09,2185.63,"이달의 애착템｜1~2월 손이 많이가는 페이보릿✨ (겨울 필수템,30대 홈케어디바이스,빌리프 수분크림,로에 향수)+구독자이벤트🎁"
UC_FeFXisROV48LEXS6RvhDA,박여름,라노아,NULL,NULL,E8ybMlvFvRY,762,0,4,1440000,2025-12-19,1889.76,"2025 겨울 생존 스킨케어 루틴 ☃️수분 장벽 무너지기 전! (클렌징 추천 , 화잘먹 스킨케어 ,겨울철 홈케어) + 구독자이벤트🎁"
UC_FeFXisROV48LEXS6RvhDA,박여름,러븀,NULL,NULL,86nG2HqbRp0,620,0,2,1440000,2025-11-29,2322.58,"시간이 없다‼️잠자는 동안 피부컨디션 끌어올릴 수 있는 올영세일 추천 광채폭발 인생템😴🔼"
UC_FeFXisROV48LEXS6RvhDA,박여름,리얼베리어,NULL,NULL,KwO_G6Ckf5c,1743,0,43,1440000,2025-11-28,826.162,"올영 VIP가 추천하는 17종 추천템💸 ‼️ 품절대란템,겨울크림추천, 저자극클렌저 , N번째추천템 등등 +구독자이벤트🎁"
UC_FeFXisROV48LEXS6RvhDA,박여름,토니모리,NULL,NULL,TlcTel_WpTg,2400,0,0,1440000,2025-11-12,600,"토니모리 기둥템‼️ 겟잇 틴트 워터풀 시럽 주토피아 콜라보 나옴💕 #올리브영틴트 #토니모리틴트"
UC_FeFXisROV48LEXS6RvhDA,박여름,바이탈뷰티,VT,더샘,wcExUhWa7Jc,3100,0,1,1420000,2025-08-29,458.065,"9월 올영세일 추천템 추천✨️기획세트 구성 좋은데🩷⁉️ #올영세일 #올영추천템"
UC_FeFXisROV48LEXS6RvhDA,박여름,NULL,NULL,NULL,Uvh9NsylNwQ,3300,0,0,1420000,2025-08-19,430.303,"단돈 3천원으로 PDRN 홈케어 가능⁉️ 다이소 홈케어 꿀팁🍯 #브이티피디알엔 #다이소뷰티"
UC_FeFXisROV48LEXS6RvhDA,박여름,메디힐,NULL,NULL,GQnz_YXY2hQ,505,0,9,1410000,2025-07-03,2792.08,"심장이 두근거리는 요즘❤️‍🔥 일본하울을 곁들인 GRWM (모공PDRN세럼 ,엣코스메 인기템 , 에뛰드 산리오 콜라보💕 )"
UC_FeFXisROV48LEXS6RvhDA,박여름,코스노리,라네즈,마녀공장,pqVmMIJKn0c,3175,0,41,1390000,2025-05-30,437.795,"6월 올영세일  추천템 💸16개 리뷰 ‼️ 올영1등템 , 여름쿠션추천 , 봄웜추천틴트 , 화잘먹로션 , 태닝키티 + 구독자이벤트🎁"
UC_FeFXisROV48LEXS6RvhDA,박여름,더샘,NULL,NULL,9wAq37XOK3s,8300,0,1,650000,2025-04-22,78.3133,"와우‼️이게...되네🫢⁉️트러블 피부 +멍을  싹 가려보자 커버맛집 더샘 펜 컨실러로 깔끔하게 가려보자 #컨실러추천"
