brand_logo_id,brand_name_kr,brand_name_en,brand_videos,avg_views,one_month,topic,related_brands
18,라보에이치,"Labo H",212,109422,2,"뷰티 & 메이크업",NULL
30,올리브영,Oliveyoung,141,594668,NULL,"뷰티 & 메이크업","딜라이트 프로젝트,  탄탄"
32,셀리맥스,Celimax,472,210377,9,"뷰티 & 메이크업","시카지우개패드,  노니앰플,  레티날샷"
46,달바,Dalba,1407,87586,9,"뷰티 & 메이크업",비거너리
63,이니스프리,Innisfree,842,55560,13,"뷰티 & 메이크업",그린펫클럽
65,라끄시안,라끄시안,4,921214,NULL,"뷰티 & 메이크업",NULL
75,스킨푸드,"Skin Food",435,163306,1,"뷰티 & 메이크업",당근패드
76,마녀공장,ma:nyo,464,114423,1,"뷰티 & 메이크업","아워비건,  비피다"
79,에스트라,AESTURA,401,106878,36,"뷰티 & 메이크업",에이시카
80,라네즈,LANEIGE,498,91921,20,"뷰티 & 메이크업",NULL
81,에뛰드,"Etude House",636,75544,94,"뷰티 & 메이크업",뷰티즌
83,데이지크,dasique,239,74990,NULL,"뷰티 & 메이크업",NULL
84,클리오,CLIO,567,95762,1,"뷰티 & 메이크업",트윙클팝
95,바이탈뷰티,VitalBeautie,540,48176,24,"뷰티 & 메이크업","메타그린, 슈퍼콜라겐, 아모레퍼시픽바이탈뷰티, 슈퍼레티놀"
98,바이오힐보,"bio heal boh",505,37562,7,"뷰티 & 메이크업",NULL
100,닥터지,Dr.G,326,128893,2,"뷰티 & 메이크업",랩잇포어
102,스킨앤랩,skin&lab,88,66011,5,"뷰티 & 메이크업",NULL
103,웨이크메이크,wakemake,379,88440,2,"뷰티 & 메이크업",NULL
104,구달,goodal,400,108062,1,"뷰티 & 메이크업",NULL
106,미쟝센,mise-en-scène,151,201224,1,"뷰티 & 메이크업","MISEENSCENE, 이너플렉스"
107,메디힐,mediheal,1062,86743,44,"뷰티 & 메이크업",NULL
108,힐링버드,"healing bird",140,123637,1,"뷰티 & 메이크업",NULL
109,라운드랩,"round lab",305,98040,11,"뷰티 & 메이크업",NULL
112,LG생활건강,LG생활건강,321,103164,5,"뷰티 & 메이크업","유시몰, 홈스타,  펫패밀리,  리치 치약,  피지 세제,  46cm, 리엔"
115,닥터포헤어,Dr.ForHair,182,143961,8,"뷰티 & 메이크업",폴리젠
116,토리든,Torriden,318,80174,5,"뷰티 & 메이크업",NULL
117,에스쁘아,espoir,291,162127,4,"뷰티 & 메이크업",NULL
118,수이스킨,suiskin,24,102912,NULL,"뷰티 & 메이크업",NULL
119,설화수,Sulwhasoo,136,138676,4,"뷰티 & 메이크업",NULL
120,하킷,hakit,17,172195,NULL,"뷰티 & 메이크업",NULL
125,아모레퍼시픽,Amorepacific,195,109030,6,"뷰티 & 메이크업",구딸파리
130,밀크터치,"Milk Touch",66,111523,5,"뷰티 & 메이크업",NULL
133,라보페,Labope,35,90600,NULL,"뷰티 & 메이크업",NULL
142,비레디,"Be Ready",224,172520,12,"뷰티 & 메이크업",NULL
145,랑콤,Lancome,37,212235,1,"뷰티 & 메이크업",NULL
151,루나,Luna,131,59456,1,"뷰티 & 메이크업",투에딧
152,가히,kahi,81,213481,1,"뷰티 & 메이크업",NULL
161,바르다,브랜드네임정확성확인,4,500038,NULL,"뷰티 & 메이크업",NULL
162,파파레서피,paparecipe,37,134931,NULL,"뷰티 & 메이크업",NULL
168,비플레인,Beplain,452,46893,17,"뷰티 & 메이크업",NULL
173,더바디샵,"The Body Shop",28,50850,NULL,"뷰티 & 메이크업",NULL
180,마이오마이,"Mai Ohw Mai",37,522891,NULL,"뷰티 & 메이크업",NULL
184,비알머드,brmud,29,225015,NULL,"뷰티 & 메이크업",NULL
187,줄라이미,Julyme,12,279924,NULL,"뷰티 & 메이크업",NULL
190,키엘,Kiehl's,163,257101,2,"뷰티 & 메이크업",NULL
196,와이티디,y.td,4,316482,NULL,"뷰티 & 메이크업",NULL
225,다슈,Dashu,82,59901,NULL,"뷰티 & 메이크업",NULL
228,도브,Dove,56,164224,NULL,"뷰티 & 메이크업",베이비도브
237,얼루어,Allure,272,5718,NULL,"뷰티 & 메이크업",NULL
238,잇츠스킨,"It's skin",211,48506,NULL,"뷰티 & 메이크업",NULL
239,페리페라,Peripera,362,137083,7,"뷰티 & 메이크업",심플레인
240,벤튼,Benton,105,58721,1,"뷰티 & 메이크업",NULL
246,필리밀리,Fillimilli,146,96210,6,"뷰티 & 메이크업",NULL
254,AHC,AHC,202,103159,1,"뷰티 & 메이크업",NULL
255,샬롯틸버리,"Charlotte Tilbury",24,63391,NULL,"뷰티 & 메이크업",NULL
258,컬러그램,Colorgram,126,93869,NULL,"뷰티 & 메이크업",NULL
260,이자녹스,Isaknox,45,59823,2,"뷰티 & 메이크업",NULL
271,더마토리,Dermatory,343,108953,9,"뷰티 & 메이크업",NULL
276,바슈롬,Bauschlomb,9,48637,NULL,"뷰티 & 메이크업",NULL
278,딘토,Dinto,67,71396,1,"뷰티 & 메이크업",NULL
283,썸블라썸,Someblossom,9,347460,NULL,"뷰티 & 메이크업",NULL
287,오늘습관,"Daily Habit",7,60704,NULL,"뷰티 & 메이크업",NULL
293,키스미,Kissme,25,86538,NULL,"뷰티 & 메이크업",히로인메이크
299,포레오,Foreo,113,188230,NULL,"뷰티 & 메이크업",NULL
301,베르뷔,Verrvui,3,2110,NULL,"뷰티 & 메이크업",NULL
302,트리셀,Treecell,36,103004,NULL,"뷰티 & 메이크업",NULL
314,바닐라코,"Banila co.",350,67250,18,"뷰티 & 메이크업",클린잇제로
318,플란투어21,Plantur21,5,534239,NULL,"뷰티 & 메이크업",NULL
320,성분에디터,"Sungboon Editor",152,71143,5,"뷰티 & 메이크업",그린토마토
321,아비브,Abib,605,85779,22,"뷰티 & 메이크업",NULL
322,랩코스,Labcos,9,26109,NULL,"뷰티 & 메이크업",NULL
323,씨지스킨,"Sigi Skin",5,611963,NULL,"뷰티 & 메이크업",NULL
328,퓌,Fwee,275,105121,1,"뷰티 & 메이크업",NULL
333,라씨엘르,Lassie'el,10,68329,NULL,"뷰티 & 메이크업",NULL
341,트리폴라,"Tri Pollar",16,6866,5,"뷰티 & 메이크업",NULL
342,투쿨포스쿨,"Too Cool For School",233,37976,19,"뷰티 & 메이크업",TAG
345,산타마리아노벨라,"Santa Maria Nobella",4,71536,NULL,"뷰티 & 메이크업",NULL
346,츠바키,Tsubaki,28,83747,NULL,"뷰티 & 메이크업",NULL
348,메이크프렘,"Make Prem",388,24296,1,"뷰티 & 메이크업",NULL
352,닥터올가,Dr.Orga,14,103810,NULL,"뷰티 & 메이크업",NULL
353,VDL,VDL,94,59245,3,"뷰티 & 메이크업","VDL, 브이디엘"
354,씨케이디게런티드,"CKD gueranteed",85,46042,6,"뷰티 & 메이크업","락토덤, 종근당건강, 지엘핏"
371,편강율,"Pyunkang Yul",52,25397,NULL,"뷰티 & 메이크업",NULL
385,까탈릭,Catalic,4,27264,NULL,"뷰티 & 메이크업",NULL
422,데코르테,Decorte,7,116119,NULL,"뷰티 & 메이크업",NULL
447,노베브,Nobev,26,90311,NULL,"뷰티 & 메이크업",NULL
