channel_id,F13_17,F18_24,F25_34,F35_44,F45_54,F55_64,F65,M13_17,M18_24,M25_34,M35_44,M45_54,M55_64,M65
UC_FeFXisROV48LEXS6RvhDA,6,35,25,10,6,3,2,1,5,4,2,1,0,0
UC_gu0ahtQ9UeCWdUs9gvRJg,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UC-LTjVZL9Nt2zVTSEmI2dUw,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UC-ZclTqKP-bjQ3V2xDitIXQ,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UC00DJ04oplqj4IUUB5vSwZw,6,33,22,10,4,2,1,1,6,9,4,2,1,1
UC02dW_TcaDwkpUuXERrxBUg,8,36,26,10,5,2,1,1,4,4,2,1,0,0
UC0awE5h5rIOFh52li-lZObg,10,34,23,8,4,1,0,2,7,5,3,3,1,0
UC0mgvMTTx7fnq2DOkpcli6w,6,35,26,9,4,2,1,1,5,5,3,2,1,0
UC1302hnzriUhic-iMjI_GRg,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UC1EF4_0XfxjY6yFDwGi6BVA,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UC1j2j98SLGsj8J1lx_CahwQ,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UC1ZhBh-iwdIFgnGemfm8ODQ,8,35,21,8,4,2,1,2,8,5,3,2,1,0
UC2aYpXkq95-CGZfVsMRX-ww,6,24,20,12,8,3,2,2,8,6,4,3,1,1
UC2qz_dTtF_Z1Ef1NtvcpW3w,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UC30j37FNLZvJy1LHiQed9lw,5,28,22,14,9,4,2,1,5,4,3,2,1,0
UC31Pd2I6-D-Vp4QaCg_KF0g,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UC3d_8LhMCYir5GUu5_B3J5Q,5,28,25,8,4,1,0,2,9,9,4,3,2,0
UC3EnbFx6mBs2QPJ_BYqQm6g,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UC3jkPgokuuC2Djm2cFD-Uww,6,34,25,8,4,2,1,1,6,6,4,2,1,0
UC3ZQbE9FKR8TwHYqTNcIXQQ,6,34,24,7,3,1,1,2,7,8,4,2,1,1
UC43EFvC4FNZD9ZAcWq3k2eA,4,24,26,12,9,4,2,1,6,6,3,2,1,0
UC4BdKEDX_xn5xg5fhghp08w,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UC4JtVFtfTFEXdgLil-v0Fgg,4,17,16,14,9,4,2,2,9,8,7,5,2,1
UC4KLJvmz3tYzG4W7hL3Jx1Q,6,34,26,9,4,2,1,1,6,5,3,2,1,0
UC4Si4YUQMK2c3QhmP7lDY2A,6,35,26,11,6,3,1,1,4,4,2,1,0,0
UC4wzDI8tetWUqPUoMQJSNrQ,8,35,25,10,6,2,1,1,5,4,2,1,0,0
UC4Z-_an4FmdRx0NPJ5l6TyQ,4,25,27,14,10,4,2,1,4,4,2,2,1,0
UC57_jVZTM427hTqYMXf7utA,5,31,23,7,4,1,1,2,8,9,4,2,2,0
