brand,brand_score,brand_rank_score,brand_related_video_score,date
836,18.16,NULL,NULL,2025-11-17
81,64.89,NULL,NULL,2025-11-17
314,30.29,NULL,NULL,2025-11-17
103,51.49,NULL,NULL,2025-11-17
63,40.17,NULL,NULL,2025-11-17
117,24.68,NULL,NULL,2025-11-17
328,43.45,NULL,NULL,2025-11-17
83,55.16,NULL,NULL,2025-11-17
46,18.12,NULL,NULL,2025-11-17
84,25.21,NULL,NULL,2025-11-17
107,40.55,NULL,NULL,2025-11-17
978,31.05,NULL,NULL,2025-11-17
83,12.28,NULL,NULL,2025-11-18
81,18.22,NULL,NULL,2025-11-18
84,4.55,NULL,NULL,2025-11-18
103,41.56,NULL,NULL,2025-11-18
314,7.88,NULL,NULL,2025-11-18
63,41.53,NULL,NULL,2025-11-18
107,10.69,NULL,NULL,2025-11-18
117,2.74,NULL,NULL,2025-11-18
328,13.15,NULL,NULL,2025-11-18
836,0.03,NULL,NULL,2025-11-18
46,19.74,NULL,NULL,2025-11-18
978,0.03,NULL,NULL,2025-11-18
81,17.95,NULL,NULL,2025-11-19
84,5.29,NULL,NULL,2025-11-19
103,45.53,NULL,NULL,2025-11-19
107,11.22,NULL,NULL,2025-11-19
63,43.42,NULL,NULL,2025-11-19
314,8.09,NULL,NULL,2025-11-19
83,12.49,NULL,NULL,2025-11-19
836,0.03,NULL,NULL,2025-11-19
117,2.64,NULL,NULL,2025-11-19
328,13.18,NULL,NULL,2025-11-19
978,0.03,NULL,NULL,2025-11-19
46,20.33,NULL,NULL,2025-11-19
107,10.79,NULL,NULL,2025-11-20
103,46.00,NULL,NULL,2025-11-20
83,10.95,NULL,NULL,2025-11-20
978,0.03,NULL,NULL,2025-11-20
314,7.59,NULL,NULL,2025-11-20
84,5.03,NULL,NULL,2025-11-20
81,16.34,NULL,NULL,2025-11-20
63,35.28,NULL,NULL,2025-11-20
117,1.83,NULL,NULL,2025-11-20
328,12.26,NULL,NULL,2025-11-20
46,19.25,NULL,NULL,2025-11-20
836,0.03,NULL,NULL,2025-11-20
978,0.03,NULL,NULL,2025-11-21
103,42.12,NULL,NULL,2025-11-21
84,4.79,NULL,NULL,2025-11-21
83,9.68,NULL,NULL,2025-11-21
314,6.88,NULL,NULL,2025-11-21
63,30.15,NULL,NULL,2025-11-21
81,14.34,NULL,NULL,2025-11-21
836,0.03,NULL,NULL,2025-11-21
107,10.15,NULL,NULL,2025-11-21
328,11.98,NULL,NULL,2025-11-21
117,1.72,NULL,NULL,2025-11-21
46,16.17,NULL,NULL,2025-11-21
103,40.67,NULL,NULL,2025-11-22
83,8.86,NULL,NULL,2025-11-22
107,9.82,NULL,NULL,2025-11-22
81,13.95,NULL,NULL,2025-11-22
328,11.61,NULL,NULL,2025-11-22
84,4.48,NULL,NULL,2025-11-22
117,1.76,NULL,NULL,2025-11-22
836,0.02,NULL,NULL,2025-11-22
63,31.56,NULL,NULL,2025-11-22
314,6.69,NULL,NULL,2025-11-22
978,0.02,NULL,NULL,2025-11-22
46,17.35,NULL,NULL,2025-11-22
103,37.46,NULL,NULL,2025-11-23
46,16.65,NULL,NULL,2025-11-23
83,8.56,NULL,NULL,2025-11-23
63,29.94,NULL,NULL,2025-11-23
107,8.75,NULL,NULL,2025-11-23
81,13.12,NULL,NULL,2025-11-23
978,0.02,NULL,NULL,2025-11-23
328,10.88,NULL,NULL,2025-11-23
836,0.02,NULL,NULL,2025-11-23
84,4.38,NULL,NULL,2025-11-23
314,6.62,NULL,NULL,2025-11-23
117,1.77,NULL,NULL,2025-11-23
83,8.67,NULL,NULL,2025-11-24
103,35.35,NULL,NULL,2025-11-24
81,13.75,NULL,NULL,2025-11-24
836,0.02,NULL,NULL,2025-11-24
328,10.66,NULL,NULL,2025-11-24
63,28.50,NULL,NULL,2025-11-24
107,8.85,NULL,NULL,2025-11-24
46,16.06,NULL,NULL,2025-11-24
314,4.70,NULL,NULL,2025-11-24
978,0.02,NULL,NULL,2025-11-24
84,3.94,NULL,NULL,2025-11-24
117,2.09,NULL,NULL,2025-11-24
83,9.07,NULL,NULL,2025-11-25
314,4.06,NULL,NULL,2025-11-25
46,16.79,NULL,NULL,2025-11-25
107,9.60,NULL,NULL,2025-11-25
103,31.70,NULL,NULL,2025-11-25
81,14.48,NULL,NULL,2025-11-25
63,29.28,NULL,NULL,2025-11-25
836,0.02,NULL,NULL,2025-11-25
117,2.10,NULL,NULL,2025-11-25
328,10.52,NULL,NULL,2025-11-25
84,5.59,NULL,NULL,2025-11-25
978,0.02,NULL,NULL,2025-11-25
83,9.39,NULL,NULL,2025-11-26
103,32.17,NULL,NULL,2025-11-26
81,14.64,NULL,NULL,2025-11-26
836,0.00,NULL,NULL,2025-11-26
328,10.58,NULL,NULL,2025-11-26
107,10.05,NULL,NULL,2025-11-26
63,29.40,NULL,NULL,2025-11-26
117,2.05,NULL,NULL,2025-11-26
978,0.00,NULL,NULL,2025-11-26
46,16.63,NULL,NULL,2025-11-26
314,3.46,NULL,NULL,2025-11-26
84,5.79,NULL,NULL,2025-11-26
83,9.42,NULL,NULL,2025-11-27
836,0.00,NULL,NULL,2025-11-27
103,32.40,NULL,NULL,2025-11-27
84,5.83,NULL,NULL,2025-11-27
328,10.97,NULL,NULL,2025-11-27
107,10.88,NULL,NULL,2025-11-27
81,14.56,NULL,NULL,2025-11-27
314,3.46,NULL,NULL,2025-11-27
63,24.15,NULL,NULL,2025-11-27
978,0.00,NULL,NULL,2025-11-27
117,2.09,NULL,NULL,2025-11-27
46,16.42,NULL,NULL,2025-11-27
107,10.59,NULL,NULL,2025-11-28
63,24.18,NULL,NULL,2025-11-28
83,9.50,NULL,NULL,2025-11-28
81,14.12,NULL,NULL,2025-11-28
84,5.01,NULL,NULL,2025-11-28
103,32.69,NULL,NULL,2025-11-28
314,3.48,NULL,NULL,2025-11-28
328,0.00,NULL,NULL,2025-11-28
117,2.04,NULL,NULL,2025-11-28
836,0.00,NULL,NULL,2025-11-28
978,0.00,NULL,NULL,2025-11-28
46,15.06,NULL,NULL,2025-11-28
81,13.34,NULL,NULL,2025-11-29
83,9.38,NULL,NULL,2025-11-29
328,0.00,NULL,NULL,2025-11-29
103,32.04,NULL,NULL,2025-11-29
84,5.07,NULL,NULL,2025-11-29
836,1.77,NULL,NULL,2025-11-29
978,0.00,NULL,NULL,2025-11-29
107,11.54,NULL,NULL,2025-11-29
63,23.89,NULL,NULL,2025-11-29
117,1.97,NULL,NULL,2025-11-29
314,3.94,NULL,NULL,2025-11-29
46,15.45,NULL,NULL,2025-11-29
83,9.87,NULL,NULL,2025-11-30
103,32.02,NULL,NULL,2025-11-30
328,0.00,NULL,NULL,2025-11-30
63,17.19,NULL,NULL,2025-11-30
84,5.06,NULL,NULL,2025-11-30
107,10.46,NULL,NULL,2025-11-30
836,1.73,NULL,NULL,2025-11-30
314,3.25,NULL,NULL,2025-11-30
117,1.94,NULL,NULL,2025-11-30
978,0.00,NULL,NULL,2025-11-30
81,12.73,NULL,NULL,2025-11-30
46,16.49,NULL,NULL,2025-11-30
83,10.98,NULL,NULL,2025-12-01
836,1.68,NULL,NULL,2025-12-01
103,30.97,NULL,NULL,2025-12-01
107,8.79,NULL,NULL,2025-12-01
63,12.09,NULL,NULL,2025-12-01
84,6.63,NULL,NULL,2025-12-01
117,2.02,NULL,NULL,2025-12-01
81,12.79,NULL,NULL,2025-12-01
328,0.00,NULL,NULL,2025-12-01
978,0.00,NULL,NULL,2025-12-01
46,16.30,NULL,NULL,2025-12-01
314,3.25,NULL,NULL,2025-12-01
103,33.57,NULL,NULL,2025-12-02
46,16.56,NULL,NULL,2025-12-02
83,11.79,NULL,NULL,2025-12-02
81,12.76,NULL,NULL,2025-12-02
107,8.53,NULL,NULL,2025-12-02
117,2.09,NULL,NULL,2025-12-02
84,5.66,NULL,NULL,2025-12-02
328,0.00,NULL,NULL,2025-12-02
836,1.34,NULL,NULL,2025-12-02
314,3.72,NULL,NULL,2025-12-02
63,12.39,NULL,NULL,2025-12-02
978,0.00,NULL,NULL,2025-12-02
107,8.49,NULL,NULL,2025-12-03
836,1.37,NULL,NULL,2025-12-03
81,12.29,NULL,NULL,2025-12-03
103,34.50,NULL,NULL,2025-12-03
83,12.15,NULL,NULL,2025-12-03
63,12.29,NULL,NULL,2025-12-03
84,6.10,NULL,NULL,2025-12-03
117,2.10,NULL,NULL,2025-12-03
978,0.00,NULL,NULL,2025-12-03
328,0.00,NULL,NULL,2025-12-03
314,3.79,NULL,NULL,2025-12-03
46,16.79,NULL,NULL,2025-12-03
103,34.27,NULL,NULL,2025-12-04
81,12.14,NULL,NULL,2025-12-04
107,9.22,NULL,NULL,2025-12-04
83,12.15,NULL,NULL,2025-12-04
117,2.12,NULL,NULL,2025-12-04
63,12.98,NULL,NULL,2025-12-04
836,1.40,NULL,NULL,2025-12-04
84,6.41,NULL,NULL,2025-12-04
328,0.00,NULL,NULL,2025-12-04
978,0.00,NULL,NULL,2025-12-04
46,16.38,NULL,NULL,2025-12-04
314,3.86,NULL,NULL,2025-12-04
107,8.97,NULL,NULL,2025-12-05
83,11.05,NULL,NULL,2025-12-05
81,12.91,NULL,NULL,2025-12-05
103,35.21,NULL,NULL,2025-12-05
63,13.73,NULL,NULL,2025-12-05
314,4.48,NULL,NULL,2025-12-05
84,5.72,NULL,NULL,2025-12-05
836,1.39,NULL,NULL,2025-12-05
328,0.00,NULL,NULL,2025-12-05
46,16.37,NULL,NULL,2025-12-05
117,2.06,NULL,NULL,2025-12-05
978,0.00,NULL,NULL,2025-12-05
103,36.01,NULL,NULL,2025-12-06
81,14.37,NULL,NULL,2025-12-06
63,8.49,NULL,NULL,2025-12-06
107,10.60,NULL,NULL,2025-12-06
314,4.02,NULL,NULL,2025-12-06
83,11.12,NULL,NULL,2025-12-06
84,7.80,NULL,NULL,2025-12-06
328,0.00,NULL,NULL,2025-12-06
836,1.68,NULL,NULL,2025-12-06
46,16.10,NULL,NULL,2025-12-06
117,2.22,NULL,NULL,2025-12-06
978,0.00,NULL,NULL,2025-12-06
83,11.14,NULL,NULL,2025-12-07
81,13.70,NULL,NULL,2025-12-07
63,8.72,NULL,NULL,2025-12-07
978,0.00,NULL,NULL,2025-12-07
107,10.78,NULL,NULL,2025-12-07
103,35.47,NULL,NULL,2025-12-07
836,1.64,NULL,NULL,2025-12-07
46,15.81,NULL,NULL,2025-12-07
328,0.00,NULL,NULL,2025-12-07
84,7.25,NULL,NULL,2025-12-07
314,4.57,NULL,NULL,2025-12-07
117,2.11,NULL,NULL,2025-12-07
314,4.66,NULL,NULL,2025-12-08
103,34.72,NULL,NULL,2025-12-08
83,10.79,NULL,NULL,2025-12-08
107,9.68,NULL,NULL,2025-12-08
328,0.25,NULL,NULL,2025-12-08
63,9.18,NULL,NULL,2025-12-08
84,6.85,NULL,NULL,2025-12-08
81,14.06,NULL,NULL,2025-12-08
836,1.61,NULL,NULL,2025-12-08
978,0.00,NULL,NULL,2025-12-08
46,15.69,NULL,NULL,2025-12-08
117,4.57,NULL,NULL,2025-12-08
103,32.35,NULL,NULL,2025-12-09
46,15.68,NULL,NULL,2025-12-09
63,8.99,NULL,NULL,2025-12-09
328,0.29,NULL,NULL,2025-12-09
83,10.69,NULL,NULL,2025-12-09
81,14.10,NULL,NULL,2025-12-09
84,8.43,NULL,NULL,2025-12-09
836,1.58,NULL,NULL,2025-12-09
107,9.00,NULL,NULL,2025-12-09
978,0.00,NULL,NULL,2025-12-09
314,4.61,NULL,NULL,2025-12-09
117,4.25,NULL,NULL,2025-12-09
103,30.84,NULL,NULL,2025-12-10
328,0.33,NULL,NULL,2025-12-10
83,10.47,NULL,NULL,2025-12-10
107,8.87,NULL,NULL,2025-12-10
81,14.24,NULL,NULL,2025-12-10
63,9.64,NULL,NULL,2025-12-10
84,7.89,NULL,NULL,2025-12-10
978,0.00,NULL,NULL,2025-12-10
836,1.63,NULL,NULL,2025-12-10
314,4.07,NULL,NULL,2025-12-10
117,4.38,NULL,NULL,2025-12-10
46,5.28,NULL,NULL,2025-12-10
83,10.80,NULL,NULL,2025-12-11
84,7.05,NULL,NULL,2025-12-11
103,33.49,NULL,NULL,2025-12-11
836,1.71,NULL,NULL,2025-12-11
314,4.24,NULL,NULL,2025-12-11
107,9.23,NULL,NULL,2025-12-11
81,13.84,NULL,NULL,2025-12-11
63,10.40,NULL,NULL,2025-12-11
117,3.99,NULL,NULL,2025-12-11
46,5.36,NULL,NULL,2025-12-11
328,0.36,NULL,NULL,2025-12-11
978,0.00,NULL,NULL,2025-12-11
103,29.91,NULL,NULL,2025-12-12
81,13.47,NULL,NULL,2025-12-12
83,9.85,NULL,NULL,2025-12-12
84,6.03,NULL,NULL,2025-12-12
63,10.28,NULL,NULL,2025-12-12
978,0.00,NULL,NULL,2025-12-12
314,3.81,NULL,NULL,2025-12-12
107,8.13,NULL,NULL,2025-12-12
328,0.38,NULL,NULL,2025-12-12
836,1.53,NULL,NULL,2025-12-12
117,3.99,NULL,NULL,2025-12-12
46,4.77,NULL,NULL,2025-12-12
836,1.45,NULL,NULL,2025-12-13
103,31.38,NULL,NULL,2025-12-13
117,4.59,NULL,NULL,2025-12-13
107,8.61,NULL,NULL,2025-12-13
83,9.96,NULL,NULL,2025-12-13
63,9.59,NULL,NULL,2025-12-13
81,13.48,NULL,NULL,2025-12-13
314,3.19,NULL,NULL,2025-12-13
84,6.44,NULL,NULL,2025-12-13
328,0.39,NULL,NULL,2025-12-13
46,4.82,NULL,NULL,2025-12-13
978,0.00,NULL,NULL,2025-12-13
117,6.27,NULL,NULL,2025-12-14
103,45.61,NULL,NULL,2025-12-14
328,0.74,NULL,NULL,2025-12-14
81,18.97,NULL,NULL,2025-12-14
84,9.67,NULL,NULL,2025-12-14
107,12.96,NULL,NULL,2025-12-14
836,2.05,NULL,NULL,2025-12-14
314,4.72,NULL,NULL,2025-12-14
83,13.71,NULL,NULL,2025-12-14
46,7.65,NULL,NULL,2025-12-14
63,14.56,NULL,NULL,2025-12-14
978,0.00,NULL,NULL,2025-12-14
103,45.46,NULL,NULL,2025-12-15
83,13.99,NULL,NULL,2025-12-15
836,2.14,NULL,NULL,2025-12-15
63,13.55,NULL,NULL,2025-12-15
81,18.45,NULL,NULL,2025-12-15
328,0.70,NULL,NULL,2025-12-15
107,12.70,NULL,NULL,2025-12-15
84,9.46,NULL,NULL,2025-12-15
117,5.93,NULL,NULL,2025-12-15
314,5.08,NULL,NULL,2025-12-15
978,0.00,NULL,NULL,2025-12-15
46,7.73,NULL,NULL,2025-12-15
836,2.09,NULL,NULL,2025-12-16
81,17.28,NULL,NULL,2025-12-16
103,47.06,NULL,NULL,2025-12-16
107,12.85,NULL,NULL,2025-12-16
83,14.31,NULL,NULL,2025-12-16
328,0.75,NULL,NULL,2025-12-16
84,10.13,NULL,NULL,2025-12-16
117,5.16,NULL,NULL,2025-12-16
978,0.00,NULL,NULL,2025-12-16
46,6.83,NULL,NULL,2025-12-16
314,5.01,NULL,NULL,2025-12-16
63,13.61,NULL,NULL,2025-12-16
107,15.17,NULL,NULL,2025-12-17
63,13.32,NULL,NULL,2025-12-17
978,0.00,NULL,NULL,2025-12-17
103,52.42,NULL,NULL,2025-12-17
81,20.65,NULL,NULL,2025-12-17
117,2.86,NULL,NULL,2025-12-17
83,16.34,NULL,NULL,2025-12-17
314,5.72,NULL,NULL,2025-12-17
84,11.87,NULL,NULL,2025-12-17
328,0.89,NULL,NULL,2025-12-17
836,2.29,NULL,NULL,2025-12-17
46,8.07,NULL,NULL,2025-12-17
107,18.75,NULL,NULL,2025-12-18
81,24.07,NULL,NULL,2025-12-18
103,62.81,NULL,NULL,2025-12-18
836,2.84,NULL,NULL,2025-12-18
83,19.17,NULL,NULL,2025-12-18
84,14.48,NULL,NULL,2025-12-18
63,17.22,NULL,NULL,2025-12-18
978,0.00,NULL,NULL,2025-12-18
328,1.14,NULL,NULL,2025-12-18
314,6.94,NULL,NULL,2025-12-18
46,10.14,NULL,NULL,2025-12-18
117,3.40,NULL,NULL,2025-12-18
836,6.26,NULL,NULL,2025-12-19
103,56.89,NULL,NULL,2025-12-19
63,17.72,NULL,NULL,2025-12-19
81,25.39,NULL,NULL,2025-12-19
83,18.67,NULL,NULL,2025-12-19
107,18.82,NULL,NULL,2025-12-19
84,14.53,NULL,NULL,2025-12-19
46,11.37,NULL,NULL,2025-12-19
314,7.21,NULL,NULL,2025-12-19
978,0.00,NULL,NULL,2025-12-19
117,3.31,NULL,NULL,2025-12-19
328,1.22,NULL,NULL,2025-12-19
314,9.53,NULL,NULL,2025-12-20
83,18.92,NULL,NULL,2025-12-20
81,25.75,NULL,NULL,2025-12-20
328,3.39,NULL,NULL,2025-12-20
103,57.15,NULL,NULL,2025-12-20
836,6.85,NULL,NULL,2025-12-20
117,8.89,NULL,NULL,2025-12-20
46,12.41,NULL,NULL,2025-12-20
63,9.06,NULL,NULL,2025-12-20
107,20.52,NULL,NULL,2025-12-20
978,0.00,NULL,NULL,2025-12-20
84,15.78,NULL,NULL,2025-12-20
83,19.07,NULL,NULL,2025-12-21
81,24.12,NULL,NULL,2025-12-21
103,54.97,NULL,NULL,2025-12-21
328,3.33,NULL,NULL,2025-12-21
836,6.69,NULL,NULL,2025-12-21
63,8.60,NULL,NULL,2025-12-21
117,8.11,NULL,NULL,2025-12-21
107,20.26,NULL,NULL,2025-12-21
84,15.35,NULL,NULL,2025-12-21
46,12.05,NULL,NULL,2025-12-21
314,9.22,NULL,NULL,2025-12-21
978,0.00,NULL,NULL,2025-12-21
103,53.74,NULL,NULL,2025-12-22
107,19.56,NULL,NULL,2025-12-22
81,23.05,NULL,NULL,2025-12-22
83,20.13,NULL,NULL,2025-12-22
836,5.49,NULL,NULL,2025-12-22
84,14.91,NULL,NULL,2025-12-22
978,0.00,NULL,NULL,2025-12-22
63,8.41,NULL,NULL,2025-12-22
117,8.52,NULL,NULL,2025-12-22
314,8.94,NULL,NULL,2025-12-22
328,3.32,NULL,NULL,2025-12-22
46,11.78,NULL,NULL,2025-12-22
103,51.18,NULL,NULL,2025-12-23
63,7.91,NULL,NULL,2025-12-23
83,18.53,NULL,NULL,2025-12-23
81,20.39,NULL,NULL,2025-12-23
107,17.75,NULL,NULL,2025-12-23
836,5.20,NULL,NULL,2025-12-23
314,7.29,NULL,NULL,2025-12-23
84,13.51,NULL,NULL,2025-12-23
328,2.36,NULL,NULL,2025-12-23
117,7.06,NULL,NULL,2025-12-23
978,0.00,NULL,NULL,2025-12-23
46,10.09,NULL,NULL,2025-12-23
81,21.37,NULL,NULL,2025-12-24
84,13.45,NULL,NULL,2025-12-24
107,17.18,NULL,NULL,2025-12-24
