product_id,brand,product,category,image
A000000147801,데이지크,"[4년 연속 어워즈] 데이지크 섀도우팔레트 25 colors (단품/기획)",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0014/A000000147801184ko.png?l=ko
A000000164726,데이지크,"데이지크 블렌딩 무드 치크 17 colors (단품/기획)",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016472691ko.jpg?l=ko
A000000166062,데이지크,"데이지크 무드 글로우 립스틱 8종 택 1",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016606207ko.jpg?l=ko
A000000176894,데이지크,"데이지크 브이컷 블렌딩 쉐딩 2 colors",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017689407ko.jpg?l=ko
A000000179369,데이지크,"데이지크 프로 컨실러 팔레트 2colors",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017936919ko.jpg?l=ko
A000000180888,데이지크,"[단독기획] 데이지크 무드 업 마스카라 롱앤컬 1+1기획 2 colors",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018088806ko.jpg?l=ko
A000000184327,데이지크,"[미니 틴트 증정] 데이지크 쥬시 듀이 틴트 28 colors (단품/기획)",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018432749ko.png?l=ko
A000000185255,데이지크,"데이지크 프루티 립잼 4g 13 colors",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018525517ko.jpg?l=ko
A000000187307,데이지크,"[NEW] 데이지크 무드 블러 립 펜슬 10종 택1",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018730710ko.jpg?l=ko
A000000189191,데이지크,"데이지크 멜팅 캔디 밤 14 colors",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018919126ko.jpg?l=ko
