channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC_FeFXisROV48LEXS6RvhDA,5720,2995,6160,4701,0.42,0.92,1.5,70,30.19,467,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","피트니스 & 다이어트"
UC_gu0ahtQ9UeCWdUs9gvRJg,11820,13433,11579,12286,1.89,3.2,6.29,2000,34.06,323,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UC_QetuLz0ojD6N1meWtDkwA,5545,1000,NULL,5545,NULL,NULL,-0.73,-200,100,55,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,엔터테인먼트
UC-LTjVZL9Nt2zVTSEmI2dUw,18066,3200,1954,19396,0.97,0.97,6.33,100,92.37,118,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"음식 & 음료"
UC-XLPtYxEpl7ZFJou0nJHwQ,58122,12982,6390,59866,0.71,0.71,13.79,1600,96.74,184,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC-ZclTqKP-bjQ3V2xDitIXQ,8795,9202,4649,9731,0.44,1.16,5.74,140,81.59,201,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"여행 & 캠핑"
UC0-FNHxMQB3tXrzIb_l8oQg,10730,1533,3590,12758,2.42,2.62,0,0,77.88,104,NULL,NULL,브이로그,NULL,"뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC00DJ04oplqj4IUUB5vSwZw,284326,162377,163052,621681,1.02,0.88,0,0,26.49,502,1,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC0awE5h5rIOFh52li-lZObg,13962,12382,11932,16110,0.94,0.79,1.52,1000,48.58,634,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UC1302hnzriUhic-iMjI_GRg,41805,3197,8681,70291,0.96,0.93,-0.14,-10,53.76,93,NULL,브이로그,브이로그,"뷰티 & 메이크업","패션 & 의류","피트니스 & 다이어트","뷰티 & 메이크업"
UC1EF4_0XfxjY6yFDwGi6BVA,9208,19586,9582,8704,0.76,1.56,8.6,660,42.57,404,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류",NULL
UC1j2j98SLGsj8J1lx_CahwQ,2355,2318,2281,3550,2.06,2.67,0.72,30,5.83,103,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일"
UC1oCX3IIsMKawaUOaF3IsZg,12029,6428,NULL,12029,NULL,NULL,6.51,110,100,77,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"의료 & 건강"
UC1rHp7RAZmpNre0VEG0glow,28130,2052,2596,33588,1.57,1.24,8.74,90,82.39,159,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"피트니스 & 다이어트"
UC1u60JZSVqdJ3t-GOtTNSLA,7106,4636,5488,11838,2.06,2.48,59.03,1340,28.26,46,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UC1ZhBh-iwdIFgnGemfm8ODQ,3294,1487,2435,4238,1.68,1.51,7.55,730,47.65,1385,NULL,꿀팁,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","경제 & 경영","의료 & 건강"
UC2LK46je4NpntY292ZVGjHQ,1139,850,1072,1153,0.29,0.45,0.56,10,82.96,270,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
