channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UC-33kp7NODQOAe1KbZfeZEg,지바오,um1zxKHudFE,https://www.youtube.com/watch?v=um1zxKHudFE,0,425,801,12,0,"[시즈니 브이로그✷] 2026년이 된게 아직 안 믿기네😐| 1주년, 아워위시, 생일 MD • 25 위시 시즌그리팅 • 분철 • 위시캣 띠부씰 • 통판 • 쿵프 • 위즈니 • 엔시티",2026-01-31,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-LBU0PlwlgjY0d_FTy_JxA,망지뷰티,MCvBOEVbHDI,https://www.youtube.com/watch?v=MCvBOEVbHDI,0,49,1500,5,3,#제품제공 #이벤트 ⚠️ 잠깐! 영상 속에 선물이 숨어있어요! 넘버즈인 3번 라인 망그러진곰 전 라인시딩키트 #넘버즈인 #numbuzin #망그러진곰 #올리브영,2026-01-25,넘버즈인,numbuzin,2026-04-15T10:47:14.447507
UC-XLPtYxEpl7ZFJou0nJHwQ,결씨 kyeol_see,MY7Wy6plPHY,https://www.youtube.com/watch?v=MY7Wy6plPHY,1,12800,10000,235,11,📢수부지 실패 없는 유수분 밸런스 세럼 3가지🤍‼️,2026-03-17,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-XLPtYxEpl7ZFJou0nJHwQ,결씨 kyeol_see,mZBdHu_Glpk,https://www.youtube.com/watch?v=mZBdHu_Glpk,0,12200,54000,1568,30,"광고❌ 좁쌀, 요철에 찐으로 효과본 올영 세럼 추천🤍",2026-02-28,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-eWDNt388fRzt6gUJXTcIg,쏠티의 비디오 이력서,Gyh3PbI3Jfk,https://www.youtube.com/watch?v=Gyh3PbI3Jfk,1,37200,25604,395,159,"현실적 직장인 | 시간, 돈낭비 이제 ❌ 가성비 영어공부추천 & 피부관리 & 주린이 주식공부 그리고 𝙡𝙤𝙫𝙚 𝙨𝙩𝙤𝙧𝙮♡",2026-01-23,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-jpLi-gWmvOGoJlTJon8xw,먕먕슈,lcIenm1IbUw,https://www.youtube.com/watch?v=lcIenm1IbUw,0,1920,1614,1,0,"넘버즈인 3번라인 세럼,토너 사용후기 #제품제공 #리뷰 #화장품추천 #화장품리뷰 #30대",2026-03-23,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-jpLi-gWmvOGoJlTJon8xw,먕먕슈,bZ5XAWIHHT4,https://www.youtube.com/watch?v=bZ5XAWIHHT4,0,2200,3253,44,3,수정화장 필요없는 화장 기초템🤍 #30대 #화잘먹 #넘버즈인 #모공세럼 #grwm,2026-03-30,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-oo-DlXVXzexre774Ry1Gw,Moment in Seoul | 유진의 취향,v8uG7nDOZYw,https://www.youtube.com/watch?v=v8uG7nDOZYw,0,14000,2400,0,0,화잘먹 토너패드 추천👩🏻‍🍳,2026-01-21,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-oo-DlXVXzexre774Ry1Gw,Moment in Seoul | 유진의 취향,D6EZLOfooH8,https://www.youtube.com/watch?v=D6EZLOfooH8,0,14000,2300,0,0,넘버즈인 퓌 막내동생 노크🔑(특: 1000억 금수저),2026-01-07,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
UC-sJHUpJNWE582kayfboxtA,오름주식TV,Mn54C_2ICRw,https://www.youtube.com/watch?v=Mn54C_2ICRw,0,19700,614,17,3,[실리콘투 주가전망] 매출 1.4조 돌파 전망! K-뷰티 유통 공룡의 무서운 독주 -2월19일방송,2026-02-19,넘버즈인,넘버즈인,2026-04-15T10:47:14.447507
