channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,키엘,NULL,NULL,fr1YynqRhQU,652,3,1,1500000,2026-03-12,2300.61,"#광고 요즘 화잘먹 치트키는 이거라고요? 키엘의 화잘먹 선크림 #키엘 #화잘먹 #선크림 #kbeauty #skincare #추천 #메이크업"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,라운드랩,NULL,NULL,-_M5FwA-NvA,1500,3,0,1510000,2026-02-28,1006.67,"#광고 3월 올영세일 라운드랩과 눈멍이 콜라보라니...♥ #추천 #kbeauty #눈멍이 #라운드랩 #올영세일 #올리브영 #올영세일깡 #올영깡 #oliveyoungsale"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,마녀공장,NULL,NULL,tsuhuzhIBFc,1200,6,0,1510000,2026-02-26,1258.33,"#광고 개강 전 7일만에 관리하는 마녀공장 신상!! #마녀공장 #올리브영 #올영깡 #기초추천 #올영세일 #올영세일추천템 #흔적세럼 #흔적패치 #kbeauty #추천"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,달바,NULL,NULL,W5MFgk8Q9P4,1200,9,2,1510000,2026-02-24,1258.33,"#광고 아니 이거 단무지 아니에요? 요즘 핫한 최초의 달바 반반패드 🎶 #추천 #kbeauty #skincare #달바 #달바반반패드 #레오제이반반패드 #화잘먹 #올리브영 #올영"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,f0cyuczB94I,1500,5,0,1510000,2026-02-12,1006.67,"#광고 연예인도 쓴다는 겨울철 향기꿀템...? #펠리칸솝 #엉덩이비누 #향기템 #돈키호테 #엉덩이로션 #바디스크럽 #제니비누 #유명템 #꿀템 #kbeauty"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,3YOIGprDfQE,2100,5,0,1520000,2026-01-25,723.81,"#광고 다이소에 동결건조 화장품이 있다고? #본셉 #다이소 #추천 #kbeauty #코덕 #레티놀 #앰플"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,아벤느,NULL,NULL,jHQ95J9JLkw,1000,3,0,1520000,2026-01-15,1520,"#광고 피부 난리난 겨울! 피부를 구원해줄 크림?! #아벤느 #아벤느이드랑스리치크림 #밀도보습크림 #민감보습크림 #민감피부추천 #수분크림 #보습크림 #kbeauty #추천"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,키엘,NULL,NULL,IJMYBiey_Z0,2600,5,0,1520000,2026-01-13,584.615,"#광고 겨울철 긴급 진정이 필요하다면...? #키엘 #메디크림 #덱스판테놀 #추천  #kbeauty #크림 #올리브영 #데일리템 #건성추천"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,스타라이크,NULL,NULL,K18gjR1LhHU,3000,5,1,1520000,2026-01-11,506.667,"#광고 귀차니즘 VS 풀메 상황별 베이스 꿀템 추천! #스타라이크 #파데프리 #선크림 #무기자차 #민감성 #저자극 #올리브영 #오특 #올영세일 #추천"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,루아센시아,아누아,NULL,3wAJRwmDax8,573,7,1,1520000,2026-01-05,2652.71,"#광고 극건성 히터 속 촉촉함 유지법 🪽#루아센시아 #캐비어PDRN #PDRN크림 #재생크림 #피부리부트크림 #민감피부 #추천 #세일 #크림추천"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,해피바스,NULL,NULL,Z7dgfPtUuxs,1800,23,1,1530000,2025-12-20,850,"#광고 요즘은 샤워템도 귀엽다...! #해피바스 #kbeauty #추천 #데일리템 #샤워템 #젤리 #샤워젤리 #귀여운 #코덕"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,톤28,NULL,NULL,ci7PeKZltsI,2300,14,0,1530000,2025-12-16,665.217,"#광고 이거 놓치면 진짜 1년 기다려요｜#톤28 #진심배송 #kbeauty #추천 #새벽크림 #품절대란 #크림추천 #선물추천 #연말선물"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,1um9GCaPoWE,1900,5,1,1530000,2025-12-06,805.263,"#광고 쿠팡 겨울 꿀템 3가지!! #쿠팡 #쿠팡꿀템 #쿠팡추천템 #샴푸 #라입 #보조배터리 #추천 #데일리템"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,스킨1004,토니모리,NULL,q6sVT_mvgFA,486,4,0,1530000,2025-11-28,3148.15,"#광고 12월 올영 세일에 쟁여야하는 데일리 쌩얼템 두 가지 추천 #kbeauty #올영세일 #올리브영 #추천템 #토니모리 #스킨1004 #skincare"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,더샘,NULL,NULL,m8wG_v1IZ1w,815,8,0,1530000,2025-11-27,1877.3,"#광고 추운 겨울에도 바세린광을 유지해주는 하이라이터?! #kbeauty #올리브영 #올영추천템 #추천 #koreanmakeup #더샘 #하이라이터 #올영세일"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,아비브,NULL,NULL,30MVs80x5A0,2000,7,0,1530000,2025-11-26,765,"#광고 실패없는 올리브영 세일 장바구니템 추천! #아비브 #올리브영 #세일 #올영세일 #추천템 #koreanmakeup #kbeauty"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,CakDPcT4poY,27000,24,0,1540000,2025-10-19,57.037,"#광고 테무에서 느좋되는법｡｡｡ 여자데이트 필수템 !! #추천 #테무깡 #테무 #테무하울 #테무추천템 #테무쇼핑"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,니베아,모델로화장품,NULL,6_VhLEEl5bc,493,8,0,1540000,2025-10-11,3123.73,"#광고 가을을 맞이하며 요즘 너무 잘 쓴 아이템은? #모델로 #니베아 #GRWM #올리브영 #추천템 #코덕 #추천 #kbeauty"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,웨이크메이크,NULL,NULL,LV9ew4eG0is,4400,25,0,1540000,2025-08-29,350,"#광고 SNS에서 난리난 제품들 드디어 올영세일에서 만나볼 수 있다 ♥ #웨이크메이크 #올리브영 #kbeauty #올리브영추천템 #추천 #올영세일"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,쿼드쎄라,NULL,NULL,57zZ4zqMz0w,1200,5,0,1540000,2025-08-21,1283.33,"#광고 이거 하나면 삶의 질 상승 ⬆️ #추천 #kbeauty #코덕 #올리브영 #올리브영추천템 #올영세일 #홈케어디바이스 #홈케어추천 #뷰티디바이스추천"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,메디힐,NULL,NULL,FG-njQ0gqsk,1800,4,0,1540000,2025-08-21,855.556,"#광고 답답함 ❌ 스킨케어처럼 바르기 좋은 선세럼 추천 🪽#선크림 #선세럼 #선크림추천 #추천 #kbeauty #코덕 #올리브영 #올리브영추천템 #올영세일 #올영깡"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,oGLkkf3u9Ec,1000,8,1,1540000,2025-08-09,1540,"#제품제공 핑구가 올리브영에 떴다~ #코스노리 #핑구 #코스노리핑구 #올리브영추천템 #올영추천템 #쿠션추천 #여름쿠션 #톤업크림추천 #블랙세럼 #속눈썹영양제추천 #속눈썹영양제"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,이니스프리,NULL,NULL,-4tP34XZVNA,2000,12,0,1540000,2025-07-31,770,"#광고 여름에 꼭 사야 할 인간 복숭아 파데프리템 추천 🍑#이니스프리 #곰돌이푸 #비타민C피치톤업선 #인간복숭아 #선크림 #톤업선크림 #올리브영 #올리브영선크림 #파데프리"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,ki_lZtaPiiE,718,5,0,1550000,2025-07-22,2158.77,"#광고 뿌리면 바로 피부에 바로 녹아드는 비타민 패치 ✨🍋 #달바 #안티에이징 #비타민 #패치 #세일 #kbeauty #추천 #나이트케어 #추천템"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,q-ooY_iFQPE,2400,13,2,1550000,2025-07-20,645.833,"#제품제공 집에서도 샵에서 관리받은 듯한 머릿결 만들기 ♥ #올리브영 #kbeauty #추천 #oliveyoung"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,헤어플러스,NULL,NULL,Jr5BE5KEH6g,1726,3,0,1550000,2025-07-11,898.03,"#제품제공 한 여름에도 뽀송한 두피를 유지해주는 샴푸와 스케일러 🧡 #지성두피#지성추천템#샴푸추천#윤기케어#각질케어 #추천 #광고 #올리브영 #kbeauty #코덕 #fyp"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,VaoJUfgGTYw,658,4,0,1550000,2025-07-11,2355.62,"#광고 악건성이 여름에도 쓰기 좋은 PDRN 에센스 추천 🥛 #브이티코스메틱 #vtcosmetics #kbeauty #올리브영 #올영픽 #추천 #코덕 #올리브영추천템"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,845pGVJeFs0,779,7,0,1550000,2025-07-04,1989.73,"#제품제공 🔊 화잘먹 피부를 만들어줄 나만의 천사가 내려왔다구? 🪽 #kbeauty #올리브영 #추천 #oliveyoung #올리브영추천템 #skin1004 #스킨1004"
UC_nfaNeurFfMUU3VzB7_HTg,윤쨩,NULL,NULL,NULL,XJe24E3m71Y,1600,13,0,1550000,2025-07-04,968.75,"#광고 🔊올리브영 1만원대 색조 추천 🍑 #올리브영 #추천 #코덕 #kbeauty #oliveyoung #올영깡 #올리브영추천템 #아임미미 #아임미미멀티큐브 #복숭아메이크업"
