channel_id,F13_17,F18_24,F25_34,F35_44,F45_54,F55_64,F65,M13_17,M18_24,M25_34,M35_44,M45_54,M55_64,M65
UC_nfaNeurFfMUU3VzB7_HTg,6,21,17,13,11,5,3,2,7,5,4,3,2,1
UC-eWDNt388fRzt6gUJXTcIg,3,15,20,16,13,6,3,1,5,6,5,4,2,1
UC-oo-DlXVXzexre774Ry1Gw,6,34,26,9,5,2,1,1,5,5,3,2,1,0
UC-sJHUpJNWE582kayfboxtA,0,6,10,10,12,8,4,0,6,10,10,12,8,4
UC0awE5h5rIOFh52li-lZObg,10,34,23,8,4,1,0,2,7,5,3,3,1,0
UC2DFv8--wsONI_fc8OjGLoA,5,30,26,11,6,2,1,1,6,6,3,2,1,0
UC39tUOWeLaYAisx3TkgJQ9w,8,21,17,15,13,6,3,2,4,3,3,3,1,1
UC3d_8LhMCYir5GUu5_B3J5Q,5,28,25,8,4,1,0,2,9,9,4,3,2,0
UC3EnbFx6mBs2QPJ_BYqQm6g,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UC4Ei5ZBrqNt3Bxn0b1BMDLA,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UC4PAS3ck6trKI0RsM2Nskew,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UC4Z-_an4FmdRx0NPJ5l6TyQ,4,25,27,14,10,4,2,1,4,4,2,2,1,0
UC52QG9bNVkCtIiyBzbAcmuA,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UC54h7i-hxGEXEQzA6-F4X1Q,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UC57_jVZTM427hTqYMXf7utA,5,31,23,7,4,1,1,2,8,9,4,2,2,0
UC5BqeEsHJnYM4O4xvWJK3Cg,8,31,24,10,5,2,1,2,6,5,3,2,1,0
UC5Lki2M9QND5RH7X9ZcFE0A,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UC5TJGSApJo7dM52PMBpKYew,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UC6tdphV_Mvup6TubaYh28FA,4,12,10,21,11,3,2,2,7,6,12,7,2,1
UC7bsnxoyZMvmUfjSi1uFdSg,2,11,13,9,6,2,2,2,13,15,11,8,4,2
UC7sGH3zB5r7eNaiRk0adSLQ,6,35,26,10,5,2,1,1,5,5,3,1,0,0
UC8NPfG0bZGBybcJIg9ajpAA,6,27,17,13,10,4,2,2,8,4,3,3,1,0
UC8tbZJfTx0FNlpqqE6WeWtw,6,34,26,9,4,2,1,1,6,5,3,2,1,0
UC8UyBg2k3nSk3avtszjwiIQ,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UC9G7V6-HU_Cg7-yWLO1rH6w,3,17,18,13,10,4,2,2,9,9,6,5,2,1
UCa0PFt7V7K7xkYljapAiIVQ,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UCa5wO3P8B_ugXCz4mSstQeg,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCadCnitqOkCIDi2PuPzNbSA,3,15,23,15,13,6,3,1,4,6,4,4,2,1
UCB0iI4S727iXExTQvEVG4UQ,6,30,27,9,5,2,1,1,6,6,4,2,1,1
UCB44fSGXvnBP6CVp10CenPg,10,35,21,8,4,2,1,2,6,5,3,2,1,0
UCBt6bEVqrKk2QAkr8ax2_Zg,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCc_vOO8-XNMT8KmIVTEbt5g,6,34,23,7,3,1,0,2,9,7,4,3,1,0
UCceUWPM7SkvOmJ3bs9ZYJCw,5,29,22,9,4,1,1,2,11,8,3,3,2,0
UCcPIzAgErXVXJYc-SAsPkTw,6,30,25,11,7,3,2,1,5,5,3,2,0,0
UCD27FzNkOL6V_Lk2yOCimEA,8,28,20,12,8,4,2,2,6,4,3,2,1,0
UCDaYQyEp5BEbSo_gGUlFRaw,6,36,26,9,4,1,0,2,5,5,3,2,1,0
UCduTIiPlLEaqtyGQ2u7H-vg,8,35,25,10,6,2,1,1,5,4,2,1,0,0
UCeB9L97iG06KNi6qeydbqPA,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UCem0s_50gLmV91r_xMs3b6Q,8,38,26,8,4,2,1,1,4,4,2,1,1,0
UCeMVG_xsUh7wJEHAic4G4AA,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UCeUNLuZSiWcAoIZZck4EnmA,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCeWt0uIMRQ7H96FGom3cvIg,6,30,24,12,7,3,2,1,5,4,3,2,1,0
UCf_b-tdkdLUVQT0n_J4OZVw,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCf3ASM0FTr8YiTzdG6uqXRQ,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCfBmhzNH3c6HsPFzojjgvVQ,5,31,30,10,5,2,1,1,5,5,3,2,0,0
UCfqoCzQ-aw-uMdLFm1khN5w,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCg7GWV9e0dOVp8EmOY34VoQ,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UCggh84Wxw6yTuCu9Yl8BQGw,5,26,22,15,11,5,3,1,4,3,2,2,1,0
UCGmfGSQ8cxpoSHKWYY7Tldg,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCGqfcm2F87BnqFs_Ivz62uQ,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCH2mJnztSdNh8ADp2KmtUMQ,4,27,28,14,10,4,1,1,4,4,2,1,1,0
UChaTUCM7bPBTJaIZQ83PNwQ,2,7,7,4,2,1,1,4,30,27,9,4,0,1
UCHRadrgmDL8MIrwTvTnTS_A,6,26,20,11,7,3,2,2,8,6,4,3,1,1
UChu6_3B_HBrfOnqCoLs984g,3,17,16,14,12,6,3,1,8,6,6,5,2,1
UCI72yCqAWSvcmaVxnkBjv_Q,8,24,18,14,10,4,2,2,6,4,4,3,1,0
UCi88xf8_ZNb8Ir9CriltGwg,12,37,21,8,4,2,1,2,6,4,2,1,0,0
UCiAzDHGJTIjlXZZKj9aErWw,5,30,22,7,4,1,0,2,11,7,4,3,2,0
UCIK2rP4CxgvBDAXv7tfL09A,4,24,26,12,9,4,2,1,6,6,3,2,1,0
UCiNqObR5Jlg_BpeH2-wB7AA,8,35,25,10,6,2,1,1,5,4,2,1,0,0
UCirC89qa2jcPemolzoJ3ISQ,1,5,8,5,4,2,1,3,16,22,15,11,4,2
UCiV0Q71ZUrZeywW1SujhTVQ,8,25,19,14,10,4,2,2,6,4,3,2,1,0
UCJ73TvoH7HfUOaPFTfPjzoQ,9,38,26,8,4,1,1,1,5,4,2,1,0,0
UCj83T5taUG2jr2h0aPSPA3g,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCJqeM5wsT5iyd1I58dENr1w,3,20,23,14,11,5,2,1,6,6,4,3,1,1
UCJtAFDmVo5_9dnobfV-rl1g,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCK_SS-VZj0tQORGbdDnel8A,6,35,26,11,6,2,1,1,5,4,2,1,0,0
UCKI6Y6C-aPWKic5vt9pkkFA,4,17,12,16,11,5,3,2,8,6,8,5,2,1
UClexyT3Cph6aNDgxa5-Ts6g,4,19,17,12,7,4,2,2,11,9,6,4,2,1
UClJNgnMWzvEzJuLcpH7m4vQ,7,36,21,7,2,1,0,3,10,7,3,2,0,0
UCLkHLKCNdIOZn811Jd9Likg,8,38,26,8,4,1,1,1,4,3,2,3,2,0
UCLvk76DFmbHIveAvYUDajUg,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UClwBDUAxmjb9zosF_f3l0Ng,4,20,18,11,8,4,2,2,10,9,5,4,2,1
UCm3aFTKTRsClNaN0rsYmQYg,5,30,30,10,5,2,1,1,6,6,3,1,0,0
UCm6OcU7-cTy9yfOoTLLrX-Q,8,30,22,11,7,3,2,2,6,4,3,2,0,0
UCMCoxAizndEylURRRXLeXRg,6,25,18,12,9,4,2,2,8,5,4,3,1,1
UCMCrIvfH6LwGleDMwrm-4rQ,8,38,25,8,4,2,1,1,5,5,2,1,0,0
UCmejbaWo0fBfX4a2S4wM5ww,6,25,22,13,9,4,2,2,6,5,3,2,1,0
UCMt9ltC61xm1IM3H2wjTyEQ,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UCMtox-HGT27D6_pUtiKxuOQ,5,25,23,14,9,4,2,1,6,5,3,2,1,0
UCMWjHMmAgsyqsnaz7tbmcVg,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCn_fZLXut_Tj9-QihG_9l0g,6,24,18,11,8,2,1,2,10,8,5,3,1,0
UCOA916wlx5RIJmbX4IPBgZA,10,34,22,8,4,2,1,2,6,5,3,2,1,0
UCoACuELLbiRuUU3vCBaDJCA,8,31,25,9,5,2,1,2,6,5,3,2,1,0
