channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC_nfaNeurFfMUU3VzB7_HTg,19767,6694,13353,21497,1.66,1.47,-2.14,-170,78.76,193,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일","뷰티 & 메이크업","패션 & 의류",엔터테인먼트
UC-eWDNt388fRzt6gUJXTcIg,153344,29298,12356,385784,1.43,2.21,11.92,4400,37.76,98,NULL,브이로그,꿀팁,"일상 & 라이프스타일","뷰티 & 메이크업","피트니스 & 다이어트","피트니스 & 다이어트"
UC-jpLi-gWmvOGoJlTJon8xw,15222,NULL,2228,15706,4.61,4.61,198.58,1543,96.4,139,NULL,NULL,하울,NULL,"패션 & 의류",NULL,"연애 & 결혼"
UC-oo-DlXVXzexre774Ry1Gw,8405,3081,10737,4565,1.03,1.94,0.71,100,37.78,225,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC-sJHUpJNWE582kayfboxtA,520,NULL,516,1527,4.93,4.05,23.56,4100,0.42,4575,NULL,"뉴스 & 정치","뉴스 & 정치","뉴스 & 정치","뉴스 & 정치",NULL,NULL
UC-XLPtYxEpl7ZFJou0nJHwQ,58122,12982,6390,59866,0.71,0.71,13.79,1600,96.74,184,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC0awE5h5rIOFh52li-lZObg,13962,12382,11932,16110,0.94,0.79,1.52,1000,48.58,634,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UC1oCX3IIsMKawaUOaF3IsZg,12029,6428,NULL,12029,NULL,NULL,6.51,110,100,77,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"의료 & 건강"
UC2DFv8--wsONI_fc8OjGLoA,14930,NULL,15127,2267,2.33,3.15,0.71,300,1.29,465,NULL,"리뷰 & 언박싱",튜토리얼,"음식 & 음료","음식 & 음료","뷰티 & 메이크업","동물 (펫)"
UC39tUOWeLaYAisx3TkgJQ9w,4312,2654,4616,4243,1.77,3.51,0.25,20,81.37,714,NULL,NULL,"리뷰 & 언박싱",NULL,"취미 & 공예 & 디자인",NULL,"패션 & 의류"
