channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UC_xVzJW2DD6aIYxa_cGXCOA,지려밍,NULL,NULL,NULL,UxYVx4jnzg0,5538,12,6,650000,2024-09-12,117.371,"📌피부관리실 원장 추천 리프팅 뷰티디바이스 (기계 안사도 됨‼️)"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",NULL,NULL,NULL,_3-b2ugq9oY,291585,2305,372,14470000,2025-09-12,49.6253,"농구 본고장 미국을 미치게 만든 상처투성이 K-고딩 | 고등볼러 THE ONE 9화: 본선"
UC08xTfd_HeIbiXIHX4DXaJQ,QUANTUM,NULL,NULL,NULL,_dtTX8D2DS8,37000,221,3,14530000,2025-08-12,392.703,"탄력 미쳤다 #theoneseoul"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,_dWZY2w5JeE,55504,322,12,7372300,2024-09-18,132.825,"(광고)웃참하기 어려운 가격"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",밀리언즈,NULL,NULL,-a93duisTG8,349723,2557,734,7372300,2024-06-25,21.0804,"고등볼러 마지막 | 밀리언즈 고등볼러 EP.13"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,00I5cFFviDk,18274,178,7,7372300,2024-07-12,403.431,"(광고)미끄러짐 없는 플레이, Chalkless와 함께!"
UC08xTfd_HeIbiXIHX4DXaJQ,QUANTUM,NULL,NULL,NULL,0dHYBKTM7I8,61000,255,15,14530000,2025-08-06,238.197,"깔끔농구 #theoneseoul"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,0dSDLRgYjhE,129755,923,309,7372300,2022-12-11,56.8171,"프로 '4명' vs 비선출 '5명'🔥비선출이 슛이 이렇게 좋으면 어떻게 이겨?? (후반전) | 크록스맨"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",신신제약,NULL,NULL,1HkTI-Ugf3c,530000,537,68,14470000,2026-03-03,27.3019,"진짜임 🐺🐺🐺"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",밀리언즈,풋락커,NULL,1JQIgwe3NBY,491532,3231,612,7372300,2024-06-11,14.9986,"우승후보의 몰락..언더독의 반란! 시합은 지금-크게 요동치기 시작했다. | 밀리언즈 고등볼러 EP.11"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,2834mk8yODg,38362,286,8,7372300,2024-09-14,192.177,"(광고)휴가가기 vs 농구공받기"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",신신제약,NULL,NULL,2DXyV5v2j_w,140000,631,16,14650000,2026-03-25,112.692,"달달하다 달달해 #농구 #basketball #고등볼러2"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",신신제약,NULL,NULL,2kFKsP8p4Co,209465,916,220,14470000,2026-02-26,69.0808,"300명 → 16명 | 신신제약 고등볼러2 EP.1"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",신신제약,NULL,NULL,3kHznsdhgnE,230000,1042,30,14650000,2026-03-20,63.6957,"힘만 센 게 아님 #농구 #고등볼러2"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",신신제약,NULL,NULL,3LHGVnBbVgA,26000,235,6,14770000,2026-04-09,568.077,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ #고등볼러2"
UC08xTfd_HeIbiXIHX4DXaJQ,"PD 김현중",신신제약,NULL,NULL,4DF0k5rJTNM,240000,416,5,14470000,2026-02-28,60.2917,"수 밖에 없는 피지컬"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,4sIdoNP0VTI,31531,723,58,7372300,2023-01-05,233.811,"'저희 집에 갈 수 있어요?' 농구공으로 노래 부르는 난이도 '극악' 챌린지 | 크록스맨 Jingle Hoops"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,5vENuyhmFRo,28670,200,11,7372300,2024-09-12,257.143,"(광고)일본의 미녀 농구부원를 만나다"
UC08xTfd_HeIbiXIHX4DXaJQ,QUANTUM,NULL,NULL,NULL,7HYVhFMGTSw,13000,14,0,14530000,2025-08-16,1117.69,"동주여고 김주하 #theoneseoul"
UC08xTfd_HeIbiXIHX4DXaJQ,"QUANTUM BASKETBALL_KR",NULL,NULL,NULL,7piFl1wKcxI,282375,3420,43,7372300,2024-09-05,26.1082,"갑자기 고장난 슛 머신"
