channel_id,F13_17,F18_24,F25_34,F35_44,F45_54,F55_64,F65,M13_17,M18_24,M25_34,M35_44,M45_54,M55_64,M65
UC_xVzJW2DD6aIYxa_cGXCOA,6,36,25,9,4,2,1,1,5,5,3,2,1,0
UC08xTfd_HeIbiXIHX4DXaJQ,2,6,8,6,6,3,2,2,13,15,13,13,7,4
UC26RKCp5GM9XxygDjikvtxw,2,10,13,8,6,3,2,2,13,17,10,8,4,2
UC3a2XAmvWQs-Xw3heIURP3A,4,22,27,13,10,4,2,1,5,6,3,2,1,0
UC3d_8LhMCYir5GUu5_B3J5Q,5,28,25,8,4,1,0,2,9,9,4,3,2,0
UC3wmXZAsLYGINtBuZZOonLQ,6,31,25,8,5,2,1,2,8,6,3,2,1,0
UC3ZQbE9FKR8TwHYqTNcIXQQ,6,34,24,7,3,1,1,2,7,8,4,2,1,1
UC4SUw71lkWcBSOmY730Qfvw,8,25,18,14,10,3,2,2,6,4,4,3,1,0
UC561zXOZW5NAyzzMmSOJE6A,5,31,25,10,7,3,2,1,5,5,3,2,1,0
UC5kEXPP-aMj70GXUBDSFM8Q,6,25,21,11,7,3,2,2,8,6,4,3,1,1
UC6gbVH-zlupe0E1iUbnI8XQ,8,37,24,9,4,1,1,1,6,5,3,1,0,0
UC7bsnxoyZMvmUfjSi1uFdSg,2,11,13,9,6,2,2,2,13,15,11,8,4,2
UC7sGH3zB5r7eNaiRk0adSLQ,6,35,26,10,5,2,1,1,5,5,3,1,0,0
UC7wBOTfpTPsId4i9t0DS1sA,8,25,19,14,9,4,2,2,6,4,3,2,1,1
UC8pJebpYIash-F95JTZsAVg,6,35,21,8,4,1,1,4,7,8,3,3,2,0
UC9SxIMTbO5pf97hCV0Ta1PQ,8,31,22,10,6,3,1,2,6,5,3,2,1,0
UCAUbDYDwV34yk6pYiZg_CzA,4,30,28,11,8,3,1,1,5,5,2,1,0,0
UCB44fSGXvnBP6CVp10CenPg,10,35,21,8,4,2,1,2,6,5,3,2,1,0
UCb8_UiUdnM9S7r1aYPAsSMw,5,24,26,14,10,4,2,1,4,4,3,2,1,0
UCc3lx0-oWbbNkr7owjeQYrg,12,39,18,8,4,2,1,2,7,4,2,1,0,0
UCChdHmdkgTpk0iyuODYxJIw,6,37,26,7,3,1,1,2,6,6,3,1,0,1
UCDaYQyEp5BEbSo_gGUlFRaw,6,36,26,9,4,1,0,2,5,5,3,2,1,0
UCDCvlVx1noYrb0rNN9N6Yqg,3,26,24,10,7,2,1,1,9,9,4,3,1,0
UCe3bySJaZFUG_CcB2dUNcug,6,30,25,12,7,3,2,1,5,4,3,2,0,0
UCE6LxhwnpYUGEeqnngRCAuQ,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCEee-1fofuY5CxsqucKcI4w,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UCem0s_50gLmV91r_xMs3b6Q,8,38,26,8,4,2,1,1,4,4,2,1,1,0
UCeMVG_xsUh7wJEHAic4G4AA,9,38,26,8,4,2,1,1,4,4,2,1,0,0
UCFN6UIWItm9_wa5MdDNavZA,8,30,22,11,6,2,1,2,7,5,3,2,1,0
UCg7GWV9e0dOVp8EmOY34VoQ,8,38,25,9,5,2,1,1,4,4,2,1,0,0
UCgwSxFAuVZyX0vgshNiFkeg,8,31,20,11,7,3,2,2,6,4,3,2,1,0
UCHA8L4tTkZon7VHF6vnS9fQ,4,19,14,10,9,5,3,2,10,8,6,5,3,2
UChaTUCM7bPBTJaIZQ83PNwQ,2,7,7,4,2,1,1,4,30,27,9,4,0,1
UCHUkpUuH7O3U7eIx93tMUwA,6,32,25,8,4,2,1,1,6,9,3,2,1,1
UChZI-ZKjHKEqsC4MADYaomQ,3,12,16,15,15,9,5,1,4,5,5,5,3,2
UCiAzDHGJTIjlXZZKj9aErWw,5,30,22,7,4,1,0,2,11,7,4,3,2,0
UCjmZi4wQOrIKhDBn4nDyPLw,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UCJtAFDmVo5_9dnobfV-rl1g,6,35,25,9,4,2,1,1,6,5,3,2,1,0
UCKEvBMEpqQPrvh5ZeN_P3og,4,20,20,12,9,4,2,2,8,8,5,4,2,0
UCkHV19H9zjLjRnBhrGUcLug,6,34,25,9,4,2,1,1,6,6,3,2,1,0
UCKsnQxvZ67NftJ1zW46D1HQ,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCKycl5tLdiOz6CMoRMpXNjA,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UClJ0XqAL1c9x9ajdqjkaX0A,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UClwBDUAxmjb9zosF_f3l0Ng,4,20,18,11,8,4,2,2,10,9,5,4,2,1
UCmhQm_t3LvhlgOfHy5f10yQ,4,21,16,12,8,4,2,2,10,8,6,4,2,1
UCnkv5si8_BQl3U8yji31uuQ,6,35,25,9,5,2,1,1,5,5,3,2,1,0
UCoACuELLbiRuUU3vCBaDJCA,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCODfVcNdBzqsh9RkLRCxxSw,8,27,19,12,9,4,2,2,6,4,3,2,1,1
UCPbFt0ir9Yrp5lCzm-Ei7rw,8,31,25,9,5,2,1,2,6,5,3,2,1,0
UCPMw_1TUgWi7HyQXEqlO8PQ,5,31,23,8,4,1,0,2,10,8,3,3,2,0
UCq8dWevtTXOrElZkaSptrvQ,6,36,27,10,5,2,1,1,5,4,2,1,0,0
UCqhdXqj-fa3W8yYwXGg6-zA,6,21,16,14,12,6,3,2,6,4,4,3,2,1
UCqiYDhH7fs18whd09ekhrKg,8,35,25,10,6,2,1,1,5,4,2,1,0,0
UCqrNqg3UgVoD3Sa-F_TxuSA,3,21,23,13,11,5,2,1,6,7,4,3,1,0
UCQUjggf6wVXEZAVKryT_GqQ,2,11,13,8,7,3,2,2,13,15,10,8,4,2
UCRK1Ohk5k-iY_bOfkbagEWA,6,35,26,10,6,2,1,1,5,5,2,1,0,0
UCrlUlicedicJ5mlibqC62Eg,5,29,20,8,5,2,1,2,8,10,5,3,2,1
UCSed5sg92x-Zx-ws5pvC4zw,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCSx-2fuyotB8WA8KytyhACg,8,31,24,10,5,2,1,2,6,5,3,2,1,0
UCSyN2dMaKXD9hiuVwQyzrOw,6,21,16,14,12,6,3,2,6,4,4,3,2,1
UCSzTXeUBWhwgOSOuhfeC3xg,6,25,20,12,8,4,2,2,7,5,4,3,1,1
UCTbsSRHEVLvfvSa8_q99xzA,6,21,16,14,12,6,3,2,6,4,4,3,2,1
UCTN33ntewak-rTcwKBj32Kw,1,6,10,10,10,5,3,1,7,12,12,12,7,4
UCuJiA7LSOUtv4TTUH2TFzoQ,4,22,25,15,10,5,3,1,4,5,3,2,1,0
UCUKmLlnlIuyci4bPVLvZXjw,8,17,12,21,14,6,3,2,4,3,5,3,1,1
UCun4wV8czkKcdMn_NDX8MIQ,8,31,21,10,7,3,2,2,6,4,3,2,1,0
UCUqh8IuIbuh5fX8R5T33jHA,8,31,22,10,6,3,1,2,6,5,3,2,1,0
UCUrCIBJ3ScRAOLgPElscZqA,4,30,26,8,5,1,1,2,8,8,3,3,2,0
UCV3D6OehJPsejAvhz6bDYfA,6,32,28,7,3,1,1,1,7,7,3,2,0,1
UCV5Q_31yEqkV15Q-AHZWE5A,8,30,24,10,6,2,1,2,6,5,3,2,1,0
UCV6iLaH5FZ2a6pJsbAs6meg,8,31,22,10,6,2,1,2,7,5,3,2,1,0
UCvc2xWLgpBVKQB8iDTYBjvg,2,8,10,8,6,3,2,2,12,17,12,10,5,3
UCVgcaXJcSGIYrJdlVIhL-Cw,5,31,26,10,5,2,1,1,6,6,4,2,1,0
UCvGvf3Lk0Z5reU544g_SzPg,2,8,10,9,7,4,2,2,10,15,13,10,5,3
UCVi4J5y_uvl-t2wFE7Oz7lg,4,16,16,14,11,5,3,2,8,8,6,5,2,0
UCvoD5jwxyoQ_V0aNun6jSyA,5,30,25,11,7,3,2,1,6,5,3,2,0,0
UCVuLE0_5TKEf3Uk2_hvimEw,5,32,27,9,5,2,1,1,6,6,3,2,1,0
UCvzViMPSztQ6tb3TYFsxHFQ,8,30,22,11,7,3,1,2,6,4,3,2,1,0
UCw_VHcLeiSSXA8SSk0dbwkA,3,27,25,11,8,2,1,1,8,8,3,3,1,0
UCWAGyolTIz5RjfDtY1JrOXg,5,27,16,8,6,4,2,2,7,8,5,6,3,1
UCWQ0Xc5W-f2oSgx_Eohi9bQ,5,34,26,8,3,1,0,2,9,7,3,2,0,0
UCwwfbGYkRBNAJ-qH2ttoqbg,12,39,18,8,4,2,1,2,7,4,2,1,0,0
UCx9XehuwNHLqWPt4U0t0LRA,1,4,7,5,4,2,1,2,12,21,17,14,7,3
UCXFd79l1HUumoM6spU4D1Cw,4,21,23,14,10,4,2,1,6,6,4,3,1,1
UCXPeJufdBsud4FlMtPwoNfw,1,4,7,8,9,5,2,1,7,12,14,17,9,4
UCxQFCdMag6smOQVAObGBIgA,5,30,27,12,8,4,2,1,4,4,2,1,0,0
UCxtUtbmL79P4nvskhfD9kmA,4,16,16,12,10,6,3,2,8,8,6,5,3,1
UCyozgLqIzYoSS4yq81qq8DA,1,8,17,16,14,8,4,0,4,8,7,7,4,2
UCzB4SMiJegcyFlnFvosUVcg,4,22,25,14,11,5,3,1,4,5,3,2,1,0
UCzF7Npx7_JNpZYSVC6PKjsA,6,34,26,11,6,3,2,1,4,4,2,1,0,0
UCZlTEEKh3ounqVfpf21WMeQ,5,32,23,9,3,1,1,1,8,7,5,3,1,1
UCzpQOktfPxvYeq8OfRtAMYA,12,37,20,9,4,2,1,2,6,4,2,1,0,0
