brand,brand_score,brand_rank_score,brand_related_video_score,date
81,64.89,NULL,NULL,2025-11-17
103,51.49,NULL,NULL,2025-11-17
63,40.17,NULL,NULL,2025-11-17
116,16.62,NULL,NULL,2025-11-17
84,25.21,NULL,NULL,2025-11-17
107,40.55,NULL,NULL,2025-11-17
116,0.00,NULL,NULL,2025-11-18
81,18.22,NULL,NULL,2025-11-18
84,4.55,NULL,NULL,2025-11-18
103,41.56,NULL,NULL,2025-11-18
63,41.53,NULL,NULL,2025-11-18
107,10.69,NULL,NULL,2025-11-18
81,17.95,NULL,NULL,2025-11-19
84,5.29,NULL,NULL,2025-11-19
103,45.53,NULL,NULL,2025-11-19
107,11.22,NULL,NULL,2025-11-19
63,43.42,NULL,NULL,2025-11-19
116,0.00,NULL,NULL,2025-11-19
107,10.79,NULL,NULL,2025-11-20
103,46.00,NULL,NULL,2025-11-20
84,5.03,NULL,NULL,2025-11-20
81,16.34,NULL,NULL,2025-11-20
63,35.28,NULL,NULL,2025-11-20
116,0.00,NULL,NULL,2025-11-20
103,42.12,NULL,NULL,2025-11-21
84,4.79,NULL,NULL,2025-11-21
63,30.15,NULL,NULL,2025-11-21
81,14.34,NULL,NULL,2025-11-21
107,10.15,NULL,NULL,2025-11-21
116,0.00,NULL,NULL,2025-11-21
103,40.67,NULL,NULL,2025-11-22
107,9.82,NULL,NULL,2025-11-22
81,13.95,NULL,NULL,2025-11-22
84,4.48,NULL,NULL,2025-11-22
63,31.56,NULL,NULL,2025-11-22
116,0.00,NULL,NULL,2025-11-22
103,37.46,NULL,NULL,2025-11-23
63,29.94,NULL,NULL,2025-11-23
107,8.75,NULL,NULL,2025-11-23
81,13.12,NULL,NULL,2025-11-23
84,4.38,NULL,NULL,2025-11-23
116,0.00,NULL,NULL,2025-11-23
103,35.35,NULL,NULL,2025-11-24
81,13.75,NULL,NULL,2025-11-24
116,0.00,NULL,NULL,2025-11-24
63,28.50,NULL,NULL,2025-11-24
107,8.85,NULL,NULL,2025-11-24
84,3.94,NULL,NULL,2025-11-24
107,9.60,NULL,NULL,2025-11-25
103,31.70,NULL,NULL,2025-11-25
81,14.48,NULL,NULL,2025-11-25
63,29.28,NULL,NULL,2025-11-25
116,0.00,NULL,NULL,2025-11-25
84,5.59,NULL,NULL,2025-11-25
103,32.17,NULL,NULL,2025-11-26
81,14.64,NULL,NULL,2025-11-26
116,0.00,NULL,NULL,2025-11-26
107,10.05,NULL,NULL,2025-11-26
63,29.40,NULL,NULL,2025-11-26
84,5.79,NULL,NULL,2025-11-26
103,32.40,NULL,NULL,2025-11-27
84,5.83,NULL,NULL,2025-11-27
107,10.88,NULL,NULL,2025-11-27
81,14.56,NULL,NULL,2025-11-27
63,24.15,NULL,NULL,2025-11-27
116,0.00,NULL,NULL,2025-11-27
107,10.59,NULL,NULL,2025-11-28
63,24.18,NULL,NULL,2025-11-28
81,14.12,NULL,NULL,2025-11-28
84,5.01,NULL,NULL,2025-11-28
103,32.69,NULL,NULL,2025-11-28
116,0.00,NULL,NULL,2025-11-28
81,13.34,NULL,NULL,2025-11-29
103,32.04,NULL,NULL,2025-11-29
84,5.07,NULL,NULL,2025-11-29
107,11.54,NULL,NULL,2025-11-29
63,23.89,NULL,NULL,2025-11-29
116,0.00,NULL,NULL,2025-11-29
103,32.02,NULL,NULL,2025-11-30
63,17.19,NULL,NULL,2025-11-30
84,5.06,NULL,NULL,2025-11-30
107,10.46,NULL,NULL,2025-11-30
116,0.00,NULL,NULL,2025-11-30
81,12.73,NULL,NULL,2025-11-30
103,30.97,NULL,NULL,2025-12-01
107,8.79,NULL,NULL,2025-12-01
63,12.09,NULL,NULL,2025-12-01
84,6.63,NULL,NULL,2025-12-01
81,12.79,NULL,NULL,2025-12-01
116,0.00,NULL,NULL,2025-12-01
103,33.57,NULL,NULL,2025-12-02
81,12.76,NULL,NULL,2025-12-02
107,8.53,NULL,NULL,2025-12-02
84,5.66,NULL,NULL,2025-12-02
63,12.39,NULL,NULL,2025-12-02
116,0.00,NULL,NULL,2025-12-02
107,8.49,NULL,NULL,2025-12-03
81,12.29,NULL,NULL,2025-12-03
103,34.50,NULL,NULL,2025-12-03
63,12.29,NULL,NULL,2025-12-03
116,0.00,NULL,NULL,2025-12-03
84,6.10,NULL,NULL,2025-12-03
103,34.27,NULL,NULL,2025-12-04
81,12.14,NULL,NULL,2025-12-04
107,9.22,NULL,NULL,2025-12-04
63,12.98,NULL,NULL,2025-12-04
84,6.41,NULL,NULL,2025-12-04
116,0.00,NULL,NULL,2025-12-04
107,8.97,NULL,NULL,2025-12-05
81,12.91,NULL,NULL,2025-12-05
103,35.21,NULL,NULL,2025-12-05
63,13.73,NULL,NULL,2025-12-05
84,5.72,NULL,NULL,2025-12-05
