product_id,brand,product,category,image
A000000128643,토리든,"[올리브영 1등 세럼/속보습세럼]토리든 다이브인 저분자 히알루론산 세럼 50ml",스킨케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0012/A00000012864313ko.png?l=ko
A000000158750,토리든,"토리든 다이브인 저분자 히알루론산 마스크 1매",마스크팩,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0015/A00000015875013ko.jpg?l=ko
A000000158752,토리든,"[1등마스크] 토리든 다이브인 마스크 10매 ",마스크팩,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/A00000015875272ko.jpg?l=ko
A000000160513,토리든,"[립케어 1등]토리든 솔리드인 세라마이드 립 에센스 11ml",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016051322ko.jpg?l=ko
A000000162092,토리든,"[립케어 1등/1+1] 토리든 솔리드인 세라마이드 립 에센스 11ml 더블기획",메이크업,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016209252ko.jpg?l=ko
A000000162578,토리든,"토리든 다이브인 무기자차 마일드 선크림 60ml",선케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016257811ko.jpg?l=ko
A000000162842,토리든,"토리든 솔리드인 세라마이드 크림 70ml",스킨케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016284203ko.jpg?l=ko
A000000163086,토리든,"토리든 다이브인 저분자 히알루론산 멀티패드 80매",마스크팩,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016308605ko.jpg?l=ko
A000000163254,토리든,"[단독기획] 토리든 다이브인 저분자 히알루론산 크림 80ml 기획(+크림 20ml 추가증정)",스킨케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016325413ko.jpg?l=ko
A000000165598,토리든,"[더블기획/1+1] 토리든 다이브인 히알루론산 수딩 크림 더블기획 (100ml+100ml)",스킨케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016559833ko.jpg?l=ko
A000000169313,토리든,"토리든 다이브인 저분자 히알루론산 수딩 크림 100ml",스킨케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016931305ko.jpg?l=ko
A000000170266,토리든,"[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정)",스킨케어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017026613ko.jpg?l=ko
A000000170330,토리든,"[단독기획] 토리든 마스크 시트 5+1매 3종 (수분/진정/브라이트닝)",마스크팩,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017033053ko.jpg?l=ko
