channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC_xVzJW2DD6aIYxa_cGXCOA,138806,5538,56946,165908,0.41,0.26,20.38,6400,75.13,197,NULL,튜토리얼,꿀팁,"의료 & 건강","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강"
UC08xTfd_HeIbiXIHX4DXaJQ,128065,223698,51646,285653,0.95,0.76,3.36,5000,32.66,1084,1,"예능형 콘텐츠",토크,"레저 & 스포츠","레저 & 스포츠",엔터테인먼트,"피트니스 & 다이어트"
UC26RKCp5GM9XxygDjikvtxw,51240,44166,20368,83255,0.75,1.81,27.61,7400,49.09,330,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC3a2XAmvWQs-Xw3heIURP3A,7377,5654,7377,NULL,1.34,1.72,0,0,NULL,134,NULL,브이로그,NULL,"일상 & 라이프스타일",NULL,"패션 & 의류",NULL
UC3d_8LhMCYir5GUu5_B3J5Q,71456,40739,77173,55450,1.26,1.84,0.52,500,26.32,285,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC3wmXZAsLYGINtBuZZOonLQ,303359,NULL,440055,105508,0.09,0.19,58.77,670,40.86,93,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강",NULL
UC3ZQbE9FKR8TwHYqTNcIXQQ,154269,92739,127372,255563,1.18,3.88,-0.49,-2000,20.98,672,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","패션 & 의류"
UC561zXOZW5NAyzzMmSOJE6A,89109,4728,1687,105875,0.63,0.8,11.08,770,83.91,174,NULL,브이로그,꿀팁,"동물 (펫)","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강"
UC5kEXPP-aMj70GXUBDSFM8Q,290343,80469,150855,661656,1.33,0.81,2.07,3000,27.31,260,NULL,브이로그,브이로그,"일상 & 라이프스타일",엔터테인먼트,엔터테인먼트,"일상 & 라이프스타일"
UC5y2OWl_ygpcuz3BS3G-Vgg,38121,9225,109247,35046,0.8,0.8,9.03,290,95.85,193,NULL,"리뷰 & 언박싱",브이로그,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC6gbVH-zlupe0E1iUbnI8XQ,14101,7135,4098,21117,1.82,1.42,3.79,500,58.78,376,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","패션 & 의류"
UC7bsnxoyZMvmUfjSi1uFdSg,15722,12371,12839,18349,1.47,0.54,8.26,1000,52.33,514,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC7sGH3zB5r7eNaiRk0adSLQ,5372,2726,1721,6489,2.07,4.77,21.28,179,76.58,222,NULL,꿀팁,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
UC7wBOTfpTPsId4i9t0DS1sA,2961,NULL,2297,2982,1.42,1.39,1.63,40,96.98,397,NULL,튜토리얼,브이로그,"취미 & 공예 & 디자인",엔터테인먼트,NULL,"음식 & 음료"
UC8pJebpYIash-F95JTZsAVg,10169,6541,11675,6634,1.78,2.18,0,0,29.88,328,NULL,브이로그,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UC9pR3MoUeYJnJ7JwlgwRygA,17348,7392,10073,22987,1.08,2.91,104.46,1640,56.34,71,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC9SxIMTbO5pf97hCV0Ta1PQ,85365,189492,101299,70195,1.39,1.95,4.28,8000,51.23,691,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"패션 & 의류"
UCAIXP1jDQBf2XllDv3DddQg,2797,NULL,4492,2782,1.64,1.64,16.13,550,99.1,445,NULL,브이로그,ASMR,"음식 & 음료","일상 & 라이프스타일",음악,엔터테인먼트
UCAUbDYDwV34yk6pYiZg_CzA,104570,48517,69684,129773,1.47,1.76,-0.28,-2000,58.06,453,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCB44fSGXvnBP6CVp10CenPg,40810,34736,28313,59268,0.2,0.31,3.36,4000,40.65,861,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCb8_UiUdnM9S7r1aYPAsSMw,115768,33948,82365,136428,0.33,1.37,2.65,4000,61.79,280,1,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCBmxY--sdkU7C1I0ADNtLwQ,4310,NULL,NULL,4310,NULL,NULL,21.39,370,100,239,NULL,NULL,"리뷰 & 언박싱",NULL,"취미 & 공예 & 디자인",NULL,엔터테인먼트
UCc3lx0-oWbbNkr7owjeQYrg,13525,9683,11904,16911,1.6,2.11,2.48,1000,32.38,420,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","패션 & 의류","패션 & 의류","뷰티 & 메이크업"
UCChdHmdkgTpk0iyuODYxJIw,153026,140253,98703,272728,2.02,2.46,2.15,10000,31.22,362,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","일상 & 라이프스타일"
UCDaYQyEp5BEbSo_gGUlFRaw,24630,7546,19260,29592,0.16,1.81,-0.64,-1000,51.97,406,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCDCvlVx1noYrb0rNN9N6Yqg,15995,12279,16738,9021,1.27,2.08,0.54,1000,9.63,322,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","리빙 & 인테리어"
UCdLwMtqz0GwDXRPO_bgKwbw,87521,8925,724,88663,1.8,1.8,188.64,2490,98.7,77,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"의료 & 건강"
UCE6LxhwnpYUGEeqnngRCAuQ,31495,21596,22895,42088,0.88,1.83,0.61,500,44.81,366,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCEee-1fofuY5CxsqucKcI4w,4295,5693,1941,4957,1.32,1.07,2.61,300,78.07,862,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"패션 & 의류"
UCem0s_50gLmV91r_xMs3b6Q,19452,8369,23180,7267,1.66,2.62,1.86,600,23.43,350,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCeMVG_xsUh7wJEHAic4G4AA,174517,104679,5745,238090,1.4,1.59,10.48,5700,72.64,307,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCenb9wK18ZzPLsyGoCoyrHw,31014,7486,NULL,31014,NULL,NULL,4.24,500,100,88,NULL,NULL,꿀팁,NULL,"리빙 & 인테리어",NULL,"음식 & 음료"
UCEXNS5h17QdY9VV60IDayDQ,3711,NULL,5739,3368,0.79,0.29,0.53,100,85.55,263,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"음식 & 음료"
UCFN6UIWItm9_wa5MdDNavZA,11429,3277,14509,6135,0.92,2.68,0,0,36.78,242,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"음식 & 음료"
UCg7GWV9e0dOVp8EmOY34VoQ,23547,16490,19119,27003,0.89,0.88,4.15,1300,56.17,543,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCgwSxFAuVZyX0vgshNiFkeg,80250,31810,80376,4500,1.2,1.78,-0.32,-1000,0.17,598,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","일상 & 라이프스타일","의료 & 건강",NULL
UCHA8L4tTkZon7VHF6vnS9fQ,57635,8668,18882,79681,2.53,2.47,0.12,100,63.74,444,NULL,브이로그,브이로그,"일상 & 라이프스타일","피트니스 & 다이어트","피트니스 & 다이어트","일상 & 라이프스타일"
UChaTUCM7bPBTJaIZQ83PNwQ,135100,190613,123149,157488,1.21,1.82,1.66,8000,34.8,954,3,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","의료 & 건강"
UCHUkpUuH7O3U7eIx93tMUwA,36480,36695,35754,37553,0.98,2.1,3.9,3700,40.34,595,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",엔터테인먼트,"음식 & 음료"
UChZI-ZKjHKEqsC4MADYaomQ,801,NULL,1059,521,2.72,0.66,0,0,47.98,2868,NULL,"뉴스 & 정치","뉴스 & 정치","뉴스 & 정치","뉴스 & 정치",NULL,"음식 & 음료"
UCiAzDHGJTIjlXZZKj9aErWw,22796,18134,22441,23442,1.21,1.68,6.99,4000,35.43,604,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
