video_id,title,video_url,channel_id,channel_title,brand_name,industries,sponsored_type,channel_type,views,likes,comments,cpv,channel_cost,publishDate,duration_seconds,countries,video_description,topic,content_format,content_keywords,format_code,subscribers,channel_total_views,channel_categories,channel_avg_views,engagement_rate,featured_products,featured_product_ids,product_ppl
0VPpJczHaRY,"클린걸이 추구미일 때 •• 매일 쓰는 베이스 치트키 / 투명 메이크업",https://www.youtube.com/watch?v=0VPpJczHaRY,UCSed5sg92x-Zx-ws5pvC4zw,"­구아구 kyua",아비브,"뷰티 & 메이크업",1,NULL,1800,11,1,NULL,2680000,2026-06-23,43,KR,"제 영상에서 정말 많이 나온 찐템 ,,
아비브 수분초 히알루론 워터리 튜브 선세럼 ✧

메이크업 전에 발라주면
로션 바른 것 마냥 베이스 촉촉하게 먹여주고
메이크업 안 하는 날에도
백탁x 유분x 라서 매일 사용하고있는 선세럼이에요 !

투명 메이크업 + 화잘먹 선세럼 찾으셨던 분들께
정말 강추드려요 🫶🏻


 #광고 #아비브 #화잘먹선세럼 #수분선크림 #올리브영선크림 #촉촉수분자차",NULL,NULL,NULL,NULL,10800,1963106,NULL,7707,0.63,NULL,NULL,NULL
vs3DYNzVYRs,"매일 쓰는 아이템만 .. 투명 데일리 메이크업 •.✧ 여름뮤트 •  화잘먹 선크림 정착템",https://www.youtube.com/watch?v=vs3DYNzVYRs,UCSed5sg92x-Zx-ws5pvC4zw,"­구아구 kyua",아비브,"뷰티 & 메이크업",1,NULL,1700,29,4,NULL,2680000,2026-06-23,1014,KR,"안녕하세요 여러분 !
제가 다양한 메이크업 영상을 가져오지만 ..
오늘은 저의 찐 데일리 메이크업 소개해드려요 !
정말 매일 사용하는 제품들만 가득 ,,
오늘도 재미있게 봐주세요 !♡


*이 영상은 아비브의 부분 유료광고를 포함하고 있습니다.


instagram : @9a9 _ _ _ _ _
contact : kyua.han@outlook.com




아비브 어성초 에센스 패드 클리어 터치 / 단순선물
토리든 다이브인 세럼 / 직접구매
아비브 수분초 히알루론 선세럼 워터리 튜브 / 유료광고
퓌 올데이 커버 블랙 쿠션 19N / 직접구매
루나 컨실 블렌더 팔레트 5호 톤 리셋 커버 / 제품제공, 노출의무x
루나 롱래스팅 팁 컨실러 EX 브라이트너 / 단순선물
에스쁘아 더브로우 밸런스 펜슬 쿨 토프 / 단순선물
뮤드 인스파이어 스키니 브로우 카라 코지 위트 / 직접구매
홀리카홀리카 마이페이브 피스 아이섀도우 핑크 시어링 / 직접구매
더샘 커버 퍼펙션 컨실러 펜슬 1.0 클리어 베이지 / 직접구매
홀리카홀리카 마이페이브 피스 젤테일 베이지 우드 / 직접구매
클리오 킬 래쉬 수퍼프루프 마스카라 뮤트 얼그레이 / 직접구매
로지킴 멜로우 블러싱 세럼 버블 / 직접구매
바닐라코 프라임 프라이머 피니쉬 파우더 / 제품제공, 노출의무x
투쿨포스쿨 베일드 컨투어 포그 애쉬 / 직접구매
에스쁘아 스트로빙 하이라이터 씨쉘 / 단순선물
하트퍼센트 도트 온 무드 립 펜슬 캄 핑크 / 직접구매
롬앤 더 쥬시 래스팅 틴트 소이 피그 / 직접구매
롬앤 쥬시 플래시 립 오일 소이 그레이프 / 직접구매



#아비브 #화잘먹선세럼 #선세럼 #수분선크림 #올리브영선크림 #촉촉수분자차 #광고안녕하세요 여러분 !
제가 다양한 메이크업 영상을 가져오지만 ..
오늘은 저의 찐 데일리 메이크업 소개해드려요 !
정말 매일 사용하는 제품들만 가득 ,,
오늘도 재미있게 봐주세요 !♡


*이 영상은 아비브의 부분 유료광고를 포함하고 있습니다.


instagram : 9a9 _ _ _ _ _
contact : kyua.han@outlook.com




아비브 어성초 에센스 패드 클리어 터치 / 단순선물
토리든 다이브인 세럼 / 직접구매
아비브 수분초 히알루론 선세럼 워터리 튜브 / 유료광고
퓌 올데이 커버 블랙 쿠션 19N / 직접구매
루나 컨실 블렌더 팔레트 5호 톤 리셋 커버 / 제품제공, 노출의무x
루나 롱래스팅 팁 컨실러 EX 브라이트너 / 단순선물
에스쁘아 더브로우 밸런스 펜슬 쿨 토프 / 단순선물
뮤드 인스파이어 스키니 브로우 카라 코지 위트 / 직접구매
홀리카홀리카 마이페이브 피스 아이섀도우 핑크 시어링 / 직접구매
더샘 커버 퍼펙션 컨실러 펜슬 1.0 클리어 베이지 / 직접구매
홀리카홀리카 마이페이브 피스 젤테일 베이지 우드 / 직접구매
클리오 킬 래쉬 수퍼프루프 마스카라 뮤트 얼그레이 / 직접구매
로지킴 멜로우 블러싱 세럼 버블 / 직접구매
바닐라코 프라임 프라이머 피니쉬 파우더 / 제품제공, 노출의무x
투쿨포스쿨 베일드 컨투어 포그 애쉬 / 직접구매
에스쁘아 스트로빙 하이라이터 씨쉘 / 단순선물
하트퍼센트 도트 온 무드 립 펜슬 캄 핑크 / 직접구매
롬앤 더 쥬시 래스팅 틴트 소이 피그 / 직접구매
롬앤 쥬시 플래시 립 오일 소이 그레이프 / 직접구매



#아비브 #화잘먹선세럼 #선세럼 #수분선크림 #올리브영선크림 #촉촉수분자차 #광고",NULL,NULL,NULL,NULL,10800,1963106,NULL,7707,0.63,NULL,NULL,NULL
y1hShpsNDS8,"아무도 안 알려준 토너패드 200% 활용법",https://www.youtube.com/watch?v=y1hShpsNDS8,UCnxaiHJnThETTq9HgreeKWQ,유수Yusu,아비브,"뷰티 & 메이크업",1,NULL,1600,1,1,NULL,3440000,2026-06-22,54,KR,NULL,"뷰티 & 메이크업",꿀팁,"토너패드, 활용법, 스킨케어, 토너, 피부",NULL,18400,7758550,NULL,25588,0.61,NULL,NULL,NULL
RuddMnBLg5A,"와… 지금 난리난 파데프리 선크림🫢‼️ #선크림추천 #톤업선크림 #아비브",https://www.youtube.com/watch?v=RuddMnBLg5A,UCBIp8niZglD_kRBzSTOdxuQ,"송타민 songtamin",아비브,"뷰티 & 메이크업",1,NULL,4000,20,1,650,2600000,2026-06-19,30,KR,NULL,"뷰티 & 메이크업","리뷰 & 언박싱","파데프리, 선크림, 톤업, 리뷰",1,21200,36817016,NULL,23158,0.25,NULL,NULL,NULL
jt0x0TzMU2s,"중3 증명사진 메이크업✨🏫 | 졸업사진 찍기 전 같이 준비해봐요! | 증명사진 꿀팁",https://www.youtube.com/watch?v=jt0x0TzMU2s,UCodu-QO4qPYyqgveFQkHsLg,"주은 Jueun",아비브,"뷰티 & 메이크업",1,NULL,11711,234,46,305.799,3380000,2026-06-18,961,KR,"본 영상은 아비브의 유료 광고를 포함하고 있습니다.

안녕 마이쮸!
오늘은 증명사진 촬영을 준비하며 사용한
스킨케어 제품을 소개해 드렸어요 ㅎㅎ

요즘 제 데일리 수분을 충전해주고 있는
세럼과 크림 구매링크는 아래에 남겨둘게요!


🩵*아비브 히알루로닉 붐 세럼 : https://bit.ly/4fSOzrE
🩵*아비브 히알루로닉 붐 크림 : https://bit.ly/4vW5TRc
 



영상 시청해 주셔서 감사합니다 🙇🏻‍♀️




#아비브 #속수분세럼 #수분장벽크림 #히알루로닉붐 #데일리세럼","뷰티 & 메이크업",꿀팁,"메이크업, 증명사진, 스킨케어, 세럼, 크림",0,27700,3542048,NULL,56180,0.6,"[24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml | [24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml 1+1 기획 | [24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml 기획(+수분초 패드 10매 증정) | [수분/화잘먹] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml | [화잘먹/촉촉산뜻] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml","A000000169480,A000000170299,A000000206936,A000000223680,A000000248224",1
ku9ZT06nK9I,"예비신부의 현실 피부관리 루틴🤍#아비브 #히알루로닉붐세럼 #속수분세럼 #예비신부 #웨딩준비 #화잘먹세럼",https://www.youtube.com/watch?v=ku9ZT06nK9I,UC1j2j98SLGsj8J1lx_CahwQ,듀잉,아비브,"뷰티 & 메이크업",1,NULL,8816,21,3,117.967,1040000,2026-06-16,55,KR,NULL,"뷰티 & 메이크업","리뷰 & 언박싱","피부관리, 루틴, 히알루로닉붐세럼, 웨딩준비",1,4260,271186,NULL,2351,2.06,"[수분/화잘먹] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml | [화잘먹/촉촉산뜻] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml","A000000223680,A000000248224",0
BYl3KpzjtQ0,"레전드 늦잠 잤는데 오히려 화잘먹된 꿀팁",https://www.youtube.com/watch?v=BYl3KpzjtQ0,UCIs3YNygvE7_ywpRsyLAzhw,"Dasen 다센",아비브,"뷰티 & 메이크업",1,NULL,110000,0,0,11.7,1170000,2026-06-11,43,KR,"매일 아침마다 지각 위기라 버스에서 화장하는데
기초만 잘해줘도 화장이 오히려 잘 먹더라구요 ..?

요즘 잘 써주고 있는 기초제품은 아비브 히알루로닉 붐 세럼&크림💦

세럼이 흡수가 워낙 빨라서 아침에 여러 번 덧발라도 밀리거나 끈적임이 1도 없음!
그리고 쿨링감까지 느껴져서 걍 말랑쫀득 피부 됩니다 !!

여기에 크림까지 얇게 얹어주면, 점심때까지 피부 쫀쫀함이 다르더라고요!!

세럼 크림 모두 끈적임 없이 속수분만 빠르게 채워주는 제형감이라 지금 쓰기 너무 조은 ..🤍
꼭 한번 사용해보세요 !!

@abib.official

#아비브 #속수분세럼 #수분장벽크림 #히알루로닉붐 #수부지스킨케어","뷰티 & 메이크업",꿀팁,"기초제품, 아비브, 히알루로닉 붐 세럼, 수분장벽크림, 수부지스킨케어, 화장, 피부, 화잘먹, 쿨링감, 속수분",1,5020,1703131,NULL,8925,0.58,"[24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml | [24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml 1+1 기획 | [24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml 기획(+수분초 패드 10매 증정) | [수분/화잘먹] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml | [화잘먹/촉촉산뜻] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml","A000000169480,A000000170299,A000000206936,A000000223680,A000000248224",1
MoVbSp8Wlgo,"전 피부관리사가 여름마다 챙기는 속수분 루틴",https://www.youtube.com/watch?v=MoVbSp8Wlgo,UC7sGH3zB5r7eNaiRk0adSLQ,"또리유 DDOLEEU",아비브,"뷰티 & 메이크업",1,NULL,6601,25,0,69.6864,460000,2026-06-09,47,KR,"전 피부관리사가 여름마다 챙기는 속수분 루틴

여름엔 유분이 올라오니까 수분은 괜찮겠지 싶잖아.

근데 에어컨이랑 온도차가
생각보다 피부 수분을 많이 뺏어가거든.
그래서 겉은 번들거리는데 속은 당기는 거야.

피부관리사 때도
이런 피부엔 항상 속수분부터 채우라고 했어.

요즘 내가 여름에 쓰는 루틴 참고해봐🩵

#아비브 #히알루로닉붐 #속수분세럼","뷰티 & 메이크업",튜토리얼,"속수분, 여름, 피부관리, 루틴, 히알루론산, 수분, 피부, 아비브",1,1060,1523182,NULL,4845,2.07,NULL,NULL,NULL
AQFAT1jGics,"덥고 열날 때 불닭스튜로 이열치열🥘",https://www.youtube.com/watch?v=AQFAT1jGics,UCyar0OYt0LoPzkkWcQAo6OA,"젼언니 jeon_unni",아비브,"뷰티 & 메이크업",1,NULL,160000,2456,110,208.312,33330000,2026-06-04,75,KR,#shorts,"음식 & 음료","예능형 콘텐츠","불닭스튜, 이열치열, 요리, 짧은영상, 매운음식",1,631000,1379514151,NULL,376945,4.29,NULL,NULL,NULL
NZN4UM-jL3I,"뷰티쇼호스트가 쟁여두는 맑은 톤업 꿀조합✨(글루타치온 톤업 선크림+어성초 패드)",https://www.youtube.com/watch?v=NZN4UM-jL3I,UC52QG9bNVkCtIiyBzbAcmuA,"인영 뷰티쇼 INYOUNG BEAUTY SHOW",아비브,"뷰티 & 메이크업",1,NULL,64000,66,22,78.871,4890000,2026-06-04,482,KR,"이 영상은 아비브의 유료광고를 포함하고 있습니다.

아비브 글루타치온 톤업 선크림 더블 기획✨
https://bit.ly/ciytt2

아비브 어성초 패드 리필 기획🌿
https://bit.ly/ciyct2

📋 타임라인 (Timeline)
00:00 파데 프리 찐텐 오프닝
00:26 아비브 글루타치온좀 CC 선크림
01:12 얼굴 시연
03:47 아비브 어성초 패드
05:30 얼굴 시연
06:12 맑은 피부 완성 꿀조합 루틴

안녕하세요
오늘은 제가 직접 경험하고 찐템인 파데 프리 루틴을 가져왔습니다
여름에는 여러개 바르는건 힘들죠-?
그렇다고 피부 보정을 포기할 수는 없어요!
그 위에 글루타치온 톤업 선크림으로 한번에 끝내고
어성초 패드로는 진정+화잘먹 피부까지 만나보세요!

궁금한 점은 언제든 댓글 남겨주세요

💜 Instagram : in000000
(팔로우하시면 뷰티 정보와 소통을 더 빠르게!)
✉ Business Mail
os134313@gmail.com

📋 제품 정보
1.아비브 글루타치온좀 CC 선크림 토닝 튜브
2.아비브 어성초 흔적 에센스 패드 클리어 터치

#파데프리 #노파데 #톤업선크림 #아비브어성초패드 #아비브글루타치온 #뷰티쇼호스트 #토너패드 #쌩얼메이크업 #베이스프리 #선크림추천 #토너패드추천 #선크림 #톤업선크림 #톤업크림","뷰티 & 메이크업",튜토리얼,"톤업선크림, 어성초패드, 뷰티쇼호스트, 파데프리, 노파데, 선크림추천, 톤업크림, 쌩얼메이크업",0,33100,934271,NULL,7520,0.98,NULL,NULL,NULL
