product_id,brand,product,category,regDate,image,yt_video_cnt,yt_ppl_cnt,ig_post_cnt,ig_ppl_cnt
A000000257828,아비브,"아비브 히알루로닉 붐 크림 워터튜브 75ml",스킨케어,2026-05-18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025782801ko.jpg?l=ko,0,0,0,0
A000000257830,아비브,"아비브 히알루로닉 붐 세럼 워터드롭 50ml",스킨케어,2026-05-18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025783001ko.jpg?l=ko,0,0,0,0
A000000253541,아비브,"아비브 글루타치온좀 CC 선크림 토닝 튜브 50ml",선케어,2026-04-07,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025354104ko.png?l=ko,8,2,22,11
A000000248205,아비브,"아비브 패드 4종 택 1(어성초/수분초/글루타치온좀/LHA)",마스크팩,2026-02-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024820501ko.png?l=ko,16,1,89,49
A000000248223,아비브,"[저자극/쿨링진정] 아비브 어성초 마일드 선크림 릴리프 튜브 50ml",선케어,2026-02-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024822307ko.png?l=ko,11,1,5,0
A000000248224,아비브,"[화잘먹/촉촉산뜻] 아비브 수분초 히알루론 선세럼 워터리 튜브 50ml",선케어,2026-02-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024822405ko.png?l=ko,31,5,18,7
A000000248225,아비브,"[톤업/파데프리] 아비브 글루타치온좀 CC 선크림 토닝 튜브 50ml",선케어,2026-02-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024822508ko.png?l=ko,16,8,41,25
A000000248226,아비브,"[1+1/파데프리톤업] 아비브 글루타치온좀 CC 선크림 토닝 튜브 50ml 더블 기획",선케어,2026-02-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024822616ko.png?l=ko,19,10,30,16
A000000248227,아비브,"[리뉴얼]아비브 선크림 3종 택1 (글루타치온좀/어성초/수분초)",선케어,2026-02-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024822706ko.png?l=ko,8,2,44,28
A000000247907,아비브,"[1분 피지흡착]아비브 포어 클레이 팩 클렌저 어성초 차콜 팩 투 폼 120ml 기획 (+30ml)",클렌징,2026-01-29,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024790712ko.png?l=ko,7,2,19,1
