date,product_id,brand,product,product_category,rank_category,rank,period,gender,age
2025-04-16,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,93,일간,전체,전체
2025-04-17,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,63,일간,전체,전체
2025-04-18,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,78,일간,전체,전체
2025-04-21,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,77,일간,전체,전체
2025-04-22,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,67,일간,전체,전체
2025-04-23,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,59,일간,전체,전체
2025-04-24,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,전체,44,일간,전체,전체
2025-04-24,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,3,일간,전체,전체
2025-04-25,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,전체,42,일간,전체,전체
2025-04-25,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,4,일간,전체,전체
2025-04-26,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,19,일간,전체,전체
2025-04-27,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,22,일간,전체,전체
2025-04-28,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,27,일간,전체,전체
2025-04-29,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,74,일간,전체,전체
2025-04-30,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,75,일간,전체,전체
2025-05-01,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,78,일간,전체,전체
2025-05-02,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,82,일간,전체,전체
2025-05-03,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,63,일간,전체,전체
2025-05-04,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,71,일간,전체,전체
2025-05-05,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,80,일간,전체,전체
2025-05-06,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,91,일간,전체,전체
2025-05-07,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,73,일간,전체,전체
2025-05-09,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,81,일간,전체,전체
2025-05-10,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,78,일간,전체,전체
2025-05-11,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,58,일간,전체,전체
2025-05-12,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,75,일간,전체,전체
2025-05-13,A000000223738,아비브, 아비브 선크림 50ml 3종 택1 (수분/저자극/톤업),선케어,선케어,96,일간,전체,전체
