brand_name,video_count
아누아,6
스킨1004,5
CJ웰케어,4
LG생활건강,4
아임프롬,3
셀리맥스,3
닥터포헤어,3
뷰앤디,2
아로셀,2
웰라쥬,2
스킨푸드,2
춘몽,2
달바,2
코스알엑스,2
닥터그루트,2
애프터블로우,1
쏘내추럴,1
셀퓨전씨,1
아도르,1
셀라딕스,1
세타필,1
아프리모,1
오브제,1
"에스쁘아, 에스트라",1
엑소프록실,1
설화수,1
온그리디언츠,1
우르오스,1
이지듀,1
존슨즈,1
코스노리,1
쿤달,1
키엘,1
토리든,1
톤28,1
프란츠,1
피캄,1
성분에디터,1
비욘드,1
빌리프,1
비플레인,1
넘버즈인,1
네이처리퍼블릭,1
뉴오리진,1
니베아,1
닥터엘시아,1
닥터자르트,1
닥터지,1
더마비,1
더페이스샵,1
도미나스,1
듀이셀,1
디퍼,1
라로슈포제,1
라운드랩,1
려,1
"리드볼트, 포트레",1
리얼베리어,1
리쥬란코스메틱,1
맥 코리아,1
메디큐브,1
메디힐,1
모레모,1
믹순,1
바이브랩,1
"바이탈뷰티, 아모레퍼시픽",1
브레이,1
브링그린,1
블랑디바,1
블랙포레,1
힌스,1
