product_id,brand,product,category,regDate,image,yt_video_cnt,yt_ppl_cnt,ig_post_cnt,ig_ppl_cnt
A000000255645,클리오,"[단종부활템 재출시] 클리오 프로 아이 팔레트 2종 ",메이크업,2026-04-29,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A000000255645125ko.jpg?l=ko,53,4,23,4
A000000248345,클리오,"[단독기획] 클리오 뮤즈 마스터 팔레트 단품/기획 (+브러쉬 2종 증정)",메이크업,2026-02-04,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024834524ko.jpg?l=ko,120,19,45,15
A000000241980,클리오,"클리오 킬 커버 파운웨어 쿠션 미니 5g",메이크업,2025-11-25,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024198001ko.jpg?l=ko,92,33,175,139
A000000240401,클리오,"클리오 킬 커버 메쉬 글로우 에센셜 쿠션 15g*2 기획 4 COLOR",메이크업,2025-11-15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0024/A00000024040128ko.jpg?l=ko,77,24,25,18
A000000238397,클리오,"클리오 크리스탈글램틴트 3.4g 22 호박주스코랄 기획 (+키링,펜)",메이크업,2025-11-03,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0023/A00000023839760ko.jpg?l=ko,128,22,108,34
A000000238715,클리오,"[블프특가] 클리오 버터밤크레용 3.9g 8 Colors (+샤프너)",메이크업,2025-11-01,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0023/A00000023871528ko.jpg?l=ko,6,0,39,24
A000000238393,클리오,"클리오 킬 커버 디 오리지널 쿠션 15g 21C 란제리 어워즈 한정기획 (2024) (+리필/톤업베이스)",메이크업,2025-10-31,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0023/A00000023839340ko.jpg?l=ko,95,25,35,19
A000000238392,클리오,"[블프특가] 클리오 프로아이팔레트에어 단품/기획",메이크업,2025-10-31,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0023/A00000023839273ko.jpg?l=ko,214,14,232,123
A000000238101,클리오,"[블프특가] 클리오 킬 커버 파운웨어 파운데이션 디 오리지널 단품/기획",메이크업,2025-10-31,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0023/A00000023810114ko.jpg?l=ko,26,5,13,5
A000000238881,클리오,"[2025 어워즈] 클리오 킬브로우 오토하드브로우펜슬 0.3g",메이크업,2025-10-29,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023888147ko.jpg?l=ko,67,1,38,28
A000000238877,클리오,"[2025 어워즈/2년연속수상] 클리오 프로 아이 팔레트 에어",메이크업,2025-10-29,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A000000238877114ko.png?l=ko,193,12,195,94
A000000238595,클리오,"[2025 어워즈/6년연속수상] 클리오 킬 커버 파운웨어 쿠션 15g (+리필&홀리데이 미니 쿠션)",메이크업,2025-10-28,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023859526ko.png?l=ko,138,37,175,139
A000000236727,클리오,"[놓치면 끝]클리오 프로 아이 팔레트큐브 01 엉뚱한포키 (토이스토리 콜라보)",메이크업,2025-10-15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0023/A00000023672796ko.jpg?l=ko,36,2,11,1
