메디큐브 - Medicube	메디큐브	4002	1067
포맨트-FORMENT	포맨트	42056	409
셀리맥스 (Celimax)	셀리맥스	32	312
Abib cosmetic	아비브	321	282
바이오던스 Biodance	바이오던스	35227	261
브랜든 - Branden	브랜든	49771	258
Dear Dahlia - 디어달리아	디얼	164294	239
S.nature 에스네이처	에스네이처	65209	221
APRILSKIN 에이프릴스킨	에이프릴스킨	66953	203
Mediheal 메디힐	메디힐	107	191
컴포트랩 Comfort Lab	컴포트랩	3966	182
CNP Cosmetics	차앤박	3705	180
넘버즈인 numbuzin	넘버즈인	3766	170
바닐라코(BANILA CO)	바닐라코	314	167
리터니티 returnity	리터니티	103478	161
Klavuu 클라뷰	클라뷰	631	161
Temu Japan	테무	20397	140
헤리터 - Heriter	헤리터	73	116
OBGE - 오브제	오브제	53440	105
잠재된 아름다움, 크라시앙	크라시앙	31162	102
톰 - Thome	톰	131379	99
FULLY 풀리	풀리	146258	94
여신티켓 : 피부과 시술 정보&후기 검색	여신티켓	115557	87
ARENCIA 아렌시아	아렌시아	74274	83
아키클래식 Akiii classic	아키클래식	4026	77
IOPE 아이오페	아이오페	3384	76
La vikit 라비킷	라비킷	20716	75
AGE 20'S 에이지투웨니스	에이지투웨니스	497	69
Marun5 마른파이브	마른파이브	795	69
No.1 단기임대 앱 33m2-삼삼엠투	삼삼엠투	32968	66
피지오겔 Physiogel Korea	피지오겔	3341	65
펫프렌즈 - 반려동물 1등 쇼핑몰	펫프렌즈	165166	63
에르고바디 ergobody	에르고바디	85286	63
AI Catch: AI Video&Photo APP	캐치	99234	61
파넬 Parnell	파넬	4112	61
Celladix 셀라딕스	셀라딕스	31090	60
COSRX 코스알엑스	코스알엑스	3383	59
Menokin 메노킨	메노킨	156400	57
NDP 엔디피	내추럴더마프로젝트	69832	55
Meal It - 밀잇	밀잇	153083	53
구달 goodal	구달	104	53
더마토리 Dermatory	더마토리	271	52
스킨천사 SKIN1004 Korea	스킨1004	66565	51
한율(Hanyul)	한율	3357	51
Bifigen.official.page	비피젠	109849	51
닥터포헤어 - 두피관리의 정석	닥터포헤어	115	50
수면공감-Sleep_gonggam	수면공감	81436	50
스카이라이프 - SkyLife	스카이라이프	85173	49
오즈키즈 OZKIZ	오즈키즈	154492	48
히든 hedn	히든	148615	44
Fruwe.asia	프루웨	155489	44
퓌 fwee	퓌	328	43
렌시스 lenssis	렌시스	3808	43
오아드 Oiad	오아드	91884	42
페리페라 Peripera	페리페라	239	40
히디프 hidiff	히디프	165351	40
millimilli.us	밀리밀리	165116	40
Verish 베리시	베리시	4109	40
닥터바이오 코스메틱	닥터바이오	142969	38
CosmeChef 화장품을 요리하다	코스메쉐프	32936	35
1957 태극제약 도미나스	도미나스	160434	35
Ownist 오니스트	오니스트	3141	35
ilso 일소	일소	3358	34
믹순 mixsoon	믹순	4537	34
