branded_page_name,count,exact_match,exact_match_ci,r1_decor,r2_segment,r3_homoglyph
Temu Korea,3053,0,0,1,0,0
메디큐브 - Medicube,1067,0,0,0,1,0
포맨트-FORMENT,409,0,0,0,1,0
코르딕스,313,1,1,0,0,0
셀리맥스 (Celimax),312,0,0,0,1,0
Abib cosmetic,282,0,0,0,1,0
바이오던스 Biodance,261,0,0,0,1,0
브랜든 - Branden,258,0,0,0,1,0
Sharkninjakr,240,0,1,0,0,0
Dear Dahlia - 디어달리아,239,0,0,0,1,0
마미케어,231,1,1,0,0,0
S.nature 에스네이처,221,0,0,0,1,0
Arocell_official,220,0,0,1,0,0
트립닷컴,211,1,1,0,0,0
APRILSKIN 에이프릴스킨,203,0,0,0,1,0
바이브랩,194,1,1,0,0,0
Mediheal 메디힐,191,0,0,0,1,0
컴포트랩 Comfort Lab,182,0,0,0,1,0
CNP Cosmetics,180,0,0,0,1,0
넘버즈인 numbuzin,170,0,0,0,1,0
P.CALM_Official,168,0,0,0,0,0
Meditherapy_official,167,0,0,1,0,0
바닐라코(BANILA CO),167,0,0,0,1,0
리터니티 returnity,161,0,0,0,1,0
Klavuu 클라뷰,161,0,0,0,1,0
P.calm.kr,158,0,0,0,0,0
비나앤코,148,0,0,0,0,0
라운드랩,144,1,1,0,0,0
Temu Japan,140,0,0,0,1,0
The미식,139,0,0,0,0,0
Beaund_official,118,0,0,1,0,0
헤리터 - Heriter,116,0,0,0,1,0
코스노리,116,1,1,0,0,0
올록담,113,1,1,0,0,0
Skin1004 KR,112,0,0,1,0,0
메디톨드연구소,111,1,1,0,0,0
청월당,107,0,0,0,0,0
네리티아,106,1,1,0,0,0
마녀공장,106,1,1,0,0,0
뚜누,106,0,0,0,0,0
OBGE - 오브제,105,0,0,0,1,0
릴리브,104,1,1,0,0,0
링티,103,1,1,0,0,0
Dîdaofficial,102,0,0,0,0,0
"잠재된 아름다움, 크라시앙",102,0,0,0,1,0
톰 - Thome,99,0,0,0,1,0
프롬메디,98,1,1,0,0,0
8fter,97,1,1,0,0,0
CJ제일제당,97,0,0,0,0,0
오드그로서 ,96,0,1,0,0,0
PETHROOM,96,1,1,0,0,0
Likethix,94,0,0,0,0,0
FULLY 풀리,94,0,0,0,1,0
셀인샷,93,1,1,0,0,0
하우투키,93,1,1,0,0,0
비레디,92,1,1,0,0,0
이데아뉴트리션,92,1,1,0,0,0
Sistie,89,1,1,0,0,0
여신티켓 : 피부과 시술 정보&후기 검색,87,0,0,0,1,0
Lilyeve,85,1,1,0,0,0
Minted_official,85,0,0,1,0,0
tamim.shop,85,0,0,1,0,0
ARENCIA 아렌시아,83,0,0,0,1,0
노르딕슬립,81,1,1,0,0,0
헬스헬퍼,78,1,1,0,0,0
아도르,78,1,1,0,0,0
VT cosmetics,78,1,1,0,0,0
아키클래식 Akiii classic,77,0,0,0,1,0
Getvenusoffîcial,77,0,0,0,0,1
IOPE 아이오페,76,0,0,0,1,0
네이버플러스 스토어,76,0,0,0,0,0
La vikit 라비킷,75,0,0,0,1,0
오늘수거,73,1,1,0,0,0
Standry,73,0,0,0,0,0
AGE 20'S 에이지투웨니스,69,0,0,0,1,0
성분에디터,69,1,1,0,0,0
hetras.official,69,0,0,1,0,0
Marun5 마른파이브,69,0,0,0,1,0
EESY LIFE,68,0,0,0,0,0
도치맘정보방,67,0,0,0,0,0
모유실감,66,0,0,0,0,0
No.1 단기임대 앱 33m2-삼삼엠투,66,0,0,0,1,0
리드볼트,66,1,1,0,0,0
피지오겔 Physiogel Korea,65,0,0,0,1,0
에이로마,65,1,1,0,0,0
Athe,64,1,1,0,0,0
마일드랩,63,1,1,0,0,0
펫프렌즈 - 반려동물 1등 쇼핑몰,63,0,0,0,1,0
에르고바디 ergobody,63,0,0,0,1,0
루시아이,62,1,1,0,0,0
Guîltîpofficial,62,0,0,0,0,0
온플로,61,0,0,0,0,0
세인트새틴,61,1,1,0,0,0
AI Catch: AI Video&Photo APP,61,0,0,0,1,0
파넬 Parnell,61,0,0,0,1,0
링글 1:1 화상영어,60,1,1,0,0,0
Celladix 셀라딕스,60,0,0,0,1,0
Redîettofficial,60,0,0,0,0,0
챌린저스,59,1,1,0,0,0
COSRX 코스알엑스,59,0,0,0,1,0
Blanc Nature,59,0,0,0,0,0
BEST 향기 품절템,58,0,0,0,0,0
Menokin 메노킨,57,0,0,0,1,0
Pronutrition.official,57,0,0,1,0,0
액트플러스,56,1,1,0,0,0
불스원몰,55,0,0,1,0,0
베베데코,55,0,0,1,0,0
billboardsong,55,0,0,0,0,0
NDP 엔디피,55,0,0,0,1,0
디스커버리익스페디션 키즈,54,0,0,0,0,0
Bronte - Your Daily Life Curator,54,0,0,0,0,0
닥터노아 Dr.NOAH,54,0,0,0,1,0
디퍼슈,54,1,1,0,0,0
와이케이스,54,1,1,0,0,0
NIVEA,53,1,1,0,0,0
Meal It - 밀잇,53,0,0,0,1,0
구달 goodal,53,0,0,0,1,0
러브유,53,0,0,0,0,0
narka,53,1,1,0,0,0
디에이이펙트,53,1,1,0,0,0
Veimia.korea,52,0,0,1,0,0
시그널플래너,52,1,1,0,0,0
투에이엔,52,1,1,0,0,0
더마토리 Dermatory,52,0,0,0,1,0
네스카페 돌체구스토,52,0,0,1,0,0
스킨천사 SKIN1004 Korea,51,0,0,0,1,0
한율(Hanyul),51,0,0,0,1,0
메라블,51,1,1,0,0,0
Bifigen.official.page,51,0,0,0,1,0
달바,51,1,1,0,0,0
큐모모,51,1,1,0,0,0
잇더핏,50,1,1,0,0,0
블랑코_official,50,0,0,1,0,0
닥터포헤어 - 두피관리의 정석,50,0,0,0,1,0
Oddtype,50,0,1,0,0,0
수면공감-Sleep_gonggam,50,0,0,0,1,0
DJI,50,1,1,0,0,0
말해보카,49,1,1,0,0,0
사이클 해커스2,49,0,0,0,0,0
스카이라이프 - SkyLife,49,0,0,0,1,0
FILA Korea,48,0,0,1,0,0
JOSEPH&STACEY,48,0,0,0,0,0
커버링,48,1,1,0,0,0
오즈키즈 OZKIZ,48,0,0,0,1,0
더마젼시,48,0,0,0,0,0
Cocodor_diffuser,47,0,0,0,0,0
GC 녹십자웰빙,47,0,0,1,0,0
Shaishaishai.official,47,0,0,1,0,0
Piev.official,46,0,0,0,0,0
주트립,46,1,1,0,0,0
더샘,45,1,1,0,0,0
더클래스코리아,45,0,0,1,0,0
Quash,45,0,0,0,0,0
Bebe Holding Company Inc.,45,0,0,0,0,0
Kurved,44,0,0,0,0,0
히든 hedn,44,0,0,0,1,0
Fruwe.asia,44,0,0,0,1,0
프로틴방앗간,43,0,0,0,0,0
Vivaia.kr,43,0,0,1,0,0
퓌 fwee,43,0,0,0,1,0
렌시스 lenssis,43,0,0,0,1,0
오아드 Oiad,42,0,0,0,1,0
파란구름,42,0,0,0,0,0
비즈하우스,42,1,1,0,0,0
Laorganic_official,42,0,0,0,0,0
너티퍼센트 NaughtyPercent,42,0,0,0,1,0
Wellage Global,41,0,0,1,0,0
인생템 저장소,41,0,0,0,0,0
에이블리,41,1,1,0,0,0
Mamaforest,41,1,1,0,0,0
Mayton,41,1,1,0,0,0
오드로이,41,1,1,0,0,0
Dermafirm kr,41,0,0,1,0,0
페리페라 Peripera,40,0,0,0,1,0
