brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
6,삼성,"Samsung Electronics","삼성헬스, 삼성하만, 삼성전자, 비스포크AI",NULL
7,롯데칠성음료,"Lotte Chilsung","더진한, 새로, 핫식스, 처음처럼, 밀키스, 순하리, 크니쁘니, 깨수깡, 트레비, 여울, 청하,  오트몬드, 스카치하이, 마운틴듀, 탐스, 칠성사이다, 크러시, 해피즈",NULL
8,소니뮤직코리아,"Sony Music Korea",NULL,NULL
9,워너뮤직코리아,"Warner Music Korea",NULL,NULL
10,유니버설뮤직코리아,"Universal Music Korea",ForAFortnight,NULL
11,LG전자,"LG Electronics",LG그램,NULL
12,노드VPN,"Nord VPN",NULL,NULL
13,주부상식,Jubusangsik,NULL,NULL
14,디즈니플러스,"Disney Plus",디즈니+,NULL
15,더미식,"The Misik",멜팅피스,NULL
16,제일제당,"CJ Cheiljedang","프로틴 생면, 햇반, 백설, 고메, 스팸, 육공육, 습김치",NULL
17,무신사,Musinsa,NULL,NULL
18,라보에이치,"Labo H",NULL,NULL
19,SK텔레콤,"SK Telecom","에이닷, T월드, T우주, SKT, T멤버십",NULL
20,넷플릭스,Netflix,NULL,NULL
21,KT,KT,"Seezn,  지니tv,  요고,  kt온마루",NULL
22,SBS,SBS,NULL,NULL
23,윙잇,Wingeat,NULL,NULL
24,지누스,Zinus,NULL,NULL
25,코카콜라,Coca-Cola,"환타, 토레타, 스프라이트, 조지아, 캐나다 드라이, 파워에이드, 닥터페퍼",NULL
26,아정당,"AJD rental",NULL,NULL
27,"CJ ENM","CJ ENM",NULL,NULL
28,순살만공격,순살만공격,NULL,NULL
29,60계치킨,60계치킨,"크크크치킨, 하하핫치킨",NULL
30,올리브영,Oliveyoung,"딜라이트 프로젝트,  탄탄",NULL
31,현대자동차,"Hyundai Motors","현대모터스튜디오, 현대Shop",NULL
32,셀리맥스,Celimax,"시카지우개패드,  노니앰플,  레티날샷",NULL
33,설로인,SirLoin,램로인,NULL
34,BBQ치킨,"BBQ Chicken",비비큐,NULL
35,라이엇게임즈,"Riot Games",NULL,NULL
36,인터넷민족,In-min,NULL,NULL
37,티빙,Tving,NULL,NULL
39,교보생명,Kyobo,NULL,NULL
40,채널ENA,ENA,NULL,NULL
41,후라이드참잘하는집,후라이드참잘하는집,후참잘,NULL
42,열정국밥,열정국밥,NULL,NULL
43,힘난다,Himnanda,NULL,NULL
44,지에스25,GS25,로네펠트,NULL
45,동서식품,Dongsuh,"카누, 제티초콕, 제티",NULL
46,달바,Dalba,비거너리,NULL
47,기아자동차,"Kia Motors",기아인증중고차,NULL
48,네이버웹툰,"Naver Webtoon",NULL,NULL
49,당신은지금치킨이땡긴다,당신은지금치킨이땡긴다,당치땡,NULL
50,팔도,Paldo,NULL,NULL
52,하나은행,"Hana Bank","트래블로그,  비바카드",NULL
54,푸라닭,PURADAK,NULL,NULL
55,델킷,DELKIT,NULL,NULL
56,여기어때,여기어때,NULL,NULL
57,퀵슬립,Quicksleep,NULL,NULL
58,배달의민족,배달의민족,"배민B마트, 배민상회,  배민",NULL
59,써브웨이,SUBWAY,NULL,NULL
60,서울우유협동조합,서울우유협동조합,NULL,NULL
62,롯데엔터테인먼트,롯데엔터테인먼트,"이프: 상상의 친구",NULL
63,이니스프리,Innisfree,그린펫클럽,NULL
64,한국고려홍삼,한국고려홍삼,굿데이즈,NULL
65,라끄시안,라끄시안,NULL,NULL
66,헤이하이볼,"Hey! Highball",NULL,NULL
67,에이치덱스,HDEX,NULL,NULL
68,"달토끼의 떡볶이 흡입구역","달토끼의 떡볶이 흡입구역",NULL,NULL
70,11번가,11번가,"우아픽, 신선밥상",NULL
71,맘스터치,"Mom's Touch",맘스피자,NULL
72,테라브레스,TheraBreath,NULL,NULL
73,헤리터,Heriter,NULL,NULL
74,디즈니,Disney,월트디즈니컴퍼니코리아,NULL
75,스킨푸드,"Skin Food",당근패드,NULL
76,마녀공장,ma:nyo,"아워비건,  비피다",NULL
78,캐논,"Canon Korea",NULL,NULL
79,에스트라,AESTURA,에이시카,NULL
80,라네즈,LANEIGE,NULL,NULL
81,에뛰드,"Etude House",뷰티즌,NULL
82,하이트진로,"Hite Jinro","테라, 켈리, 필라이트, 일품진로, 오크43, 모닝이즈백, 매화수, Kelly, 테라라이트, 스타우트",NULL
83,데이지크,dasique,NULL,NULL
84,클리오,CLIO,트윙클팝,NULL
85,아자르,azar,NULL,NULL
86,윌라,welaaa,NULL,NULL
87,쿠팡,coupang,"쿠팡 CPLB",NULL
88,다이슨,dyson,NULL,NULL
89,케이스티파이,casetify,NULL,NULL
90,하림,harim,NULL,NULL
