branded_page_name,matched_brand_kr,brand_logo_id,match_rule,count,verdict
Temu Korea,테무,20397,r1_decor,3053,yes
코르딕스,코르딕스,146315,r0_exact,313,yes
Sharkninjakr,SharkNinjakr,150261,r0_exact,240,yes
마미케어,마미케어,129063,r0_exact,231,yes
Arocell_official,아로셀,82916,r1_decor,220,yes
트립닷컴,트립닷컴,40976,r0_exact,211,yes
바이브랩,바이브랩,103104,r0_exact,194,yes
Meditherapy_official,메디테라피,55369,r1_decor,167,yes
라운드랩,라운드랩,109,r0_exact,144,yes
Beaund_official,뷰앤디,130613,r1_decor,118,yes
코스노리,코스노리,3988,r0_exact,116,yes
올록담,올록담,164876,r0_exact,113,yes
Skin1004 KR,스킨1004,66565,r1_decor,112,yes
메디톨드연구소,메디톨드연구소,109857,r0_exact,111,yes
네리티아,네리티아,164890,r0_exact,106,yes
마녀공장,마녀공장,76,r0_exact,106,yes
릴리브,릴리브,33931,r0_exact,104,yes
링티,링티,911,r0_exact,103,yes
프롬메디,프롬메디,149861,r0_exact,98,yes
8fter,엣프터,161941,r0_exact,97,yes
오드그로서 ,오드그로서,165456,r0_exact,96,yes
PETHROOM,PETHROOM,61118,r0_exact,96,yes
셀인샷,셀인샷,154265,r0_exact,93,yes
하우투키,하우투키,165129,r0_exact,93,yes
비레디,비레디,142,r0_exact,92,yes
이데아뉴트리션,이데아뉴트리션,154977,r0_exact,92,yes
Sistie,시스티,165957,r0_exact,89,yes
Lilyeve,릴리이브,60532,r0_exact,85,yes
Minted_official,민티드,64467,r1_decor,85,yes
tamim.shop,타밈,152873,r1_decor,85,yes
노르딕슬립,노르딕슬립,47239,r0_exact,81,yes
헬스헬퍼,헬스헬퍼,147,r0_exact,78,yes
아도르,아도르,3879,r0_exact,78,yes
VT cosmetics,VT,34159,r0_exact,78,yes
Getvenusoffîcial,겟비너스,45257,r3_homoglyph,77,yes
오늘수거,오늘수거,163903,r0_exact,73,yes
