branded_page_name,matched_brand_kr,brand_logo_id,count,verdict
메디큐브 - Medicube,메디큐브,4002,1067,yes
포맨트-FORMENT,포맨트,42056,409,yes
셀리맥스 (Celimax),셀리맥스,32,312,yes
Abib cosmetic,아비브,321,282,yes
바이오던스 Biodance,바이오던스,35227,261,yes
브랜든 - Branden,브랜든,49771,258,yes
Dear Dahlia - 디어달리아,디얼,164294,239,no
S.nature 에스네이처,에스네이처,65209,221,yes
APRILSKIN 에이프릴스킨,에이프릴스킨,66953,203,yes
Mediheal 메디힐,메디힐,107,191,yes
컴포트랩 Comfort Lab,컴포트랩,3966,182,yes
CNP Cosmetics,차앤박,3705,180,yes
넘버즈인 numbuzin,넘버즈인,3766,170,yes
바닐라코(BANILA CO),바닐라코,314,167,yes
리터니티 returnity,리터니티,103478,161,yes
Klavuu 클라뷰,클라뷰,631,161,yes
Temu Japan,테무,20397,140,yes
헤리터 - Heriter,헤리터,73,116,yes
OBGE - 오브제,오브제,53440,105,yes
"잠재된 아름다움, 크라시앙",크라시앙,31162,102,yes
톰 - Thome,톰,131379,99,yes
FULLY 풀리,풀리,146258,94,yes
여신티켓 : 피부과 시술 정보&후기 검색,여신티켓,115557,87,yes
ARENCIA 아렌시아,아렌시아,74274,83,yes
아키클래식 Akiii classic,아키클래식,4026,77,yes
IOPE 아이오페,아이오페,3384,76,yes
La vikit 라비킷,라비킷,20716,75,yes
AGE 20'S 에이지투웨니스,에이지투웨니스,497,69,yes
Marun5 마른파이브,마른파이브,795,69,yes
No.1 단기임대 앱 33m2-삼삼엠투,삼삼엠투,32968,66,yes
피지오겔 Physiogel Korea,피지오겔,3341,65,yes
펫프렌즈 - 반려동물 1등 쇼핑몰,펫프렌즈,165166,63,yes
에르고바디 ergobody,에르고바디,85286,63,yes
AI Catch: AI Video&Photo APP,캐치,99234,61,review
파넬 Parnell,파넬,4112,61,yes
Celladix 셀라딕스,셀라딕스,31090,60,yes
COSRX 코스알엑스,코스알엑스,3383,59,yes
Menokin 메노킨,메노킨,156400,57,yes
NDP 엔디피,내추럴더마프로젝트,69832,55,yes
닥터노아 Dr.NOAH,닥터노아,164892,54,yes
Meal It - 밀잇,밀잇,153083,53,yes
구달 goodal,구달,104,53,yes
더마토리 Dermatory,더마토리,271,52,yes
스킨천사 SKIN1004 Korea,스킨1004,66565,51,yes
한율(Hanyul),한율,3357,51,yes
Bifigen.official.page,비피젠,109849,51,yes
닥터포헤어 - 두피관리의 정석,닥터포헤어,115,50,yes
수면공감-Sleep_gonggam,수면공감,81436,50,yes
스카이라이프 - SkyLife,스카이라이프,85173,49,yes
오즈키즈 OZKIZ,오즈키즈,154492,48,yes
히든 hedn,히든,148615,44,yes
Fruwe.asia,프루웨,155489,44,yes
퓌 fwee,퓌,328,43,yes
렌시스 lenssis,렌시스,3808,43,yes
오아드 Oiad,오아드,91884,42,yes
너티퍼센트 NaughtyPercent,너티퍼센트,165359,42,yes
페리페라 Peripera,페리페라,239,40,yes
히디프 hidiff,히디프,165351,40,yes
millimilli.us,밀리밀리,165116,40,yes
Verish 베리시,베리시,4109,40,yes
닥터바이오 코스메틱,닥터바이오,142969,38,yes
Mandisa Naturals,맨디사,166304,37,yes
CosmeChef 화장품을 요리하다,코스메쉐프,32936,35,yes
1957 태극제약 도미나스,도미나스,160434,35,yes
Ownist 오니스트,오니스트,3141,35,yes
ilso 일소,일소,3358,34,yes
믹순 mixsoon,믹순,4537,34,yes
soda.app,소다,229,34,yes
AMOREPACIFIC MALL - 아모레퍼시픽몰,아모레퍼시픽,125,33,yes
리필드-Refilled,리필드,129567,33,yes
익스트림 Extreme,익스트림,20268,33,yes
클린디 - CleanD,클린디,165281,33,yes
Torhop ad,토르홉,153137,32,yes
럭스나인 Luxnine,럭스나인,4306,32,yes
더페이스샵 - The Face Shop,더페이스샵,110638,32,yes
Bamkel_,밤켈,53871,31,yes
"아이디어스, idus",아이디어스,3940,29,yes
Blaupunkt-life-kr,블라우풍트,165254,29,yes
디스커버리 익스페디션 Discovery Expedition,디스커버리,3876,29,yes
메디큐브 에이지알,메디큐브,4002,28,yes
DPPR I 디퍼,디퍼,164301,28,yes
Talk to Her-톡투허,톡투허,153586,28,yes
They.il,데이(THEY),105248,27,yes
로더렛 L'odeurlette,로더렛,148297,27,yes
꿈비- ggumbi,꿈비,117385,26,yes
어바웃펫 AboutPet,어바웃펫,37250,26,yes
romand 롬앤,롬앤,4302,26,yes
