branded_page_name,brand_name_kr,brand_logo_id,ad_count
Temu Korea,테무,20397,3053
메디큐브 - Medicube,메디큐브,4002,1067
포맨트-FORMENT,포맨트,42056,409
셀리맥스 (Celimax),셀리맥스,32,317
코르딕스,코르딕스,146315,313
Abib cosmetic,아비브,321,282
바이오던스 Biodance,바이오던스,35227,261
브랜든 - Branden,브랜든,49771,258
Dear Dahlia - 디어달리아,디어달리아,3944,244
Sharkninjakr,샤크닌자,50266,240
마미케어,마미케어,129063,231
S.nature 에스네이처,에스네이처,65209,221
Arocell_official,아로셀,82916,220
트립닷컴,트립닷컴,40976,211
APRILSKIN 에이프릴스킨,에이프릴스킨,66953,203
바이브랩,바이브랩,103104,194
Mediheal 메디힐,메디힐,107,191
컴포트랩 Comfort Lab,컴포트랩,3966,182
CNP Cosmetics,차앤박,3705,180
넘버즈인 numbuzin,넘버즈인,3766,170
바닐라코(BANILA CO),바닐라코,314,169
P.CALM_Official,피캄,29678,168
Meditherapy_official,메디테라피,55369,167
리터니티 returnity,리터니티,103478,161
Klavuu 클라뷰,클라뷰,631,161
P.calm.kr,피캄,29678,158
비나앤코,비나앤코,174663,157
라운드랩,라운드랩,109,144
Temu Japan,테무,20397,140
The미식,더미식,15,139
Beaund_official,뷰앤디,130613,118
헤리터 - Heriter,헤리터,73,116
코스노리,코스노리,3988,116
올록담,올록담,164876,113
Skin1004 KR,스킨1004,66565,112
메디톨드연구소,메디톨드연구소,109857,111
네리티아,네리티아,164890,106
마녀공장,마녀공장,76,106
뚜누,뚜누,165158,106
OBGE - 오브제,오브제,53440,105
릴리브,릴리브,33931,104
링티,링티,911,103
"잠재된 아름다움, 크라시앙",크라시앙,31162,102
Dîdaofficial,디다샷,146158,102
CJ제일제당,제일제당,16,102
톰 - Thome,톰,131379,99
프롬메디,프롬메디,149861,98
8fter,엣프터,161941,97
오드그로서 ,오드그로서,165456,96
PETHROOM,PETHROOM,61118,96
FULLY 풀리,풀리,146258,94
Likethix,라익디스,174664,94
셀인샷,셀인샷,154265,93
하우투키,하우투키,165129,93
비레디,비레디,142,92
이데아뉴트리션,이데아뉴트리션,154977,92
Sistie,시스티,165957,89
여신티켓 : 피부과 시술 정보&후기 검색,여신티켓,115557,87
Lilyeve,릴리이브,60532,85
Minted_official,민티드,64467,85
tamim.shop,타밈,152873,85
ARENCIA 아렌시아,아렌시아,74274,83
노르딕슬립,노르딕슬립,47239,81
IOPE 아이오페,아이오페,3384,79
헬스헬퍼,헬스헬퍼,147,78
아도르,아도르,3879,78
VT cosmetics,VT,34159,78
아키클래식 Akiii classic,아키클래식,4026,77
Getvenusoffîcial,겟비너스,45257,77
네이버플러스 스토어,네이버플러스 스토어,174665,76
La vikit 라비킷,라비킷,20716,75
오늘수거,오늘수거,163903,73
Marun5 마른파이브,마른파이브,795,70
AGE 20'S 에이지투웨니스,에이지투웨니스,497,69
성분에디터,성분에디터,320,69
hetras.official,헤트라스,71627,69
No.1 단기임대 앱 33m2-삼삼엠투,삼삼엠투,32968,66
리드볼트,리드볼트,129554,66
모유실감,더블하트,83534,66
피지오겔 Physiogel Korea,피지오겔,3341,65
에이로마,에이로마,165181,65
Athe,아떼,47171,64
마일드랩,마일드랩,99969,63
펫프렌즈 - 반려동물 1등 쇼핑몰,펫프렌즈,165166,63
에르고바디 ergobody,에르고바디,85286,63
루시아이,루시아이,166341,62
세인트새틴,세인트새틴,35116,61
파넬 Parnell,파넬,4112,61
링글 1:1 화상영어,링글,33041,60
Celladix 셀라딕스,셀라딕스,31090,60
챌린저스,챌린저스,802,59
COSRX 코스알엑스,코스알엑스,3383,59
Blanc Nature,블랑네이처,28598,59
Menokin 메노킨,메노킨,156400,57
