brand,product_id,product,total_ppl,avg_rank,필수
웰라쥬,A000000231885,웰라쥬 리얼 히알루로닉 블루 100 앰플,715,10.1,Y
메디큐브,A000000243435,메디큐브 PDRN 핑크 펩타이드 앰플,641,18.1,Y
토리든,A000000128643,토리든 다이브인 저분자 히알루론산 세럼,599,11.7,Y
이니스프리,A000000258877,이니스프리 레티놀 시카 모공 흔적 앰플,567,23.6,Y
셀라딕스,A000000224494,셀라딕스 트러블 세범 리밸런싱 RX 131 앰플,386,22.7,
바이오힐 보,A000000233390,바이오힐보 프로바이오덤 콜라겐 리모델링 세럼,247,47.8,
아누아,A000000222698,아누아 피디알엔 히알루론산 캡슐 100 세럼,244,8.8,Y
메디힐,A000000211119,메디힐 마데카소사이드 흔적 리페어 세럼,218,13.5,Y
설화수,A000000225750,설화수 윤조에센스,186,52.3,
나인위시스,A000000219108,나인위시스 하이드라 수분 앰플 나노 플러스,181,52.6,
톤28,A000000248589,톤28 해남404 글로우 크림앤세럼,139,55.7,
성분에디터,A000000235178,성분에디터 그린토마토 NMN 포어 리프팅 앰플,100,62.2,Y
리쥬란,A000000183707,리쥬란 힐러 턴오버 앰플 듀얼 이펙트,96,59.6,
레이어랩,A000000246196,레이어랩 기미흔적 클리어 세럼,84,59.5,
션리,A000000233336,션리 다시마 그리너리 세럼,78,65.1,
라로슈포제,A000000166013,라로슈포제 에빠끌라 울트라 컨센트레이티드 세럼,68,65.8,
한스킨,A000000249672,한스킨 아라연꽃 핑크볼 PDRN 히알루론 광채세럼,34,63.2,
에스티로더,A000000241852,에스티로더 갈색병 세럼,28,72.9,
차앤박,A000000242719,차앤박 더마앤서 액티브 부스트 PDRN 앰플,16,65.1,
디마프,A000000235338,디마프 히어로 마이 퍼스트 세럼 a.k.a 만능기초,16,74.2,
로벡틴,A000000190700,로벡틴 히알루론산 에센스,14,69.5,
달바,A000000232717,달바 바이탈 스프레이 세럼,13,71.2,
샤이샤이샤이,A000000251318,샤이샤이샤이 리페어 밀키 우레아 글로우 버블 세럼,13,65.3,
더마젼시,A000000257373,더마젼시 제로카 81 세럼,9,64.5,
에스트라,A000000222839,에스트라 에이시카365 흔적진정세럼 pH4.5,8,66.1,
스킨앤랩,A000000213267,스킨앤랩 베리어덤 링거 앰플,7,74.5,
바이오더마,A000000156315,바이오더마 하이드라비오 세럼,4,71.7,
