brand,총발행량,유가건수,무가건수,정보없음건수,유가비용,무가비용,총비용
셀라딕스,394,227,167,0,1266766193,16700000,1283466193
웰라쥬,765,160,605,0,1154187990,60500000,1214687990
이니스프리,567,381,186,0,861662870,18600000,880262870
메디큐브,659,192,467,0,650722045,46700000,697422045
토리든,615,91,524,0,535659496,52400000,588059496
메디힐,221,72,149,0,514152572,14900000,529052572
바이오힐보,180,87,93,0,348471542,9300000,357771542
라로슈포제,68,18,50,0,296251090,5000000,301251090
리쥬란,96,64,32,0,291043252,3200000,294243252
디어클레어스,83,21,62,0,224960029,6200000,231160029
더마토리,133,92,41,0,222925781,4100000,227025781
아이오페,153,60,93,0,217301868,9300000,226601868
설화수,190,85,105,0,178074980,10500000,188574980
아누아,249,25,224,0,161761320,22400000,184161320
나인위시스,181,52,129,0,95277605,12900000,108177605
레이어랩,84,41,43,0,70483192,4300000,74783192
성분에디터,100,57,43,0,63326872,4300000,67626872
믹순,136,36,100,0,48984141,10000000,58984141
그라펜,12,12,0,0,48975125,0,48975125
톤28,140,33,107,0,33245728,10700000,43945728
로벡틴,14,9,5,0,36022779,500000,36522779
에스티로더,28,10,18,0,20908529,1800000,22708529
달바,13,4,9,0,17002514,900000,17902514
샤이샤이샤이,13,6,7,0,13767372,700000,14467372
션리,78,2,76,0,4047091,7600000,11647091
한스킨,38,4,34,0,4722366,3400000,8122366
차앤박,18,5,13,0,5260000,1300000,6560000
에스트라,8,1,7,0,1760000,700000,2460000
디마프,16,0,16,0,0,1600000,1600000
스킨앤랩,8,1,7,0,796903,700000,1496903
더마젼시,9,0,9,0,0,900000,900000
바이오더마,4,0,4,0,0,400000,400000
