순위,브랜드,대표제품,product_id,랭킹_5개월평균,YT_발행량(영상수),YT_매칭성공영상수,YT_공식영상수,YT_평균조회수,YT_평균좋아요,YT_평균댓글,IG_발행량(게시물수),IG_매칭성공게시물수,IG_공식게시물수,IG_릴스수(조회수집계용),IG_평균조회수(릴스만),IG_좋아요집계건수(결측제외),IG_평균좋아요,IG_평균댓글
1,아누아,아누아 피디알엔 히알루론산 캡슐 100 세럼,A000000222698,8.8,167,167,167,35831,479.2,65.1,77,77,77,67,37725,67,269.2,19.4
2,웰라쥬,웰라쥬 리얼 히알루로닉 블루 100 앰플,A000000231885,10.1,300,300,300,35483,328.0,38.3,415,410,415,345,18184,400,727.1,19.0
3,토리든,토리든 다이브인 저분자 히알루론산 세럼,A000000128643,11.7,465,465,465,328076,930.3,48.5,134,134,134,118,39392,126,470.0,23.5
4,메디힐,메디힐 마데카소사이드 흔적 리페어 세럼,A000000211119,13.5,155,155,155,141066,1513.5,105.6,63,63,63,39,110534,56,1149.6,20.8
5,메디큐브,메디큐브 PDRN 핑크 펩타이드 앰플,A000000243435,18.1,163,163,163,38854,615.7,65.9,478,478,478,446,67790,445,554.4,23.1
6,셀라딕스,셀라딕스 트러블 세범 리밸런싱 RX 131 앰플,A000000224494,22.7,149,149,149,128643,1769.9,135.2,237,237,237,218,107785,218,900.6,23.8
7,이니스프리,이니스프리 레티놀 시카 모공 흔적 앰플,A000000258877,23.6,226,226,226,12666,142.4,25.1,341,341,341,246,34440,329,507.1,17.7
8,바이오힐 보,바이오힐보 프로바이오덤 콜라겐 리모델링 세럼,A000000233390,47.8,38,38,38,72638,985.8,135.4,209,209,209,125,21997,176,276.8,17.9
9,설화수,설화수 윤조에센스,A000000225750,52.3,27,27,27,111041,1114.3,91.3,159,159,159,75,30171,131,347.1,20.6
10,나인위시스,나인위시스 하이드라 수분 앰플 나노 플러스,A000000219108,52.6,14,14,14,27470,596.9,48.4,167,167,167,102,7986,135,113.4,9.4
11,톤28,톤28 해남404 글로우 크림앤세럼,A000000248589,55.7,15,15,15,2989,55.1,20.4,124,124,124,102,5852,109,75.2,8.0
12,레이어랩,레이어랩 기미흔적 클리어 세럼,A000000246196,59.5,7,7,7,5227,35.3,24.3,77,77,77,73,17835,75,165.9,15.9
13,리쥬란,리쥬란 힐러 턴오버 앰플 듀얼 이펙트,A000000183707,59.6,18,6,18,4600,93.7,30.0,78,0,78,0,조회수 미수집,0,조회수 미수집,조회수 미수집
14,성분에디터,성분에디터 그린토마토 NMN 포어 리프팅 앰플,A000000235178,62.2,37,37,37,33441,583.6,18.3,63,63,63,58,64841,60,213.9,19.9
15,한스킨,한스킨 아라연꽃 핑크볼 PDRN 히알루론 광채세럼,A000000249672,63.2,1,1,1,69,0.0,0.0,33,33,33,11,13486,23,144.0,16.0
16,더마젼시,더마젼시 제로카 81 세럼,A000000257373,64.5,0,0,0,해당없음(발행 0건),해당없음(발행 0건),해당없음(발행 0건),9,9,9,4,605,5,39.4,4.0
17,션리,션리 다시마 그리너리 세럼,A000000233336,65.1,0,0,0,해당없음(발행 0건),해당없음(발행 0건),해당없음(발행 0건),78,78,78,36,1773,64,144.2,8.5
18,차앤박,차앤박 더마앤서 액티브 부스트 PDRN 앰플,A000000242719,65.1,8,8,8,22533,264.9,35.2,8,8,8,8,566,8,120.1,4.0
19,샤이샤이샤이,샤이샤이샤이 리페어 밀키 우레아 글로우 버블 세럼,A000000251318,65.3,2,2,2,24350,519.5,22.5,11,11,11,10,30145,11,212.3,10.4
20,라로슈포제,라로슈포제 에빠끌라 울트라 컨센트레이티드 세럼,A000000166013,65.8,10,6,10,95860,1088.3,21.3,58,14,58,14,1714,14,14.4,0.1
