platform,brand,ppl_count,total_views
Instagram,다우니,17,452743
Instagram,닥터멜락신,1,607
Instagram,닥터포헤어,28,566098
Instagram,덴티스테,9,325074
Instagram,도브,128,6954027
Instagram,라네즈,60,1906631
Instagram,라로슈포제,92,4131437
Instagram,라보에이치,50,86097
Instagram,리쥬란코스메틱,161,1028128
Instagram,마비스 코리아,3,38784
Instagram,메디큐브,349,10828705
Instagram,미쟝센,18,329256
Instagram,비플레인,58,2683244
Instagram,설화수,66,103707
Instagram,어노브,30,2813213
Instagram,에스쁘아,47,4434720
Instagram,에스트라,109,1841648
Instagram,에스티로더,89,2145187
Instagram,유한락스,28,225676
Instagram,이니스프리,73,5012588
Instagram,이지듀,14,239830
Instagram,일리윤,47,1847100
Instagram,정샘물,88,1203681
Instagram,콜게이트 코리아,2,11238
Instagram,키엘,6,10795
Instagram,톰,110,1244231
YouTube,닥터포헤어,3,547943
YouTube,도브,4,89079
YouTube,라네즈,6,340107
YouTube,라로슈포제,6,5109307
YouTube,리쥬란코스메틱,4,13653
YouTube,메디큐브,23,1299505
YouTube,미쟝센,1,105994
YouTube,비플레인,9,1167005
YouTube,에스쁘아,1,103648
YouTube,에스트라,38,522246
YouTube,에스티로더,5,136700
YouTube,이니스프리,25,220697
YouTube,이지듀,4,1035954
YouTube,일리윤,24,779232
YouTube,정샘물,4,115355
