brand,인스타 광고 수,유튜브 광고 수,인스타 조회수,유튜브 조회수,인스타 비용,유튜브 비용
설화수,66,0,103707,0,55430823,0
에스티로더,89,5,2145187,136700,101529637,121110000
메디큐브,349,23,10828705,1299505,342257962,270040000
톰더글로우,110,0,1244231,0,91106829,0
리쥬란,161,4,1028128,13653,138183342,8030000
라네즈,60,6,1906631,340107,71942520,98790000
키엘,6,0,10795,0,6278249,0
이지듀,14,4,239830,1035954,21444521,11200000
닥터멜락신,1,0,607,0,750000,0
에스트라,109,38,1841648,522246,131597933,121990000
라로슈포제,92,6,4131437,5109307,91604665,47690000
이니스프리,73,25,5012588,220697,104835645,269180000
비플레인,58,9,2683244,1167005,65038594,98400000
정샘물,88,4,1203681,115355,79165421,22240000
에스쁘아,47,1,4434720,103648,46346900,91600000
닥터포헤어,28,3,566098,547943,37432099,72780000
라보에이치,50,0,86097,0,43519384,0
덴티스테,9,0,325074,0,18769410,0
마비스,3,0,38784,0,3347466,0
미장센,18,1,329256,105994,24536969,8460000
어노브,30,0,2813213,0,35640111,0
콜게이트,2,0,11238,0,2708250,0
2080,0,0,0,0,0,0
도브,128,4,6954027,89079,129299304,104470000
일리윤,47,24,1847100,779232,46798198,163260000
다우니,17,0,452743,0,24718159,0
랩신,0,0,0,0,0,0
유한락스,28,0,225676,0,46679526,0
핑크스터프,0,0,0,0,0,0
