platform,brand,content_id,user_or_channel_id,followers,channel_cost,subscribers,content_type
Instagram,다우니,DackY1PPJ0V,hyesu_mon,308460,NULL,NULL,릴스
Instagram,다우니,DaufxrTPZjt,gkruddll,254225,NULL,NULL,릴스
Instagram,다우니,DbafoGlyjC3,_gyurihome_,34136,NULL,NULL,릴스
Instagram,다우니,DbcGe2aJSug,yeeunzip,66242,NULL,NULL,릴스
Instagram,다우니,DbdYOErv0MF,woolulumangi,39609,NULL,NULL,릴스
Instagram,다우니,DbH3u-LTkLs,a.el.home,21784,NULL,NULL,릴스
Instagram,다우니,DbK5IgAS303,l0esyni,15982,NULL,NULL,릴스
Instagram,다우니,DbKtRhjxjGD,teeniway,102283,NULL,NULL,릴스
Instagram,다우니,DbKZ-MpynEj,yoon.koon,100845,NULL,NULL,릴스
Instagram,다우니,DbN6uqhBTLR,yyyyyygm,12180,NULL,NULL,릴스
Instagram,다우니,DbNVd0YBDTh,trip_n_9u,158971,NULL,NULL,릴스
Instagram,다우니,DbS0PMmyi5g,lologzip,7883,NULL,NULL,릴스
Instagram,다우니,DbVUwQnzbiO,jungda_swim,41414,NULL,NULL,릴스
Instagram,다우니,DbXmtBRz7Gc,sungbincha,6320,NULL,NULL,릴스
Instagram,다우니,DbXsHrFRfCn,orn.orne,79148,NULL,NULL,릴스
Instagram,다우니,DbYF13TvNl-,joogreen_,29205,NULL,NULL,릴스
Instagram,다우니,DbYJnZ2zsem,silver._.mouse._,11467,NULL,NULL,릴스
Instagram,닥터멜락신,DayzAEsPleF,hand__movie,6291,NULL,NULL,릴스
Instagram,닥터포헤어,Da0G_0IBnAz,yuharu_cos,8026,NULL,NULL,릴스
Instagram,닥터포헤어,Da0Hxh1SHuv,cherr_yscosmetics,2876,NULL,NULL,릴스
Instagram,닥터포헤어,DaclN2XzWA5,mamitan051631,24628,NULL,NULL,릴스
Instagram,닥터포헤어,Daco32vJvLb,p.bogum_records,1973,NULL,NULL,릴스
Instagram,닥터포헤어,DacpIjcJlNP,p.bogum_records,1973,NULL,NULL,릴스
Instagram,닥터포헤어,Dae6U1Rz9hY,popup_dangni,49503,NULL,NULL,릴스
Instagram,닥터포헤어,DafFXXAPcQd,aa_deary,64218,NULL,NULL,릴스
Instagram,닥터포헤어,Dakm5vtPLW_,jjung_717,69817,NULL,NULL,릴스
Instagram,닥터포헤어,DakpNvnoTgh,yoonji_1228,17014,NULL,NULL,릴스
Instagram,닥터포헤어,DakZCYez0Ix,uozunozon,13816,NULL,NULL,릴스
Instagram,닥터포헤어,Dam1wbYPc88,aa_deary,64218,NULL,NULL,릴스
Instagram,닥터포헤어,DaU2a0sDp3K,all.about.gangnam.seongsu,127031,NULL,NULL,릴스
Instagram,닥터포헤어,DaU2JX3gZBM,all.about.seoul.trip,515719,NULL,NULL,릴스
Instagram,닥터포헤어,DaU52H0gYgv,enjoy.seoul,135172,NULL,NULL,릴스
Instagram,닥터포헤어,DaubovUgOvj,rearin.designer,26302,NULL,NULL,릴스
Instagram,닥터포헤어,DauPCFRhVMs,hwitori_228,2581,NULL,NULL,릴스
Instagram,닥터포헤어,DauS4UCKIC1,jsol_glow,65984,NULL,NULL,릴스
Instagram,닥터포헤어,DauSM8Sxxf8,hjj_starry__cos,14623,NULL,NULL,릴스
Instagram,닥터포헤어,DauvAripH0h,hyejituzi,127165,NULL,NULL,릴스
Instagram,닥터포헤어,DaUVMDjzA8T,someda._.ily,62001,NULL,NULL,릴스
Instagram,닥터포헤어,DauW5cszncb,ang6624,242860,NULL,NULL,릴스
Instagram,닥터포헤어,DaxA5DkpTbV,0oossilp,2004,NULL,NULL,릴스
Instagram,닥터포헤어,DbAjjp5zC85,eunji_saena,84500,NULL,NULL,릴스
Instagram,닥터포헤어,DbavhAOSTyz,meraeaeaeaeaeaeaeme,16701,NULL,NULL,릴스
Instagram,닥터포헤어,DbAyHUNhHQW,tael_beauty,30601,NULL,NULL,릴스
Instagram,닥터포헤어,DbFo_wjxmTR,chai._.beauty,26455,NULL,NULL,릴스
Instagram,닥터포헤어,DbGKj28hquF,jelly_1108,60903,NULL,NULL,릴스
Instagram,닥터포헤어,DbLVhV6NLIZ,jelly_1108,60903,NULL,NULL,릴스
Instagram,덴티스테,Damct57h6Ut,love9moon,231605,NULL,NULL,릴스
Instagram,덴티스테,DamUy1KRShk,by.ellenlee,203565,NULL,NULL,릴스
Instagram,덴티스테,DaqCV23CZge,0.1_percent_,1373,NULL,NULL,피드
Instagram,덴티스테,DaU52JmIEGs,rose_kim_golflover,106827,NULL,NULL,릴스
Instagram,덴티스테,DauG6FYJo98,babyaji,301232,NULL,NULL,릴스
Instagram,덴티스테,DaulWmrzQ-Q,s2._seul,15261,NULL,NULL,릴스
Instagram,덴티스테,DaUSdgcPfvZ,by.ellenlee,203565,NULL,NULL,릴스
Instagram,덴티스테,DavC_TwzGB6,_sesamesalt,64712,NULL,NULL,릴스
Instagram,덴티스테,DaxD4diJuD4,siyu_an_,107065,NULL,NULL,릴스
Instagram,도브,Da_COKuzWwv,u_ssong2,68435,NULL,NULL,릴스
Instagram,도브,Da-bLAAIJyw,o.neul_2,4398,NULL,NULL,릴스
Instagram,도브,Da-vKF8N_Ve,jedtavernier,NULL,NULL,NULL,릴스
Instagram,도브,Da-WgivvyLn,ga_o93,4694,NULL,NULL,릴스
Instagram,도브,Da0Ab2yvMKs,na._.vely,9631,NULL,NULL,릴스
Instagram,도브,Da0BFRkhPuc,glowupmag,314495,NULL,NULL,릴스
Instagram,도브,Da0EBjbzK7u,ria_halo,4788,NULL,NULL,릴스
Instagram,도브,Da0NASczCZF,hi_roro__,3609,NULL,NULL,릴스
Instagram,도브,Da1vYrxv2r7,zzzz_03081207,15682,NULL,NULL,릴스
Instagram,도브,Da21N-lS_fa,jihee.risa,849,NULL,NULL,릴스
Instagram,도브,Da24H_mTcMM,mjvely,23604,NULL,NULL,릴스
Instagram,도브,Da2aFiKyR8m,jogu_haus,143388,NULL,NULL,릴스
Instagram,도브,Da2AK7YJHMb,hansoh2,10004,NULL,NULL,릴스
Instagram,도브,Da2bC8xPwpG,kimeutteum,8013,NULL,NULL,릴스
Instagram,도브,Da2cYhxxe38,yj_____07.08,69101,NULL,NULL,릴스
Instagram,도브,Da2x00TJvOy,hyunjini26,2352,NULL,NULL,릴스
Instagram,도브,Da2XTPPh4-t,love91_love,17183,NULL,NULL,릴스
Instagram,도브,Da30sVkyM8S,hhousea,4918,NULL,NULL,릴스
Instagram,도브,Da3yL1-yXKW,myeong2_rang,3236,NULL,NULL,릴스
Instagram,도브,Da4O-Cyziu1,sunny.im,4427,NULL,NULL,릴스
Instagram,도브,Da5aLfvvhiw,rladnwls07,98182,NULL,NULL,릴스
Instagram,도브,Da5aXM4z67U,lovely_yeonje,18404,NULL,NULL,릴스
Instagram,도브,Da5b8U8RWF7,midnightinnavy,120176,NULL,NULL,릴스
Instagram,도브,Da5C4lZRYim,soyam_ei,NULL,NULL,NULL,릴스
Instagram,도브,Da5cf3uzjMw,jjaeni_y,22861,NULL,NULL,릴스
Instagram,도브,Da5dYAFKXnW,ghdduwls80,72489,NULL,NULL,릴스
Instagram,도브,Da5ekpSTcgB,ha_aaari,9366,NULL,NULL,릴스
Instagram,도브,Da5JKu0gs3q,momoh_mom,10614,NULL,NULL,릴스
Instagram,도브,Da5L407MsW7,ruda__lee,188338,NULL,NULL,릴스
Instagram,도브,Da5Ozs3hb5s,jjina_27,5971,NULL,NULL,릴스
Instagram,도브,Da5RZYIgb6Y,im.naburu,436,NULL,NULL,릴스
Instagram,도브,Da5T2wlzUg6,sylove7100,132460,NULL,NULL,릴스
Instagram,도브,Da5X8imOnVa,___dear.2jun,10162,NULL,NULL,릴스
Instagram,도브,Da5XnwdJ5lc,sister_tone,1293,NULL,NULL,릴스
Instagram,도브,Da5XsUeTUGy,petit_estj,6810,NULL,NULL,릴스
Instagram,도브,Da5YJ-MJB8-,quatoscollector,30840,NULL,NULL,릴스
Instagram,도브,Da5YjUkpgm_,bbcarmen_,45712,NULL,NULL,릴스
Instagram,도브,Da5YLlxhTVh,hanspooon,2288,NULL,NULL,릴스
Instagram,도브,Da75Og6PAIM,meokcomong,2105,NULL,NULL,릴스
Instagram,도브,Da77-c1Pkfe,kh_sol22,2641,NULL,NULL,릴스
Instagram,도브,Da7mvdYzOSN,nyg_p12.1,3741,NULL,NULL,릴스
Instagram,도브,Da7pOLbOXQ7,ddo617,10084,NULL,NULL,릴스
Instagram,도브,Da7wsJbT6Dt,heboc_,10653,NULL,NULL,릴스
Instagram,도브,Da8BwhYJeH_,_ssu____,925,NULL,NULL,릴스
Instagram,도브,DacaxYHH_Cr,igotshe.mag,95620,NULL,NULL,피드
Instagram,도브,Dam0bZwxEDp,mimmiiiya,856619,NULL,NULL,릴스
Instagram,도브,Dam1JeiO_H4,bandgoodgirl,21669,NULL,NULL,릴스
Instagram,도브,Dam2CdCPgwW,jwe_jwe_,6042,NULL,NULL,릴스
Instagram,도브,Damfs0xAm01,os1zo,70570,NULL,NULL,릴스
Instagram,도브,DamzTwVpDMk,kangsoyeon__,1531319,NULL,NULL,릴스
Instagram,도브,DaoJMt9vl61,anaidgeno,96827,NULL,NULL,릴스
Instagram,도브,Dap07slTzmA,moretomihika,NULL,NULL,NULL,릴스
Instagram,도브,DaPwXZ8RcHn,nanaho_yoshida,190270,NULL,NULL,릴스
Instagram,도브,DaqH8B7ts65,miso_daliy,5642,NULL,NULL,릴스
Instagram,도브,DaQTw7foTBT,aainamehta10,NULL,NULL,NULL,릴스
Instagram,도브,DaRToEVSfVn,yumni_.k,53858,NULL,NULL,릴스
Instagram,도브,DaVbHIPBLYw,18_summer,27194,NULL,NULL,릴스
Instagram,도브,DaVE8ufyY-D,nanaho_yoshida,190270,NULL,NULL,릴스
Instagram,도브,DaVOWWYEaSR,travelcontents.kr,48428,NULL,NULL,피드
Instagram,도브,DaVyRacvIgN,skin_army,124142,NULL,NULL,릴스
Instagram,도브,DawWVcqN6iv,cho.haemi,27840,NULL,NULL,릴스
Instagram,도브,DaxncqNS13t,s_clonk,2218,NULL,NULL,릴스
Instagram,도브,DaxqQr8JB7_,i_this.me,1589,NULL,NULL,릴스
Instagram,도브,DaxVb-nij5i,ongiel,49926,NULL,NULL,릴스
Instagram,도브,DayoAlkhDmd,yu_axng,3338,NULL,NULL,릴스
Instagram,도브,Daz3wVeRKvv,westzinnn,17703,NULL,NULL,릴스
Instagram,도브,DazB0_7SvQo,sayhee,9840,NULL,NULL,릴스
Instagram,도브,Dba6goBTkzy,e_nwoo_,9348,NULL,NULL,릴스
Instagram,도브,DbaV2Ytvx2W,imluvhee,108130,NULL,NULL,릴스
Instagram,도브,DbcS-7fJZOh,zzoo.daeng,3113,NULL,NULL,릴스
Instagram,도브,DbCUrJHzRUN,serein_rin,34486,NULL,NULL,릴스
Instagram,도브,DbdazlKx-wK,ducks_trip,2207,NULL,NULL,릴스
Instagram,도브,DbdbpOsNhX6,mynamemonday,12042,NULL,NULL,릴스
Instagram,도브,DbDf3Scy8By,haneul____23,5170,NULL,NULL,릴스
Instagram,도브,DbdhJXUz-yk,my_geon_s2,10687,NULL,NULL,릴스
Instagram,도브,DbdhuHJuVnT,love_rsunny,6800,NULL,NULL,릴스
Instagram,도브,DbDib3lhMzG,traumschoepferin__,20964,NULL,NULL,릴스
Instagram,도브,DbdJB4NvSXM,hosea_wui,51500,NULL,NULL,릴스
Instagram,도브,DbDnM8rh9Q1,sodoubleuon,31184,NULL,NULL,릴스
Instagram,도브,DbdSasyJc2A,gtitln,10428,NULL,NULL,릴스
Instagram,도브,DbdSYMtxQhM,o._.oo_o_,13542,NULL,NULL,릴스
Instagram,도브,DbdVmGpCjza,hy0.vely,4872,NULL,NULL,릴스
Instagram,도브,DbdY9aYyWnk,hhousea,4918,NULL,NULL,릴스
Instagram,도브,DbE1jK4vsRX,saniblanc_,7788,NULL,NULL,릴스
Instagram,도브,DbE1uPvu8n7,choong._2,827,NULL,NULL,릴스
Instagram,도브,DbEgtP1Tovt,happiness01000,1784,NULL,NULL,릴스
Instagram,도브,DbFb77yy3d3,howriry,23919,NULL,NULL,릴스
Instagram,도브,DbFHj4ZzRmm,ee_oss,18047,NULL,NULL,릴스
Instagram,도브,DbFkeaVJkSG,22on_mom,986,NULL,NULL,릴스
Instagram,도브,DbHNpijzoNx,local_activist84,12599,NULL,NULL,릴스
Instagram,도브,DbIe1H-z1ZZ,elfin_j.on,6856,NULL,NULL,릴스
Instagram,도브,DbIkodOPk_E,ki_kikkik,6576,NULL,NULL,릴스
Instagram,도브,DbIRN-phoVf,lovely_min_house,4859,NULL,NULL,릴스
Instagram,도브,DbJEh6Lz3Ce,dduzi_c,4333,NULL,NULL,릴스
Instagram,도브,DbKbNophYeS,winsome.xoxo,8737,NULL,NULL,릴스
Instagram,도브,DbKhH-pxvef,im.naburu,436,NULL,NULL,릴스
Instagram,도브,DbKJ9GyT8qV,nyg_p12.1,3741,NULL,NULL,릴스
Instagram,도브,DbKZ_5rBHHh,cancho_23,NULL,NULL,NULL,릴스
Instagram,도브,DbLAydapNgQ,kyu_zakaya,242,NULL,NULL,릴스
Instagram,도브,DbLdFkqRyA-,lee_m_o,3218,NULL,NULL,릴스
Instagram,도브,DbLdt8OPObv,meokcomong,2105,NULL,NULL,릴스
Instagram,도브,DbLeMZVTZtw,rani221010,65658,NULL,NULL,릴스
Instagram,도브,DbLf_BMJxCA,mi_in_s,2553,NULL,NULL,릴스
Instagram,도브,DbLgRgwqzmd,nam2_love,4821,NULL,NULL,릴스
Instagram,도브,DbLJ1LWJXNK,with.myfamily,7011,NULL,NULL,릴스
Instagram,도브,DbLNF1UyLbh,jang_unni1985,3855,NULL,NULL,릴스
Instagram,도브,DbLQ6BoiT6Z,luv_starbebe,5191,NULL,NULL,릴스
Instagram,도브,DbLQgdHJ-eB,hay.hacci,5281,NULL,NULL,릴스
Instagram,도브,DbLTn3UzF_6,nina029,5981,NULL,NULL,릴스
Instagram,도브,DbLTnH9T4Yt,i.vov.ii,3388,NULL,NULL,릴스
Instagram,도브,DbLV-J5zxt_,___.aha__,31702,NULL,NULL,릴스
Instagram,도브,DbLVB7rR_uq,toneupqueen,48526,NULL,NULL,릴스
Instagram,도브,DbLX4tpTEH6,ruby_soeun,4230,NULL,NULL,릴스
Instagram,도브,DbLY1FJBTgV,hand_yura,21888,NULL,NULL,릴스
Instagram,도브,DbN0548zaeG,gusdla0908,1570,NULL,NULL,릴스
Instagram,도브,DbOMtRQSzbP,life_mo_re,6546,NULL,NULL,릴스
Instagram,도브,DbP_PgmxPJY,souklee0331,3347,NULL,NULL,릴스
Instagram,도브,DbQgkjdAhr6,12mom.ggubin,52344,NULL,NULL,릴스
Instagram,도브,DbS7K0rveoe,ys210906,91772,NULL,NULL,릴스
Instagram,도브,DbSs4INTUop,food_helloworld,23024,NULL,NULL,릴스
Instagram,도브,DbSxWKAviXN,dayoun08,95489,NULL,NULL,릴스
Instagram,도브,DbTM93tuHYY,sssk192001,12675,NULL,NULL,릴스
Instagram,도브,DbX0QDcBhOi,miu_m.in,250353,NULL,NULL,릴스
Instagram,도브,DbXumksyzXs,howriry,23919,NULL,NULL,릴스
Instagram,도브,DbXw7aITzWi,dahye_930,33937,NULL,NULL,릴스
Instagram,도브,DbYBXl5T-Tw,eunm_kim,14535,NULL,NULL,릴스
Instagram,도브,DbYO0fFSD3Q,boo_rookie,36423,NULL,NULL,릴스
Instagram,도브,DbZqbv0TeFH,hoddak._.sj,5617,NULL,NULL,릴스
Instagram,라네즈,Da1iXbXhQgb,itsdamiduck,40031,NULL,NULL,릴스
Instagram,라네즈,Da25X4QGbzK,eve_c0s,1732,NULL,NULL,피드
Instagram,라네즈,Da26JxQpobO,runi_cos,1385,NULL,NULL,릴스
Instagram,라네즈,Da2I5hFBXof,seolida_ms,1942,NULL,NULL,릴스
Instagram,라네즈,Da2kwztHyxY,flower_every0.0,913,NULL,NULL,피드
Instagram,라네즈,Da2ossEkmce,cosyoungs,1324,NULL,NULL,피드
Instagram,라네즈,Da6sYDQEjpx,cobi.pick,1265,NULL,NULL,피드
Instagram,라네즈,DacAyBnTx8S,solkang_,90906,NULL,NULL,릴스
Instagram,라네즈,DacfL28y968,do_ob93,75103,NULL,NULL,릴스
Instagram,라네즈,DacMrvxkz0Q,orig.ginal,112454,NULL,NULL,피드
Instagram,라네즈,DafDz9iAN2O,beauling.ee_,11499,NULL,NULL,릴스
Instagram,라네즈,DaflLEyzQLA,bakedalmond,1027,NULL,NULL,릴스
Instagram,라네즈,DaiVX9RJ8jw,seo_han0216,71411,NULL,NULL,릴스
Instagram,라네즈,Daj_GeQvkIH,its.__yen,5247,NULL,NULL,릴스
Instagram,라네즈,Daj8t1vPGmA,guuu.zl,7130,NULL,NULL,릴스
Instagram,라네즈,DajbRYLBZTu,grace_gwon,3837,NULL,NULL,릴스
Instagram,라네즈,Dak0pX1PABb,ssoothing_98,101535,NULL,NULL,릴스
Instagram,라네즈,Dak3s9UT-al,_.hyevl2._,28489,NULL,NULL,릴스
Instagram,라네즈,DakGxQNBlZc,seulji_log,27828,NULL,NULL,릴스
Instagram,라네즈,Daklq-bJc-h,woomilky__,2815,NULL,NULL,릴스
Instagram,라네즈,DakPmmQTIjM,kwakmid,4076,NULL,NULL,릴스
Instagram,라네즈,Daks-D2zVO7,seulview_beauty.kr,34460,NULL,NULL,릴스
Instagram,라네즈,DakvBzavShg,9_0101,86790,NULL,NULL,릴스
Instagram,라네즈,Dam6Lr0gHXO,lizzieehong,33601,NULL,NULL,릴스
